Topic,Participant ,ln,  ,Translation,Dm/Ds,Comments
,Samantha 2,,Sometimes <Swahili> unaweza <SwahiliDubious> kuongeatu </SwahiliDubious> </Swahili> maybe <Swahili> ukapata jina </Swahili> hard <Swahili> jina </Swahili>  hard maybe <Swahili> kama ni Kiswahili </Swahili> maybe ni hard <Swahili> kulitamuka inabidi  useme </Swahili> in Englishi <Swahili> kama iko rahisi ama kama </Swahili>maybe <Swahili> kama ya English ikohard unaongea kwa Kiswahili </Swahili> and then maybe <Swahili> ukikuwa mahali kama </Swahili> maybe <Swahili> ni mtu </Swahili> lets say <Swahili> kama ninaongea na mtu ambaye hajuhi Kiswahili zaidi so nitatumia </Swahili> maybe <Swahili> kama kunaterm inaweza kumpea shinda nitatumia Kiswahili aelewe ama nitumie English ndio aelewe vizuri </Swahili>.,Sometimes <English> you can just talk </English> maybe <English> you find a name that is </English> hard <English> name that is </English> hard maybe <English> if it's Swahili </English> maybe it's hard <English> to identify you are forced to say </English> in English <English> if it's easy or if </English> maybe <English> like if English is hard you speak in Swahili </English>  and then maybe <English> when you are somewhere like </English> maybe <English> it's somebody </English> lets say <English> if am talking to somebody and who doesn't Swahili that much so I will use </English> maybe <English> if there is a term that can give him/her a problem I will use Swahili so that he/she can understand or I'll use English so that she/he can understand better.,,
,Interviwer,,Apart from that any other reason.,Apart from that any other reason.,,
,Samantha 2,,Reason as to why I mix languages?,Reason as to why I mix languages?,,
,Interviwer,,Mix Languages.,Mix Languages.,,
,Samantha 2,,Am used to…(interrupted),Am used to…(interrupted),,
,Interviwer,,You are used to it it's just part of your nature,You are used to it it's just part of your nature,,
,Samantha 2,,Yah (agree) am used to <Swahili> sana sana.,Yah (agree) am used <English> mostly.,,
,Interviwer,,Do you notice any diffrence between the way you talk and the way others talk. ,Do you notice any diffrence between the way you talk and the way others talk. ,,
,Samantha 2,,The way I talk..(interrupted),The way I talk..(interrupted),,
,Interviwer,,"The way you speak, talk and the  way other students talk.","The way you speak, talk and the way other students talk.",,
,Samantha 2,,"As in <Swahili> kama mimi </Swahili> people, <Swahili> kuna venye </Swahili> as in <Swahili> kila mtu anaupeke wake wakutumia lugha yake sasa kama mimi napenda kutumia </Swahili> term <Swahili> flani mtu mwingine apendi kutumia unaona kama </Swahili> maybe <Swahili> mimi nina </Swahili> accent <Swahili> yangu mwingine ako na </Swahili> accent <Swahili> tofautu </Swahili> so <Swahili> unaona kuna tofauti yangu na yeye kama </Swahili> maybe <Swahili> mimi napenda kuongea Kiswahili napenda Kingereza natofauti wengine, </Swahili> so <Swahili> sana sana huwa kuna tofauti yah kati ya mtu na mwingine kulingana na venye huwa wanaongea. </Swahili> ","As in <English> like me </English> people, <English> there is like </English>  as in <English> everybody has it's own way of using the language like me now I like using certain </English> term <English> other people do not like using it you see if </English> maybe <English> I have my </English> accent <English> other person has a diffrent </English> accent so <English> you see there is difference between me and the other person if </English> maybe <English> I like talking in Swahili I like talking in English different to another person </English> so <English> mostly there is diffrence yah between one another in regards on how they talk.",,
,Interviwer,,"<Swahili> Na vile unaweza kuwa kwa </Swahili> room and then somebody <Swahili> anapitatu nje anajuwa hiyo ni Silvia anapita anasema </Swahili> ""Silvia"" ","<English> And when you are in a </English> room and then somebody <English> passes by outside and knows that is Silvia then say ""Silvia"" ",,
,Samantha 2,,<Swahili> Kama mimi sana sana watu wamezoea mimi niko </Swahili> loud <Swahili> huwa nikiongea niko </Swahili> loud and then <Swahili> huwa….(interrupted),<English> Mostly people have known me to be </English> loud <English> when I talk I am </English> loud and then <English> it's ….(interrupted),,
,Interviwer,,"That’s true because when in class I know when Silvia talks ""Silvia or something.","That’s true because when in class I know when Silvia talks ""Silvia or something.",,
,Samantha 2,,Eeeh (agree) am loud and then <Swahili> huwa sana sana kama niko huku huwa napenda </Swahili> as in <Swahili> sitaki nisahau sasa huwa natumia </Swahili> accent <Swahili> ya huko utaona </Swahili> maybe <Swahili> nimeonga  na </Swahili>  accent <Swahili> ya Mombasa ndio sasa mtu anaweza juwa.,Eeeh (agree) am loud and then <English> Most often when I am here I often like </English> as in <English> I don't want to forget so I often use </English> accent <English> of there you will see </English> maybe <English> I have talked with </English> accent <English> of Mombasa so someone can now know.,,
Accent,Interviwer,,<Swahili> Na kuna ile </Swahili> accent <Swahili> unaweza kusema ni </Swahili> accent <Swahili> ya bara.,<English> And there is that </English> accent <English> You can say it's </English> accent <English> from the country.,,
,Samantha 2,,Eeeeh (agree) iko.,Eeeeh (agree) there is.,,
,Interviwer,,Is it the same for everybody <Swahili> ama kuna </Swahili> accent same.,Is it the same for everybody <English> or there is </English> accent same,,
,Samantha 2,,<Swahili> Sana sana naona ziko sawa </Swahili> accent <Swahili> za bara yani watu wote wako na hiyo </Swahili> accent but <Swahili> ukienda kama Coast utapata wao pia wana </Swahili> accent <Swahili> yao sasa </Swahili> so <Swahili> unaona mtu wa Coast akiongea hapa na mtu wa bara aongee utajuwa huyu ni wa bara na huyu ni wa Coast kulingana na </Swahili> accent <Swahili> zao vile watu watakuwa wakiongea.,<English> Mostly I see there is same </English> accent <English> from country everybody is have that </English> accent but <English> when you go to Coast you will find them also have their </English> accent <English> now you see when someone from Coast talks with someone from the country talks you will know this person is from the country and this is one is from Coast according to the their </English> accent <English> the way they will be talking.,,
,Interviwer,,<Swahili> Na kulingana na </Swahili> the choice of words they use is it also possible apart from the accent.,<English> And what about </English> the choice of words they use is it also possible apart from the accent.,,
,Samantha 2,,"Choice of words eeeh (agree) maybe <Swahili> utapata mtu wa Coast kuna </Swahili> term <Swahili> fulani ambao wanapenda kutumia na utaona watu wa bara  wanapenda kutumia </Swahili> "" as in, coz, what"" <Swahili> kuna hizi majina ya English wanapenda kutumia zile </Swahili> common <Swahili> kutumia  lakini ukipata mtu wa Coast itakuwa vingumu sana umuone amemix maneno kama hayo utaona </Swahili> maybe either <Swahili> atumie Kiswahili ama kama atumie Kingereza </Swahili> but rarely <Swahili> ataingiza Kingereza atatumia Kiswahili ile yake </Swahili> pure  <Swahili> kabisa </Swahili> so <Swahili> atajuwa huyu ni wa bara na huyu ni wa Coast kulingana na zile </Swahili> words <Swahili> ambao anachoose. </Swahili>","Choice of words eeeh (agree) maybe <English> you will find someone from  Coast has a </English> certain term <English>  which they like to use and you will see people from country like to use </English> "" as in, coz, what"" <English> there are these names of English which they like to use that's </English> common <English> to use but someone from Coast would be hard to find he/she mix word like them you will see </English> maybe either <English>  use Swahili or English </English> but rarely <English> he/she will add English use Swahili that's </English> pure  <English> very much </English> so <English> you will know this person is from country they way the </English> words <English> that he/she chooses.",,
,Interviwer,,So you are saying it's possible <Swahili> kujuwa huyu mtu ni wa bara ama niwa Coast kulinagana na vile wana…(interrupted),So you are saying it's possible <English> to know this person is from country or if from Coast they way with how they..(interrupted),,
,Samantha 2,,<Swahili> Vile anavyongeoa pia choice yake ya </Swahili> words mmmh.,<English> The way he/she talks also his/her </English> choice  of words mmmh.,,
,Interviwer,,"It's possible to do that, <Swahili> na pia </Swahili> is it possible <Swahili> kama watu wanatoka bara </Swahili> both of them are from <Swahili>bara </Swahili> to tell <Swahili> huyu anatoka </Swahili> this part of <Swahili> bara….(not clear)","It's possible to do that, <English> and also </English> is it possible <English> if people are from country </English> both of them are from <English> Country </English> to tell <English> this person is from </English> this part of <English> country….(not clear)",,
,Samantha 2,,Still it's possible still <Swahili> inacome na mambo ya </Swahili> accent maybe <Swahili> utapata kama ni mkikuyu amekuja hapa na mkamba utapata mkamba ana </Swahili> accent <Swahili> yake ya Kikamba.,Still it's possible still <English> it comes with the </English> accent maybe <English> you will find if like Kikuyu has come here and Kamba you will find a Kamba have it's </English> accent <English> of Kamba.,,
,Interviwer,,<Swahili> Na yeye kama ako.(not clear)….utajua kutofautisha.,<English> And if he/she has .(not clear)… will you know the difference.,,
,Samantha 2,,<Swahili> Juu inaona ata Coast sio kwamba ati sisi </Swahili> as in Coast still <Swahili> kuna hizi </Swahili> tribes <Swahili> ambao zinatoka bara zinakuja  huko </Swahili> still so <Swahili> tunainteract na wao.,<English> Because you see even Coast is not like we </English> as in Coast still <English> there are these </English> tribes <English> that come from country </English> still so <English> we interact with them.,,
,Interviwer,,<Swahili> lakini wengi wao wanaenda kupick up Kiswahili ya kule na… </Swahili> but still <Swahili> utajuwa.,<English> But many of them will end up picking Swahili for there </English>  but…still <English> you will know.,,
,Samantha 2,,Eeeeh (agree) still <Swahili> utajuwa kama </Swahili> maybe <Swahili> wakiongea nitajuwa kama huyu ni mkamba ama huyu ni mkikuyu ama huyu ni mjaluo.,Eeeeh (agree) still <English> you will know if </English> maybe <English> when they talk I will know if this is a Kamba or this is a Kikuyu or this is Jaluo.,,
,Interviwer,,<Swahili> Na wale wako kule.,<English> And those who are there.,,
,Samantha 2,,As in <Swahili> wale ambao wamelelewa kule kabisa?,As in <English> those who are brought up there?,,
,Interviwer,,Eeeh!,Eeeeh!,,
,Samantha 2,,"Hee! <Swahili> Hiyo ni vigumu kama kuna msichana mwingine nilikuja nikampata huku sasa wakati tunaongea na yeye </Swahili> as in <Swahili> nilikuwa napita hivi akaongea nikajuwa huyu mtu ni wa Coast sasa nikaenda kumsalimia </Swahili> but then <Swahili> nikashagaa ata hayuko katika hiyo </Swahili> tribes <Swahili> za Coast akaniambia ni mjaluo ameendatu amekaa Coast </Swahili> for three years but <Swahili> amechange kabisa Kiswahili yake mpaka sahizi ukimskia anaongea, anaongea na </Swahili> accent <Swahili> ya  huko kabisa.","Hee! <English> that is hard there is another lady I met here now when we were talking she </English> as in <English> I was passing by when she spoke I knew this person is from Coast so I went to greet her </English> but then <English> I was suprised she is not from those </English> tribes <English> of Coast she told me she is a Luo, she have just stayed in Coast </English> for three years but <English> she is completely changed her Swahili until when you hear her nowdays talking, she talks with an </English> accent <English> from there very much. ",,
,Interviwer,,So <Swahili> inakuwa vigumu.,So <English> it becomes hard.,,
,Samantha 2,,"So <Swahili> inakuwa vigum,  inategemea </Swahili> by the way environment <Swahili> ambayo umelelewa nayo pale mahali ulelewa ita </Swahili> determine <Swahili> vile utakuwa unaongea eeh.","So <English> it becomes hard, it depends </English> by the way environment <English> which you are brought up with it will </English> determine <English> the way you will talk eeh.",,
,Interviwer,,"Ok, <Swahili> useme mtu anazungumuza mahali na humuoni, nilisema Silvia </Swahili> is in a room and the she talks, is it possible to tell their background from the way they are talking without you seeing them anything about their background is it possible.","Ok, <English> lets say somebody is talking somewhere and you don't see her, I said Silvia </English>is in a room and the she talks, is it possible to tell their background from the way they are talking without you seeing them anything about their background is it possible.",,
,Samantha 2,,You can have a clue of it.,You can have a clue of it.,,
,Interviwer,,What things about the background for example.,What things about the background for example.,,
,Samantha 2,,"Maybe mostly <Swahili> unaweza </Swahili> maybe tribe, <Swahili> sana sana unawezajuwa </Swahili> tribe, tribe <Swahili> yenye anatoka  ama mahali ametoka kama </Swahili> maybe, <Swahili> inategemea </Swahili> still accent <Swahili> vile atakavyo ogea na </Swahili>choice<Swahili> yake ya </Swahili> words <Swahili> ndio itakuambia kama huyo mtu ni wa nyeri </Swahili> as in <Swahili>  itakuambia kama huyu mtu ni wa </Swahili> tribe <Swahili> gani </Swahili> mostly <Swahili> sasa zilemeneno na ile </Swahili> accent <Swahili> ambayo atakuwa nayo ndio itakufanya ujuwe hiyo mtu ametoka mahali fulani na huyo mtu ni wa wapi.","Maybe mostly <English> you can </English>maybe tribe, <English> mostly you can know </English> tribe, tribe <English> where he/she is from or where he/she is from if </English> maybe, <English> it depends with his/her </English> choice <English> of </English> words <English>if hat person is from Nyeri </English> as in <English> it will tell you if this person is from which </English> tribe mostly <English> so those words and the </English> accent <English> that he/she will have so that can make you know where this person is from and where that person belongs.",,
Leve of Education,Interviwer,,So you can tell. What about <Swahili> vitu kama </Swahili> level of education <Swahili> ya mtu </Swahili> from the way they talk is it possible to tell that this person <Swahili> amesoma sana ama huyu hajasoma vile.,So you can tell. What about <English> things like </English> level of education <English> of somebody </English> from the way they talk is it possible to tell that this person <English> is educated or not educated.,,
,Samantha 2,,"Eeeeh (agree) but <Swahili> hiyo si sana </Swahili> but still you can , you can <Swahili> sana sana venye </Swahili>choice <Swahili> yake ya </Swahili> words maybe <Swahili> kama atakuwa anatumia </Swahili> vocabularies <Swahili> ama misamiati mikubwa mikubwa utajuwa huyu mtu </Swahili> either <Swahili> kama maybe huyu mtu anaongea Kiswahili kabisa ile </Swahili> pure <Swahili> na anatumia </Swahili> maybe <Swahili> misamiati ama maneno magumu yale magumu kabisa utajuwa huyu mtu </Swahili> maybe <Swahili> amesoma Kiswahili ama amesomea Kiswahili </Swahili> for long <Swahili> ama unaweza kupata mtu ambaye anaongea </Swahili> English fluent <Swahili>kabisa eeh utajuwa huyu mtu </Swahili> maybe as in <Swahili> amesoma English yani ni msomi eeh utajuwa  ","Eeeeh (agree) but <English> that is not that much </English> but still you can, you can <English> mostly with the </English> his/her choice <English> of </English> words maybe <English> if she/he will be using </English> vocabularies <English> or hard  idioms you will know this person </English> either <English> if </English> maybe <English> this person speaks Swahili very much that is </English> pure <English> and uses </English> maybe <English> Idioms or hard vocabularies you will know this person </English> maybe <English> study Swahili or studied Swahili </English> for long <English> or capable to meet somebody who can talk </English> English fluent <English> very much eeh you will know this person </English> maybe as in <English> have majored in  English as in he is learned eeh you will know.  ",,
,Interviwer,,But <Swahili> unaweza pata ule alitoka </Swahili> class eight but was very in English.,But <English> you can find the one who is from </English> class eight but was very in English.,,
,Samantha 2,,<Swahili> Sasa unaona mtu kama huyo </Swahili> maybe <Swahili> alidrop </Swahili> but still maybe he or she was good in English but then <Swahili> alipodrop </Swahili> out <Swahili> akaendelea </Swahili> still <Swahili> kulearn </Swahili> English so <Swahili> utajuwa huyu mtu alisoma hiyo English mpaka akajuwa kabisa.,<English> Now you see a person like that </English> maybe <English> he/she drop </English>  but still maybe he or she was good in English but then <English> when he/she drop </English> out <English> still continued to learn </English> English so <English> you will know this person studied that English untill he/she know very much.,,
Position in The society,Interviwer,,Position of somebody in the society.,Position of somebody in the society.,,
,Samantha 2,,"Position <Swahili> kutokana na venye anaongea eeh </Swahili> I don't think, I don’t think <Swahili> kama …(interrupted)","Position <English> according to how you talk eeh </English> I don't think, I don’t think <English> if …(interrupted)",,
,Interviwer,,<Swahili> Unawezajuwa kama huyu ni </Swahili> somebody like president <Swahili> ama huyu mwingine </Swahili> vice president <Swahili> ama huyu mwingine ni </Swahili> village elder or common <Swahili> mwananchi </Swahili> is it possible.,<English> Can you know if this is a </English> somebody like president <English> or this other person is </English> vice president <English> or this other person is a </English> village elder or common <English> citizen </English> is it possible.,,
,Samantha 2,,Common <Swahili> mwananchi ( laughter) </Swahili> maybe choice of words maybe <Swahili> utapata president atatumia zile </Swahili> terms <Swahili> amazoeana nazo tangu aingie kwa </Swahili> office <Swahili> sasa ile </Swahili> choice of words <Swahili> ndio </Swahili> maybe <Swahili> inaweza kakupa </Swahili> clue <Swahili> huyu anacheo gani ama anahold </Swahili> post <Swahili> gani mahali fulani sasa </Swahili> choice of words <Swahili> sana sana inaweza kukuambia  </Swahili>post <Swahili> ya mtu.  ,Common <English> citizen (laughter) <English> maybe choice of words maybe <English> you will find </English> president <English> using those </English> terms <English> he/she is is used to since been in the </English> office <English> so the </English> choice of words <English> is </English> maybe <English> can give you </English> clue <English> this person have which positon or holding which </English> post <English> somewhere now </English>  choice of words <English> mostly can tell you the </English> post <English> of a person.  ,,
Political affiliation,Interviwer,,"What about political affiliation <Swahili> ya mtu </Swahili> from the way they speak like when you are in campus and then there students off course <Swahili> kama </Swahili> elections were on the other day so the way somebody speaks <Swahili> na unajuwatu huyu huyu lazima ni wa Cord  (""Coalition of Reformed Party"" Name of political party) huyu lazima </Swahili> is it possible.","What about political affiliation <English> of somebody </English> from the way they speak like when you are in campus and then there students off course <English> like </English> elections were on the other day so the way somebody speaks <English> and you just know this person must be on  the Cord (""Coalition of Reformed Party"" Name of political party)  this is  amust </English> is it possible.",,
,Samantha 2,,"Eeeeh (agree) by the way <Swahili> mtu kama anasupport anasurpport </Swahili> party <Swahili> fulani utaonakatika venye anaongea atakuwa </Swahili> maybe <Swahili> anaongea </Swahili> in a way<Swahili> akitetea hiyo </Swahili> party <Swahili> sana sana </Swahili> and then <Swahili> watu wengine hutumia </Swahili> tribe <Swahili> ku, ku </Swahili> as in <Swahili> kuassociate mtu </Swahili> na party <Swahili> fulani ama </Swahili> maybe <Swahili> ukipata mkikuyu utasema huyu </Swahili> obvious <Swahili> anasurpport TNA (""The Natinal Alliance Party""Name of a political party) ama ukipata mjaluo utasema </Swahili> obvious <Swahili> anasurpport CORD (""Coalition of Reformed Party"" Name of political party) ile </Swahili> but <Swahili> hiyo ni </Swahili> just judgment <Swahili> ya mtu </Swahili> but <Swahili> sana sana utaangalia venye mtu anaongea eeh venye atakuwa </Swahili> maybe <Swahili> anasurpport ama anaoppose </Swahili> party <Swahili> fulani hiyo ndio itakujulisha </Swahili> political <Swahili> hiyo ni yake.","Eeeeh (agree) by the way <English> If somebody support a certain </English> party <English> you will see the way he/she talks </English> maybe <English> he/she talks </English> in a way <English> deffending that </English> party <English> mostly </English> and then <English> other people often use </English> tribe <English> to, to </English> as in <English> to associate with certain </English> party <English> or </English> maybe <English> when you get a Kikuyu you will this one </English> obvious <English> is suppoting TNA (""The Natinal Alliance Party"" Name of a political party) or when you get a Luo you will say </English> obvious <English> is supporting CORD (""Coalition of Reformed Party"" Name of political party) </English> but <English> that is </English> just judgment <English> of somebody </English> but <English> mostly you will see the way somebody is talking eeh he/she will be </English> maybe <English> you are supporting or you oppose certain </English> that will show you the </English> political <English> that belongs.",,
,Interviwer,,Do you speak different languages to different people.,Do you speak different languages to different people.,,
,Samantha 2,,Different language as in?,Different language as in?,,
,Interviwer,,"Because <Swahili> umeniambia unajuwa Kigiriama unajuwa Kingereza </Swahili> which other language do you know apart from the three, Kibajuni.","Because <English> you have told me you know giriama do you know English </English> which other language do you know apart from the three, Kibajuni.",,
,Samantha 2,,As in ahh…(interrupted),As in ahh…(interrupted),,
,Interviwer,,You know several languages so do you speak these different languags to different people.,You know several languages so do you speak these different languags to different people.,,
,Samantha 2,,Eeeeh (agree) I do.,Eeeeh (agree) I do.,,
,Interviwer,,What motivate that to why do you do that.,What motivate that to why do you do that.,,
,Samantha 2,,For example maybe if the formal conversation as in <Swahili> kama </Swahili> maybe the language that I am surppose to use is Kiswahili I use <Swahili> Kiswahili nitahakikisha sijamix kitu ingine </Swahili> and then <Swahili> kama </Swahili> maybe <Swahili> ni mahali ambao nahitajika niongee English peke yake </Swahili> I will use English <Swahili> sana sana </Swahili> and then kama maybe <Swahili> nimeenda huko </Swahili> home <Swahili> nimepatana na mtu </Swahili> maybe <Swahili> mgiriama </Swahili> and then maybe <Swahili> ni mtu mwenye hajuhi hizi lugha zingine </Swahili> so mostly I will use <Swahili> Kigiriama ama </Swahili> maybe <Swahili> nimepata mtu mwenye ni mswahili mwenye anajuwatu Kiswahili sana sana nitatumia Kiswahili peke yake yah.,For example maybe if the formal conversation as in <English> like </English> maybe the language that I am surppose to use is Swahili I use <English> Swahili I will make sure I haven't mix anything </English> and then <English> if  </English> maybe <English> it's a place that I am to speak in English only </English> I will use English <English> mostly </English> and then <English> like </English> maybe <English> when am gone </English> home <English> and meet with a person </English> maybe a giriama </English> and then maybe <English> it's a person who doesn't know these other  languages </English> so mostly I will use <English> giriama or </English> maybe <English> I get somebody who is a Swahili who knows mostly Swahili I will use Swahili only yah. ,,
,Interviwer,,So depending on the context <Swahili> ni nani unazungumuzia.,So depending on the context <English> with who you are talking to.,,
,Samantha 2,,Eeeh! <Swahili> Mwenye nazungumuza naye </Swahili> context <Swahili> yenyewe yah hiyo ndio itadetermine ni </Swahili> language <Swahili> gani nitause yah.,Eeeh! <English> who am talking to the main </English> context <English> yah that will determine which </English> language <English> I will use yah. ,,
,Interviwer,,<Swahili> Umewahi kujaribu kubadilisha </Swahili> the way you talk or anything about the way you talk.,<English> Have you ever try to change </English> the way you talk or anything about the way you talk.,,
,Samantha 2,,Eeeeh (agree) <Swahili> kama mimi </Swahili> I do mostly  I do change <Swahili> kama nikikuwa Coast utaniona nikitumia </Swahili> accent <Swahili> ya kule kama mimi nikitoka hapa saa hii  nikienda kule </Swahili> maybe day <Swahili> ya kwanza peke yake ndio mtu atasema nimefika leo </Swahili> but after <Swahili> nimeka </Swahili> two days <Swahili> nitakuwa nimeshaadapt eeeh! nishaadapt ya kule na nikikuja huku nitakuwa nishachange </Swahili> as in maybe <Swahili> ile day ya kwanza venye nimezoea kule nitakuja hapa </Swahili> then the following day <Swahili> ama </Swahili> after maybe even two to three days <Swahili> nitakuwa nimeshaadapt.,Eeeeh (agree) <English> like me </English> I do mostly  I do change <English>like when I am in Coast you will see me using </English> accent <English> for there like me now when I leave here now and go there </English> maybe day <English> there first day is when somebody will say I arrived today </English> but after <English> staying </English>  two days <English> I will have adapt when I come here I will have change </English> as in maybe <English> the first one the way I am used there I will come here </English> then the following day <English> or <English> after maybe even two to three days <English> I will have adapt.,,
,Interviwer,,How do you do that.,How do you do that.,,
,Samantha 2,,"As in for example <Swahili> nikitoka hapa nikienda huko </Swahili> home <Swahili> huwa napenda </Swahili> as in <Swahili> nijiweke sawa sawa na hao watu sitaki </Swahili> maybe <Swahili> waone ""huyu naye ashatoka huko anakuja hapa na Sheng"" eeeh nimekuwa wa bara sijuhi nini so sana sana huwa natumia Kigiriama  </Swahili> and then <Swahili> venye watu watakuwa wanaongea mimi nikiongea tofauti yani nitaona kama eeh! kuna venye nakosea </Swahili> as in <Swahili> nitaona kama watu wataona kama mimi siwa hapo ama nitafeeltu si poa </Swahili> so <Swahili> nitaongeatu na wao kulingana na venye wanaongea.</Swahili> ","As in for example <English> when I leave here and go </English> home <English> I normaly like </English> as in <English> put myself same as other people I don't want </English> maybe <English> them to see "" this one has come from there and come here with Slang"" eeh I am from country I don't know what </English> so <English> mostly I use girima </English> and then <English> the way people will be talking I will be talking differently I will see like eeh! there is a way that I am doing wrong </English> as in <English> I will see like people are seeing me like I dont't belong there or I will just feel not good </English> so <English> I will talk to them the way how they are talking.",,
,Interviwer,,<Swahili> Na ukiwa huku.,<English> And when you are here.,,
,Samantha 2,,"<Swahili> Na nikikuja huku pia nikianza tena kuongea Kiswahili </Swahili> maybe <Swahili> ya huko </Swahili> maybe <Swahili> watasema ""eeh huyu naye ama huyu naye anauswahili mingi sasa nikikuja huku nitaongea sawa sawa na wao pia nisifeel ile </Swahili> awkward <Swahili> naongea tofauti na watu sasa huwa natakatu niiteract na watu </Swahili> at the same level.","<English> And when I also come here when I also start speaking in Swahili </English> maybe <English> for there </English> maybe <English> they will say "" eeh this one or this one has lots of  Swahili"" now when I come here I will talk same like them so that I won't feel </English> awkward <English> I am talking different from other people now I always want to interact with people </English> at the same level.",,
,Interviwer,,So you always feel the guilt too to fit in.,So you always feel the guilt too to fit in.,,
,Samantha 2,,"Yah (agree) to fit in, in any conversation <Swahili> kama mtu tunaongea na mtu nifeel </Swahili> that <Swahili> yani wasifeel kama mimi </Swahili> maybe <Swahili> si wa hapa ama mimi ni mtu tofauti kabisa yah. </Swahili>","Yah (agree) to fit in, in any conversation <English> if am talking with  person I feel </English> that <English> as in they won't feel is I </English> maybe <English> I not from here or I am very different yah.",,
,Interviwer,,"<Swahili> Na </Swahili>  with your lectures how do you, what language do you use with them.","<English> And </English> your lectures how do you, what language do you use with them.",,
,Samantha 2,,Mostly English yah.,Mostly English yah.,,
,Interviwer,,That will be the same English that you would use with your friends.,That will be the same English that you would use with your friends.,,
,Samantha 2,,No.,No.,,
,Interviwer,,<Swahili> Unachange tena </Swahili> to which kind of English.,<English> You change again </English> to which kind of English.,,
,Samantha 2,,"Maybe to pure English <Swahili> nitaongeatu </Swahili> English <Swahili> kabisa, </Swahili> but <Swahili> kama, si sawa sawa venye nitaongea na rafiki yangu fulani </Swahili> English <Swahili> yangu </Swahili>  but <Swahili> kama </Swahili> ni lecture <Swahili> nitatumia </Swahili> either <Swahili> kama nimeamua ni Kiswahili nitatumia Kiswahili nitatumia kabisa Kiswahili na kama ni </Swahili> English <Swahili> na sasa hapo mwanzo nimesema inatengemea na ile </Swahili> formality <Swahili> ya hiyo </Swahili> converstion <Swahili> kama ni </Swahili> formal I will use just if it's <Swahili> Kiswahili, Kiswahili </Swahili> and if it's English, English in informal converstion <Swahili> nachanganya lugha zote yah.","Maybe to pure English <English>I will just speak in </English> English <English> very much </English> but <English> if it's not ok the way I talk with my other certain friends my </English> English but <English> like </English> ni lecture <English> I will use </English> either <English> if I have decided it's Swahili I will use Swahili I will use Swahili and if it's </English> English <English> and first I said it depends with the </English> formality <English> of that </English>  converstion <English> if it's </English> formal I will use just if it's <English> Swahili , Swahili </English>  and if it's English, English in informal converstion <English> I mix all language yah.  ",,
,Interviwer,,<Swahili> Saa hizi </Swahili> this time what are the issues you are discusing with you and your friends what are the issues that are most discused.,<English> Now </English> this time what are the issues you are discusing with you and your friends what are the issues that are most discused.,,
,Samantha 2,,<Swahili> Kama saa hii </Swahili> discussion <Swahili> ni kwenda </Swahili> home…(both laugh),<English> Like now </English> discussion <English> is to go </English> home…(both laugh),,
,Interviwer,,<Swahili> Watu wamemiss </Swahili> home <Swahili> sana.,<English> People have missed </English> home <English> very much. ,,
,Samantha 2,,Eeeeh (agree) <Swahili> ndio utaona sana sana tunaongea kwenda </Swahili> home <Swahili> venye mtu amemiss </Swahili> home <Swahili> na </Swahili> as in <Swahili> anaongea sasa saa hii unaona ubaya ya huku shule sasa tunaanza kuongea juu ya shule venye shule imekuuthi ama venye shule imekufanya eeh sana sana tutaongeatu hivo juu sasa venye tuko karibu kwenda nyumbani yah.,Eeeeh (agree) <English> That's when you will see us mostly about going </English> home <English> the way somebody have miss </English> home <English> and </English> as in <English> I talk mostly about the negative about school the way school have bored you or the way school has done to you eeh mostly we will just talk like that the way we are almost going home yah.,,
,Interviwer,,What else <Swahili> wachasasa wakati huo karibu kwenda nyumbani </Swahili> semester <Swahili> iko </Swahili> in the middle somewhere there what would you be talking relaxing in the hostel over the weekend .,What else <English> ok what about when almost gone home </English> semester <English> is </English> in the middle somewhere there what would you be talking relaxing in the hostel over the weekend .,,
,Samantha 2,,Well topic <Swahili> tuzinazuka zenye </Swahili> sometimes <Swahili> utapata </Swahili> maybe <Swahili> tunaongea juu ya </Swahili> course <Swahili> zenye tunafanya tunaanza kuplan </Swahili> future lives <Swahili> ama tuanze ku…(interrupted),Well topic <English> just come </English> sometimes <English> you will find </English> maybe <English> we are talking about </English> course <English> which we are doing we start to plan </English> future lives <English> or we start to…(interrupted),,
,Interviwer,,You are already planning future life at first year.,You are already planning future life at first year.,,
,Samantha 2,,Eeeeh (agree) (laugh) <Swahili> situnaanza kuongea venye </Swahili> maybe <Swahili> utataka ukitoka hapa huende wapi ufanye nini yah.,Eeeeh (agree) (laugh) <English> we start talking how </English> maybe <English> you will want to do when you leave here where will go what will you do yah.,,
,Interviwer,,<Swahili> Kama wewe sasa unataka ufanye nini ukifinish .,<English> Like you now what do you want to do when you finish.,,
,Samantha 2,,<Swahili> Sasa mimi kwanza mimi nikitoka hapa nataka niingie </Swahili> local radio station <Swahili> yeyote ile nipate </Swahili> experience then after that <Swahili> ndio nianze kutafuta hizi </Swahili> major industries <Swahili> hizi kubwa kubwa.,<English> Now like me first when I leave here I want to join any </English> local radio station <English> to get </English> experience then after that <English> is when iI start looking for these </English> major industries <English> these big big.,,
,Interviwer,,<Swahili> Sasa malocal </Swahili> radio station <Swahili> unamanisha zile za huku Pwani.,<English> Now the local </English> radio station <English> you mean those one for Pwani. ,,
