,,,,,,,,,
Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,,
,,Interviewer,,<Swahili>Kwahivyo kuchanganya ndimi.</Swahili> ,<English>So codeswitching.</English>,,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,<Swahili>Ni</Swahili> <Sheng>swag.</Sheng>,<English>Is</English> <English>swag.</English>,CS,Unmarked.,,
,,Donna,,"<Swahili>Mm, ni swag,</Swahili> yes. Swag.","<English>Mm, is swag,</English> yes. Swag.",CS,Unmarked.,,
,,Interviewer,,Okay. ,Okay. ,,,,
,,Donna,,By the way there's a Kipsigis term for swag.,By the way there's a Kipsigis term for swag.,,,,
,,Interviewer,,You should tell me.,You should tell me.,,,,
,,Donna,,Swagate? (she laughs heartily),Swagate? (she laughs heartily),,,,
,Languages Most Often Mixed,Interviewer,00:20:46mins,"Now, you talk of mixing languages for fun. Which languages when you mix is fun? Or which languages do you tend to mix?","Now, you talk of mixing languages for fun. Which languages when you mix is fun? Or which languages do you tend to mix?",,,,
,,Donna,,"Kiswahili and English are the first ones. French-of late, French and English. French and English, yes. And Sheng and Kiswahili. You know Sheng is not far from Kiswahili most of the words are Kiswahili words so you will tend to mix. And then English and Kiswahili those are two official languages. And then French-French how will I start mixing it with Sheng? Sheng, first of all the vocabulary might not be so rich, might not be so wide.  So English is the other alternative to mix it with.","Kiswahili and English are the first ones. French-of late, French and English. French and English, yes. And Sheng and Kiswahili. You know Sheng is not far from Kiswahili most of the words are Kiswahili words so you will tend to mix. And then English and Kiswahili those are two official languages. And then French-French how will I start mixing it with Sheng? Sheng, first of all the vocabulary might not be so rich, might not be so wide.  So English is the other alternative to mix it with.",,,,
,,Interviewer,,With French?,With French?,,,,
,,Donna,,Yes. ,Yes. ,,,,
,,Interviewer,,Okay. And it's-{it's really}=,Okay. And it's-{it's really}=,,,,
,,Donna,,"{And the Kipsigis it didn't feature anywhere}. The Kipsigis you might mix it with Kiswahili or English, mm.","{And the Kipsigis it didn't feature anywhere}. The Kipsigis you might mix it with Kiswahili or English, mm.",,,,
,,Interviewer,,You have found yourself doing that?,You have found yourself doing that?,,,,
,,Donna,,"Yes..[says something in different language, presumably Kipsigis] Or maybe to emphacize something you can mix.","Yes..[says something in different language, presumably Kipsigis] Or maybe to emphacize something you can mix.",,,,
,,Interviewer,,"So in situations where you are -want to emphacize something you find yourself mixing. But out of these kinds of mix, or kinds of languages you mix, can you isolate mabye two languages that you, mix most? Or it's just-you just equally mix all of them?","So in situations where you are -want to emphacize something you find yourself mixing. But out of these kinds of mix, or kinds of languages you mix, can you isolate mabye two languages that you, mix most? Or it's just-you just equally mix all of them?",,,,
,,Donna,,"Mm, okay you can't mix all of them. You-you mix all of them. Okay you can mix you really have that brain eh? Capacity to accommodate all those.  Imagine me starting a statement with ""Where..allez..going..ngori"" just listen. (laughs) You will even miss out on whatever it is that you are saying. Yea. But for:-okay you've asked the-the languages that I find myself mixing often. Kiswahili and English. English and Kiswahili, these are the accepted systems that we have everywhere. It's, mmh-okay <Swahili>wacha nisiseme</Swahili> universal but in Kenya, anywhere, that language English and Kiswahili will help you acquire whatever it is that you are seeking or whatever it is that you are doing. So English and Kiswahili, now the most that I mix","Mm, okay you can't mix all of them. You-you mix all of them. Okay you can mix you really have that brain eh? Capacity to accommodate all those.  Imagine me starting a statement with ""Where..allez..going..ngori"" just listen. (laughs) You will even miss out on whatever it is that you are saying. Yea. But for:-okay you've asked the-the languages that I find myself mixing often. Kiswahili and English. English and Kiswahili, these are the accepted systems that we have everywhere. It's, mmh-okay <Swahili>wacha nisiseme</Swahili> universal but in Kenya, anywhere, that language English and Kiswahili will help you acquire whatever it is that you are seeking or whatever it is that you are doing. So English and Kiswahili, now the most that I mix",CS,Unmarked.,,
,,Interviewer,00:23:17mins,"I-i-in the way you talk, have you ever noticed any difference from the way the rest of students talk, or speak?","I-i-in the way you talk, have you ever noticed any difference from the way the rest of students talk, or speak?",,,,
,,Donna,,"Mm hmm. Mm hmm. Yea, I could speaking [ucertain transcription] or I could be speaking and maybe I don't have that influence. Or maybe I could be having the influence it depends. ","Mm hmm. Mm hmm. Yea, I could speaking [ucertain transcription] or I could be speaking and maybe I don't have that influence. Or maybe I could be having the influence it depends. ",,,,
,,Interviewer,,"What specificallly-what specifically is the difference between the way you-you talk, {the way}=","What specificallly-what specifically is the difference between the way you-you talk, {the way}=",,,,
,,Donna,,{And somebody else's},{And somebody else's},,,,
,,Interviewer,,Other students talk?,Other students talk?,,,,
,,Donna,,"Mmmm, the influence is the first thing that I have said. Mmm. Some might be having the influence from the first-their first language. So if the person is a Kisii, they will tend to have that-though not all of them, they will tend to have that influence from Kisii. And then, the vocabulary that you have. Mine might be richer (she laughs) but maybe because I read a lot of storybooks and all those things or I read a lot. And somebody else's could be limited. Maybe considering the kind of vocabulary that they come across everyday. Maybe someone might not be so enthusiastic about learning language. So: the one that you have is the one that they will use to do whatever it is that they are doing. But if I have an interest for example, I find a book somewhere and I just start reading. The word that I might [uncertain transcription] that I had not seen it or used it before you might find me using it in the next conversation. yes.","Mmmm, the influence is the first thing that I have said. Mmm. Some might be having the influence from the first-their first language. So if the person is a Kisii, they will tend to have that-though not all of them, they will tend to have that influence from Kisii. And then, the vocabulary that you have. Mine might be richer (she laughs) but maybe because I read a lot of storybooks and all those things or I read a lot. And somebody else's could be limited. Maybe considering the kind of vocabulary that they come across everyday. Maybe someone might not be so enthusiastic about learning language. So: the one that you have is the one that they will use to do whatever it is that they are doing. But if I have an interest for example, I find a book somewhere and I just start reading. The word that I might [uncertain transcription] that I had not seen it or used it before you might find me using it in the next conversation. yes.",,,"Establishes her language expertise. Gives reason for her higher level knowledge but laughs while doing it. Perhaps she is acknowledging that she is breaking the cultural norm of being humble.  *I don't know of the specific Kipsigis culture with regards to humility, but generally speaking, in East Africa, singing one's  own praises in not the accepted norm. ",
,,Interviewer,,"So it's all about reading, building on vocabulary. ","So it's all about reading, building on vocabulary. ",,,,
,,Donna,,"Yes, yes.","Yes, yes.",,,,
,,Interviewer,,Now can you tell if somebody from your area talks. Can you-can you tell that this person comes from my area?,Now can you tell if somebody from your area talks. Can you-can you tell that this person comes from my area?,,,,
,,Donna,,Yes. I can tell.,Yes. I can tell.,,,,
,,Interviewer,,How can you tell?,How can you tell?,,,,
,,Donna,,"Mmm, there's-there's some specific vocabulary that I might know because of the things that are found in my place.","Mmm, there's-there's some specific vocabulary that I might know because of the things that are found in my place.",,,,
,,Interviewer,,Even if they spoke in English or Kiswahili?,Even if they spoke in English or Kiswahili?,,,,
,,Donna,,"Or Kiswahil-no-maybe in mother-yea, maybe in. Because language, you can use it to express whatever it is that you're seeing.  So maybe I have seen aah-what can I say? If you don't have a television in your place and I-I-I-I have seen one in my place. I might say 'a television' and you you've just-you just know the word. No maybe you don't even know. For you to use that language you must have-for you to use..naming. We use language to name things. So me- for me to say a certain kind of [she speaks in another language] ","Or Kiswahil-no-maybe in mother-yea, maybe in. Because language, you can use it to express whatever it is that you're seeing.  So maybe I have seen aah-what can I say? If you don't have a television in your place and I-I-I-I have seen one in my place. I might say 'a television' and you you've just-you just know the word. No maybe you don't even know. For you to use that language you must have-for you to use..naming. We use language to name things. So me- for me to say a certain kind of [she speaks in another language] ",,,,
,,Interviewer,,Pine.,Pine.,,,,
,,Donna,,"<Swahili>Hiyo ni</Swahili> pine tree. Yes, in English it's pine. In Kale eeh, yes. If I have it in my place I would use that kind of vocabulary. I might go to Turkana, where they've never seen a pine tree. How on earth would somebody start talking about a pinetree and they don't -they've never seen it?","<English>That is</English> pine tree. Yes, in English it's pine. In Kale eeh, yes. If I have it in my place I would use that kind of vocabulary. I might go to Turkana, where they've never seen a pine tree. How on earth would somebody start talking about a pinetree and they don't -they've never seen it?",CS,Unmarked.,,
,,Interviewer,,Mm mm.,Mm mm.,,,,
,,Donna,,"Yea, so we:-we have vocabulary for whatever it is that is around us.  Yes.","Yea, so we:-we have vocabulary for whatever it is that is around us.  Yes.",,,,
,,Interviewer,,So you can tell that this person comes from my area based on the kind of vocabulary they use. ,So you can tell that this person comes from my area based on the kind of vocabulary they use. ,,,,
,,Donna,,"Yes, vocabulary is one of the things.","Yes, vocabulary is one of the things.",,,,
,,Interviewer,,How else?,How else?,,,,
,,Donna,,"Another thing me is uuh, the way they talk. The-some-sometimes may not be similar. Like aah, let me just use Kipsigis cuz that is the one I know. People from Kericho, people from Sortik and from Transmara.  You know the way they use language.  People from Transmara, they will have so many vocabularies for things. And very conquenced-conc-ni concentrated. Yea, but somebody from Sortik, their language might be a little bit <Swahili>iko tu hapo hivyo katikati.</Swahili> And somebody from Kericho, their Kipsigis might even be now distorted with the Kiswahili.","Another thing me is uuh, the way they talk. The-some-sometimes may not be similar. Like aah, let me just use Kipsigis cuz that is the one I know. People from Kericho, people from Sortik and from Transmara.  You know the way they use language.  People from Transmara, they will have so many vocabularies for things. And very conquenced-conc-ni concentrated. Yea, but somebody from Sortik, their language might be a little bit <English>it's just there in the middle.</English> And somebody from Kericho, their Kipsigis might even be now distorted with the Kiswahili.",CS,Unmarked.,,
,,Interviewer,,Okay.  ,Okay.  ,,,,
,,Donna,,Yes. So there's a difference in the way they are going to use the language.,Yes. So there's a difference in the way they are going to use the language.,,,,
,,Interviewer,,"Mm hmm. You have highlighted..uhh, the way people would use their mother tongue. Okay-uh-it's-if any other person who does not understand mother tongue..spoke maybe in English or Kiswahili, could you still pinpoint the area they come from?","Mm hmm. You have highlighted..uhh, the way people would use their mother tongue. Okay-uh-it's-if any other person who does not understand mother tongue..spoke maybe in English or Kiswahili, could you still pinpoint the area they come from?",,,,
,,Donna,,"If they have that influence, I can tell where they are coming from. Somebody from Central, an 'l' in an 'l', whether you have it in Kikuyu or in English so they will tend to pronounce it the same way. Especially if they have that kind of influence. So, I will tell. If it's a Luo and they omit the 's' or the 'h' whichever, you will tell that this is a Luo even if they're speaking in English. Yes.","If they have that influence, I can tell where they are coming from. Somebody from Central, an 'l' in an 'l', whether you have it in Kikuyu or in English so they will tend to pronounce it the same way. Especially if they have that kind of influence. So, I will tell. If it's a Luo and they omit the 's' or the 'h' whichever, you will tell that this is a Luo even if they're speaking in English. Yes.",,,,
,,Interviewer,,Okay. I come from Transmara (she starts laughing). Can you tell that I come from that place from the way I speak? ,Okay. I come from Transmara (she starts laughing). Can you tell that I come from that place from the way I speak? ,,,,
,,Donna,,"(laughing) From the way you speak, maybe if I interact with you more and know that-and know the kind of vocabulary that you are using is when I will know that you come from those place, eh?","(laughing) From the way you speak, maybe if I interact with you more and know that-and know the kind of vocabulary that you are using is when I will know that you come from those place, eh?",,,,
,,Interviewer,,But so far=,But so far=,,,,
,,Donna,,"Like for example, what do you call [she speaks in another language, not Swahili nor Sheng]. What do you call-you know this-the-the traditional hats [speaks in another language]. <Swahili label='elaboration'>Unaitaje huko ndani? Uko?</Swahili label='elaboration'> [speaks in another language mixed with Swahili. He then responds with 'njoo'] (she laughs) By the way I learned that <Swahili>wenye nilienda</Swahili> Transmara.","Like for example, what do you call [she speaks in another language, not Swahili nor Sheng]. What do you call-you know this-the-the traditional hats [speaks in another language]. <English>How do you call it insider? In there?</English> [speaks in another language mixed with Swahili. He then responds with 'njoo'] (she laughs) By the way I learned that <English>when I went to</English> Transmara.",CS,SM: Elaboration.,,
,,Interviewer,,Okay. So it's the kind of language that people use. It's the kind of vocabulary.,Okay. So it's the kind of language that people use. It's the kind of vocabulary.,,,,
,,Donna,,"<Swahili>Mimi</Swahili> since I've never come across it, <Swahili>mi nitaita</Swahili> [another language]. Yea. So you will know. But now for your case, since I have not interacted with you so much, now you will tell me that you come from that place is when I will now start cornering you I'll say ""ah,<Swahili label='quotation'> hii ni Kipsigis ya Transmara""</Swahili label='quotation'>. But had you not said, something that would have helped me is the way you use the language. You might have said something and then I asked you ""okay, so what does that mean?"" Yea.","<English>I</English> since I've never come across it, <English>I will call it</English> [another language]. Yea. So you will know. But now for your case, since I have not interacted with you so much, now you will tell me that you come from that place is when I will now start cornering you I'll say ""ah,<English> this is Kipsigis of Transmara""</English>. But had you not said, something that would have helped me is the way you use the language. You might have said something and then I asked you ""okay, so what does that mean?"" Yea.",CS,SM: Quotation.,,
,,Interviewer,,Mm hmm. Even before you-you went ahead and asked or known the kind of vocabulary..how else?,Mm hmm. Even before you-you went ahead and asked or known the kind of vocabulary..how else?,,,,
,,Donna,,How else? Is there any other way to tell really?,How else? Is there any other way to tell really?,,,,
,,Interviewer,,From the way they talk.,From the way they talk.,,,,
,,Donna,,"From the way they talk? Apart from that influence, I-I-I cannot find a reason. Yea maybe there are but I don't know.","From the way they talk? Apart from that influence, I-I-I cannot find a reason. Maybe there are but I don't know.",,,,
,Ascertaining Level of Education by Based on Language Use,Interviewer,00:30:26mins,"So that if you heard somebody talking and you've not seen that person, can you also tell their background or the-this-by this I mean the kind, the level of education they've had=","So that if you heard somebody talking and you've not seen that person, can you also tell their background or the-this-by this I mean the kind, level of education they've had=",,,,
,,Donna,,Yes. I can tell.,Yes. I can tell.,,,,
,,Interviewer,,Their position in the society.,Their position in the society.,,,,
,,Donna,,"I can tell. And I will use the same same example here. Influence. Kikuyu:, ah Kisi:. Right now when you are sitting here and somebody down there, <Swahili>huko ni kwa</Swahili> some way, <Swahili>anaongea na ni Mujaluo</Swahili>. And the way they are going to use the language. Tell me you won't say that that is a Luo.","I can tell. And I will use the same same example here. Influence. Kikuyu:, ah Kisi:. Right now when you are sitting here and somebody down there, <English>there is of</English> some way, <English>s/he is speaking and is Luo</English>. And the way they are going to use the language. Tell me you won't say that that is a Luo.",CS,Unmarked.,,
,,Interviewer,,How can you tell this maybe?,How can you tell this maybe?,,,,
,,Donna,,"You can tell by the way they are speaking. Yea, they have a certain way of speaking. I really cannot pinpoint how but their use of language is not subtly, like somebody-like any other tribe. Them they try to use these bi:g words and then they are influenced also that will come in you will tell. And the way they are pronouncing words.","You can tell by the way they are speaking. Yea, they have a certain way of speaking. I really cannot pinpoint how but their use of language is not subtly, like somebody-like any other tribe. Them they try to use these bi:g words and then they are influenced also that will come in you will tell. And the way they are pronouncing words.",,,,
,,Interviewer,,Also the way they pronounce words.,Also the way they pronounce words.,,,,
,,Donna,,Pronounciation. Yes. That one.,Pronounciation. Yes. That one.,,,,
,,Interviewer,00:31:38mins,Okay. How about the level of education? Does it mean that-okay educated or not these people would pronounce the same words=,Okay. How about the level of education? Does it mean that-okay educated or not these people would pronounce the same words=,,,,
,,Donna,,"The same way. No, no, no, no.","The same way. No, no, no, no.",,,,
,,Interviewer,,The same way.,The same way.,,,,
,,Donna,,"No. Somebody who is educated they might aah-try to avoid that influence. They might have learned how to pronounce words properly. So they will use language differently. And then there vocabulary will also be richer than somebody whose-whose not uh-whose not such educated as them. So somebody who is educated you will tend to use language differently. Yes, you cannot expect my granother right now to come and sit and say whatever it is that I'm trying to explain. Eh? The same way I'm explaining it. Yea. She will start meandering and tell you [says something in another language]. She will tell you whatever it is that you'll know, [uncertain transcription] for my-for somebody-for my case, an educated person here, you will use language differently from an uneducated person.","No. Somebody who is educated they might aah-try to avoid that influence. They might have learned how to pronounce words properly. So they will use language differently. And then there vocabulary will also be richer than somebody whose-whose not uh-whose not such educated as them. So somebody who is educated you will tend to use language differently. Yes, you cannot expect my granother right now to come and sit and say whatever it is that I'm trying to explain. Eh? The same way I'm explaining it. Yea. She will start meandering and tell you [says something in another language]. She will tell you whatever it is that you'll know, [uncertain transcription] for my-for somebody-for my case, an educated person here, you will use language differently from an uneducated person.",,,,
,,Interviewer,,"Okay, so the organization of language will [uncertain transcription]. ","Okay, so the organization of language will [uncertain transcription]. ",,,,
,,Donna,,Yes.,Yes.,,,,
,Ascertaining Position in Society Based on Language Use,Interviewer,00:32:49mins,"How about the position in the society?  So that if-if you ever heard somebody talking over the radio, you've not seen them as such, can you possibly tell the-the-their position in the society?","How about the position in the society?  So that if-if you ever heard somebody talking over the radio, you've not seen them as such, can you possibly tell the-the-their position in the society?",,,,
,,Donna,,"Yes you can tell their position. If it's a: politician they will be giving you examples from the political scene. If it's a doctor they will be giving you examples from their field. If it's a teacher he/they'll be trying to teach you whatever it is they're-they're saying. If it's a:-anybody in their field, you use language the way you know it. If it's a lawyer for example you know they'll be using lingua from the law language. Legal language. So you can tell their position in society. Yea.","Yes you can tell their position. If it's a: politician they will be giving you examples from the political scene. If it's a doctor they will be giving you examples from their field. If it's a teacher he/they'll be trying to teach you whatever it is they're-they're saying. If it's a:-anybody in their field, you use language the way you know it. If it's a lawyer for example you know they'll be using lingua from the law language. Legal language. So you can tell their position in society. Yea.",,,,
,,Interviewer,,So that the kind of language they use is shaped=,So that the kind of language they use is shaped=,,,,
,,Donna,,Yes. By=,Yes. By=,,,,
,,Interviewer,,"To their profession, ","To their profession, ",,,,
,,Donna,,{By their profession},{By their profession},,,,
,,Interviewer,,{To their profession},{To their profession},,,,
,,Donna,,Yes.,Yes.,,,,
,,Interviewer,,How much they know about that language. ,How much they know about that language. ,,,,
,,Donna,,Yea.,Yea.,,,,
,Ascertaining Political Affiliation Based on Language Use,Interviewer,00:33:49mins,How about political affiliation? Can you tell that somebody is affiliated to this party or that party from the way they-they talk?,How about political affiliation? Can you tell that somebody is affiliated to this party or that party from the way they-they talk?,,,,
,,Donna,,"Yes, you can tell. Sadly, <Swahili label='high solidarity'>hapa Kenya</Swahili label='high solidarity'> we know that Kikuyus and Kalenjins belong to TLA. (smile on her face) And then the:-the Luos and the Luhyas they belong to:-which party is this, O.  Yea. But if it-in any other situation, mm? Let-let me give examples from those other communties, Taita. If I'm a Taita and we are watching television and I see somebody from a party I'm affiliated to. Either I'll speak nicely of them, I'll even be supporting even if they are in the media for the wrong reasons. ","Yes, you can tell. Sadly, <English>here [in] Kenya</English> we know that Kikuyus and Kalenjins belong to TLA. (smile on her face) And then the:-the Luos and the Luhyas they belong to:-which party is this, O.  Yea. But if it-in any other situation, mm? Let-let me give examples from those other communties, Taita. If I'm a Taita and we are watching television and I see somebody from a party I'm affiliated to. Either I'll speak nicely of them, I'll even be supporting even if they are in the media for the wrong reasons. ",CS,"SM:  High Solidarity. OLF: Hapa/here. Donna switches to Swahili to emphacize that ""here in Kenya"", there is tribalism. She says this to interviewer in Swahili to evoke the full understanding of the issues that he as a Kenyan is also fully aware of.",,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,"Yea, I will tend to support. So you can know the kind of affiliation somebody has by the kind-the way they use the language. The kind of support that they will give the person they are seeing or whatever it is that they're talking about. They will also more often than not talk about things that happend in the party they're affiliated to. So I'll just be giving examples of TNA. We have how many cabinets ooh, whatever, whatever, yea like that so you can tell. You can really tell. ","Yea, I will tend to support. So you can know the kind of affiliation somebody has by the kind-the way they use the language. The kind of support that they will give the person they are seeing or whatever it is that they're talking about. They will also more often than not talk about things that happend in the party they're affiliated to. So I'll just be giving examples of TNA. We have how many cabinets ooh, whatever, whatever, yea like that so you can tell. You can really tell. ",,,,
,,Interviewer,,Good. ,Good. ,,,,
,,Donna,,[uncertain transcription],[uncertain transcription],,,,
,Do You Speak Different Languages to Different People?,Interviewer,00:35:16mins,Do you ever find yourself speaking different languages to different people?,Do you ever find yourself speaking different languages to different people?,,,,
,,Donna,,"Mm, yes. I find myself=","Mm, yes. I find myself=",,,,
,,Interviewer,,"Give me when, where and for what reasons.","Give me when, where and for what reasons.",,,,
,,Donna,,"In school for example. My lecturer. I'll go and speak to him or her in English. Because it's a formal language, it's formalier. There's no word like that in English by the way (she laughs). But I just had to use it that yea, it's-it's more formal=","In school for example. My lecturer. I'll go and speak to him or her in English. Because it's a formal language, it's formalier. There's no word like that in English by the way (she laughs). But I just had to use it that yea, it's-it's more formal=",,,,
,,Interviewer,,As compared to what languages?,As compared to what languages?,,,,
,,Donna,,"As compared to Kipsigis and maybe they do not even understand Kipsigis so how would I start speaking in Kipsigis to somebody who doesn't understand. So since it's a formal situation I will use the English. And then ah-at town, mm? <Swahili>Mkienda</Swahili> town eh? To speaking to those people. I know they come from El Doret so somehow someway they have to be speaking Nandi or Kalenjin. So you can speak to them in-not in Kiswahili or Sheng or, yea. Kalenjin. And then, who else can I give- my mother, can speak to her in Kipsigis. [She speaks in another language. Presumably Kipsigis]","As compared to Kipsigis and maybe they do not even understand Kipsigis so how would I start speaking in Kipsigis to somebody who doesn't understand. So since it's a formal situation I will use the English. And then ah-at town, mm? <English>When you go to</English> town eh? To speaking to those people. I know they come from El Doret so somehow someway they have to be speaking Nandi or Kalenjin. So you can speak to them in-not in Kiswahili or Sheng or, yea. Kalenjin. And then, who else can I give- my mother, can speak to her in Kipsigis. [She speaks in another language. Presumably Kipsigis]",CS,Unmarked.,,
,,Interviewer,,So however-however much they understand=,So however-however much they understand=,,,,
,,Donna,,"Even yea, they understand=","Even yea, they understand=",,,,
,,Interviewer,,Kiswahili?,Kiswahili?,,,,
,,Donna,,"Yes, however much they understand I will somehow find myself speaking to them in Kipsigis.","Yes, however much they understand I will somehow find myself speaking to them in Kipsigis.",,,,
,,Interviewer,,Do you ever-have you oh-found yourself in a situation in which they speak to you maybe in-in-in Kiswahili or English even if you understand mother tongue?,Do you ever-have you oh-found yourself in a situation in which they speak to you maybe in-in-in Kiswahili or English even if you understand mother tongue?,,,,
,,Donna,,Yes. They've spoken=,Yes. They've spoken=,,,,
,,Interviewer,,In what situations maybe?,In what situations maybe?,,,,
,,Donna,,"In what situations? Maybe they're just feeling like speaking Kiswahili. Or I'm in a context whereby we have a mixture of so many other people so they know that I'm in school eh? In school I use such and such a language. University and primary or high school is different. In high school for example you know we were not allowed to speak any othat language apart from English or Kiswahili. So if it's my parents speaking to me they will tend to speak to me in those languages. You'll fit in, you use the kind of language that is being used there, as long as you understand it. Mm. ","In what situations? Maybe they're just feeling like speaking Kiswahili. Or I'm in a context whereby we have a mixture of so many other people so they know that I'm in school eh? In school I use such and such a language. University and primary or high school is different. In high school for example you know we were not allowed to speak any othat language apart from English or Kiswahili. So if it's my parents speaking to me they will tend to speak to me in those languages. You'll fit in, you use the kind of language that is being used there, as long as you understand it. Mm. ",,,,
,,Interviewer,,You=,You=,,,,
,,Donna,,"But they use it and then you're thinking ""Okay, so why didn't you just tell it to me in Kipsigis?""","But they use it and then you're thinking ""Okay, so why didn't you just tell it to me in Kipsigis?""",,,,
,,Interviewer,,So you're still not comfortable when they-they use that language?,So you're still not comfortable when they-they use that language?,,,,
,,Donna,,"Mm, not really not comfortable. But there's that one that we've always shared.","Mm, not really not comfortable. But there's that one that we've always shared.",,,,
,,Interviewer,,So-so their use of such language to you is so unusual. ,So-so their use of such language to you is so unusual. ,,,,
,,Donna,,"Yes, it is unusual. Especially if you're not used to talking it (she laughs)","Yes, it is unusual. Especially if you're not used to talking it (she laughs)",,,,
,Have You Ever Tried to Change the Way You Talk?,Interviewer,00:38:12mins,Okay. You told-you aitted the fact that you can-or you speak differently from other people. Or you've noticed the difference between the way you talk and the way the other people speak. Have you ever tried to change anything about the way you talk?,Okay. You told-you aitted the fact that you can-or you speak differently from other people. Or you've noticed the difference between the way you talk and the way the other people speak. Have you ever tried to change anything about the way you talk?,,,,
,,Donna,,To change the way I talk?,To change the way I talk?,,,,
,,Interviewer,,Yea. And maybe for what reasons?,Yea. And maybe for what reasons?,,,,
,,Donna,,"Yes, sometimes it requires you to change the way you talk. If it's ah, your friends for e-my friend for example. There's no need of me adding color to language, eh? Trying to show her the kind of vocabulary that I know or I've amassed. The way I'm using amassed. I'm using that because it just came to my mind but you can also practice. But in most cases I'll find that I just use ordinary language. You don't care whether even you break the-the formal language. The:-what do you call it-the standard kind of language. Like in English there's that <Swahili label='low emphasis'>kastandardized</Swahili label='low emphasis'> form. [uncertain transcription] when I'll be speaking to her, it's not been much so why add color to the language? [uncertain transcription] for who now? For Sheng? Sheng is just keeping growing day in day out. I-I was even left somewhere back in twenty-o-twenty ten (she laughs) or two-o-nine, so that twenty twelve, twenty thirteen ah-<Swahili>zimenipita</Swahili>. Mm. Maybe just one, two or three. And then um, there's some situations you need to use language to show the person that you really know to use that language. Yea, my time when? Eh? In your case so that I make it difficult for you. (she laughs). But I'm not going to weng so-sometimes you weng, sometimes you use language to impress. Yea. Sometimes you use language to:-e-with interest if you like the person-if you actually feel like there's something in common you share with that person. You will tend to improve on your language, you just don't talk eh? Like that.","Yes, sometimes it requires you to change the way you talk. If it's ah, your friends for e-my friend for example. There's no need of me adding color to language, eh? Trying to show her the kind of vocabulary that I know or I've amassed. The way I'm using amassed. I'm using that because it just came to my mind but you can also practice. But in most cases I'll find that I just use ordinary language. You don't care whether even you break the-the formal language. The:-what do you call it-the standard kind of language. Like in English there's that <English>little standardized</English> form. [uncertain transcription] when I'll be speaking to her, it's not been much so why add color to the language? [uncertain transcription] for who now? For Sheng? Sheng is just keeping growing day in day out. I-I was even left somewhere back in twenty-o-twenty ten (she laughs) or two-o-nine, so that twenty twelve, twenty thirteen ah-<English>they have passed me</English>. Mm. Maybe just one, two or three. And then um, there's some situations you need to use language to show the person that you really know to use that language. Yea, my time when? Eh? In your case so that I make it difficult for you. (she laughs). But I'm not going to weng so-sometimes you weng, sometimes you use language to impress. Yea. Sometimes you use language to:-e-with interest if you like the person-if you actually feel like there's something in common you share with that person. You will tend to improve on your language, you just don't talk eh? Like that.",CS,"SM: Low Emphasis. OLF: ""ka"". The word ka is a diminutive which in this case may be saying that English too has a standardized form but the difference between the standard form and the everyday language one might use loosely is not that great. In contrast to Sheng which changes daily and therefore has no lasting standards.",,
,,Interviewer,,And you ever find-found yourself doing that?,And you ever find-found yourself doing that?,,,,
,,Donna,,"I do that all the time (she laughs). I weng first of all sometimes-but I think it's come naturally.  It's come because of the constant use of English. But you know formal situations there's no way I'll just start, eh looking for a word like this one here in your paper ""what"" and then I say ""what"". I'll have to say it in a conventional way, a way that is, yea.","I do that all the time (she laughs). I weng first of all sometimes-but I think it's come naturally.  It's come because of the constant use of English. But you know formal situations there's no way I'll just start, eh looking for a word like this one here in your paper ""what"" and then I say ""what"". I'll have to say it in a conventional way, a way that is, yea.",,,,
,,Interviewer,,"So your use of language, can you say it's formal, semi-formal?","So your use of language, can you say it's formal, semi-formal?",,,,
,,Donna,,"Mine, most of the time it's formal.","Mine, most of the time it's formal.",,,,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,You've not noticed that I've used a lot of English? (laughs) So it's formal. But in some cases which will require me to be semi-formal.,You've not noticed that I've used a lot of English? (laughs) So it's formal. But in some cases which will require me to be semi-formal.,,,,
,,Interviewer,,Why do you think you're-you've kept it so formal?,Why do you think you're-you've kept it so formal?,,,,
