,,Mary 1,,"Ok, I tend to think the issues that affect our lives in one way or another that is why we discuss them. Mmmh.","Ok, I tend to think the issues that affect our lives in one way or another that is why we discuss them. Mmmh.",,,,
,,Interviwer ,,"Ok, so as you said, you don’t plan on what you talk about.","Ok, so as you said, you don’t plan on what you talk about.",,,,
,,Mary 1,,"Yah, we don’t plan on what to talk about, we just find ourselves talking about anything or something that has crop out or something that's affecting you directly. We just find ourselves debatng or discussing.","Yah, we don’t plan on what to talk about, we just find ourselves talking about anything or something that has crop out or something that's affecting you directly. We just find ourselves debatng or discussing.",,,
,,Interviwer ,,<Swahili>Sasa ni</Swahili>issues<Swahili>zenye zinajitokeza hiyo</Swahili>time<Swahili>ndio mna</Swahili>discuss.,<English>Now it's</English>issues<English>that comes up that</English>time<English>is what you</English>discuss.,,,
,,Mary 1,,Discuss.,Discuss.,,,
,,Interviwer ,,<Swahili>Na tukiongea kuhusu lugha</Swahili>do you have any role models?<Swahili>Wenye ukiwaona hey..hawa wameiva kilunga. Na</Swahili>do you even what to be like them in any way<Swahili>ama</Swahili>you are just contended the way….,<English>And talking about language</English>do you have any role models?<English>those when you see them hey..they are good linguistically. And</English>do you even what to be like them in any way<English>or</English>you are just contended the way….,,,
,Role Model in Linquistic.,Mary 1,,"Am not contended, ok fine personally am doing journalism media and my role model when it comes to language maybe in english I love Beatrice Marshall. Yah I just love the way she talks and Sofi Ikenye yah those are my role models. Aah..I know<Swahili>kuna wengine wanafanya</Swahili>better<Swahili>lakini</Swahili>so far<Swahili>hao nimeona wako poa kivyangu</Swahili>the way they speak. So yah am actually working hard<Swahili>kama hata ni</Swahili>possible<Swahili>niwapite.  ","Am not contended, ok fine personally am doing journalism media and my role model when it comes to language maybe in english I love Beatrice Marshall. Yah I just love the way she talks and Sofi Ikenye yah those are my role models. Aah..I know<English>there are others who does</English>better<English>but</English>so far<English>those are good according to me</English>the way they speak. So yah am actually working hard<English>even if it's</English>possible<English>to do better than them.",,,
,,Interviwer ,,<Swahili>Na</Swahili>what aspect do this people have that makes you admire them?,<English>Na</English>what aspect do this people have that makes you admire them?,,,
,,Mary 1,,"Aah, ok Beatrice Marshall I love the way as in the way she talks the way she presents her work when she is talking, the way she articulate words I just love that yah. The way she talks that is what I love.","Aah, ok Beatrice Marshall I love the way as in the way she talks the way she presents her work when she is talking, the way she articulate words I just love that yah. The way she talks that is what I love.",,,
,,Interviwer ,,"Ok, u've watched some of the presenters, the TV presenters, ok do you think if you become soo formal in the TV sessions, like you know some examples in the TV, do you think it's just ok or that thing is just plastic? ","Ok, u've watched some of the presenters, the TV presenters, ok do you think if you become soo formal in the TV sessions, like you know some examples in the TV, do you think it's just ok or that thing is just plastic? ",,,
,,Mary 1,,"Ok well, me I tend to think aah..<Swahili>Unajua yani inadepend na</Swahili>presenters<Swahili>kuna</Swahili>presenters<Swahili>wengine wakiingia</Swahili>ok according to me<Swahili>vile me huona kama</Swahili>viewer and as an aspiring journalist<Swahili>kuna vile me huona kuna</Swahili>journalist<Swahili>wenye wanakuwa kaa yani</Swahili>composed natural as in they will talk the way they talk.They will make fun they will joke as in<Swahili>yani watakuwa</Swahili>very composed.<Swahili>Na kuna wengine yani ni</Swahili>plastic<Swahili>yani hiyo ndo unasema yani sikama uko</Swahili>real you just present, you are not yourself because maybe<Swahili>uko mbele ya</Swahili>camera you want to creat maybe an image that is not yours. But the reason why I love Beatrice Marshall to me I think<Swahili>yani yeye ukuwa</Swahili>natural<Swahili>vile mimi nimeona aki</Swahili>present yah so that is what I love.","Ok well, me I tend to think aah..<English>you know that it depends with</English>presenters<English>there are other</English>presenters<English>when they enter</English>ok according to me<English>the way I usually see like a</English>viewer and as an aspiring journalist<English>there are ways I usually see</English>journalist<English>who are like</English>composed natural as in they will talk the way they talk . They will make fun, they will joke as in<English>they will be</English>very composed.<English>And there are others like</English>plastic<English>that is to say like that is not like you are</English>real you just present, you are not yourself because maybe<English>you are infront of</English>camera you want to creat maybe an image that is not yours. But the reason why I love Beatrice Marshall to me I think<English>like she is always</English> natural<English>the way I have seen her</English>present yah so that is what I love.",,,
,,Interviwer ,,"<Swahili>Na</Swahili>formality<Swahili>na</Swahili>informality, do you think it's important in the media maybe?","<English>And</English>formality<English>and</English>informality, do you think it's important in the media maybe?",,,
,,Mary 1,,"Yah, it's both important, formality<Swahili>kama tuseme</Swahili>when it comes to prime news , prime news<Swahili>unajua ni</Swahili>seriouse news most of the people are watching, some people do not take crap. So <Swahili> hiyo</Swahili>formality<Swahili>pia itasaidia</Swahili>to suite<Swahili>hawa watu na pia kuna hiyo</Swahili>show<Swahili>kama za</Swahili>morning<Shegg>unacheki</Swahili>as in<Swahili>kama hizo ni</Swahili>abit informal.","Yah, it's both important, formality<English>lets say</English>when it comes to prime news , prime news<English>you know it's</English>seriouse news most of the people are watching, some people do not take crap. So<English>that</English>hiyo formality<English>also will help</English>to suite<English>those people and also there is that</English>show<English>like the one for</English>morning<Slang>you see</English>as in<English>like those are</English>abit informal.",,,
,,Interviwer ,,<Swahili>Watu hupenda</Swahili>humour.,<English>People always love</English>humour.,,,
,,Mary 1,,"Yah (agree)<Swahili>lakini sasa</Swahili>people are different<Swahili>unajua watu wazima yenyewe sirahisi hati wana</Swahili>pick pick crap people have their stuff to do so<Swahili>wanataka</Swahili>maybe<Swahili>wa</Swahili> watch news<Swahili>alafu kila mtu ajikate na shughuli yake unajua</Swahili>so yah, I think informality and formality<Swahili>ni</Swahili>very important yah. ","Yah (agree)<English>but now</English>people are different<English>you know elderly people actually are not easy like they</English>pick pick crap people have their stuff to do so<English>they want</English>maybe<English>to</English>watch news<English>then everybody goes to their own business  you know</English>so yah, I think informality and formality<English>is</English very important yah. ",,,
,,Interviwer ,,"Ok, given a chance maybe which, which aah.. Which one would you take?","Ok, given a chance maybe which, which aah.. Which one would you take?",,,
,,Mary 1,,"Ok<Swahili>me kama nikiwa</Swahili>presenter I would prefer<Swahili>ile</Swahili>informal yah, as in I tend to think when you are abit informal<Swahili>ni kama</Swahili>you are abit friendly, as in people can listen to you, you can communicate you can reach people because <swahili> hauko ile ati</Swahili>very seriouse</Swahili>unajua?so<Swahili>kama</Swahili>given a chance<Swahili>mimi ningechukua hiyo</Swahili>informal yah. ","Ok<English>if i'll be a</English>presenter I would prefer<English>that</English>informal yah, as in I tend to think when you are abit informal<English>it's like</English>you are abit friendly, as in people can listen to you, you can communicate you can reach people because <English> you are not like</English>very seriouse<English>you know?</English>so<English>if</English>given a chance<English>I would have taken that</English>informal yah. ",,,
,,Interviwer ,,"<Swahili>Sawa sawa</Swahili>now the informality might come through the mixing of languages the use of, ok this language maybe sheng that is, is known to be informal. What is your opinion about sheng, do you think it should be done away with or it's something that we are suppose to leave? "," <English>Ok ok </English>now the informality might come through the mixing of languages the use of, ok this language maybe slang that is, is known to be informal. What is your opinion about sheng, do you think it should be done away with or it's something that we are suppose to leave?",,,
,,Mary 1,,"(laughter) <Swahili>Unajua kama sheng, sheng kwanza</Swahili>most of the times ni mixture<swahili>ya</Swahili>English<Swahili>na Kiswahili hiyo ndio na… na sasa siku hizi Kikuyu.. Aah..(laughter)</Swahili>I think it's something that we have to accept coz<Swahili>hatuwezi kusema ati tueliminate hiyo, unajua ni kama vile yani mtu anaongea unafika</Swahili>place<Swahili>kama nilikuwa naongea Kiswahili na lemewa naingilia ng'oso.</Swahili>If i was speaking in English<Swahili>na lemewa naingilia Kiswahili sasa hiyo</Swahili>mixing mixing some words <swahili>za</Swahili>English<Swahili>zimekuwa kama kwa Kiswahili za Kiswahili zimekuwa</Swahili>English<Swahili>hivo. So ok sheng by the way<slang>maticha<Swahili>walikuwa wana</Swahili>complain ati siku hizi wanafunzi wakiandika</Swahili>composition<Swahili>wanaandika sheng, yah</Swahili>that one is a disadvantage<Swahili>lakini</Swahili>at long run I tend to think<Swahili>bado iko na</Swahili>advantage.<Swahili> Ukitaka kureach watu</Swahili>when you want to reach to people as in you want to pass a certain message to people I tend to think<Swahili>hiyo</Swahili>mixing language<Swahili>hiyo usaidia sana</Swahili>as in<Swahili>inafanya hiyo</Swahili> situation<Swahili>ikuwe</Swahili>abit informal<Swahili>watu wanakuwa</Swahili>more comfortable so passing whatever information<Swahili>inakuwa rahisi.</Swahili>So in away as much as<Swahili>wanafunzi ndio labda wanadivert sana eeh..lakini simbaya hivo inasaidia</Swahili>in away mmh..","(laughter)..<English>you know like slang, slang fast</English>most of the times<English>is</English>mixture<English>of</English>English<English>and Swahili that is and... and nowadays Kikuyu.. . Aah..(laughter)</English>I think it's something that we have to accept coz<English>we can' say that we eliminate that, you know it's like a person is speaking you get in a place if i was speaking  Swahili and I understand I switch to English</English>If I was speaking in English<English>I get diffited I swich to Swahili now that is</English>mixing mixing some words<English>of</English>English<English>it's like in Swahili it's Swahili</English>English<English>same thing</English>So ok sland  by the way,<slang>teachers<English>were</English>complain <English>like students nowadays when writting </English> composition<English>they write in slang</English>yah  that one is a disadvantage<English>but</English>at long run I tend to think<English>it still have an</English>advantage.<English>if you want to reach people</English>when you want to reach to people as in you want to pass a certain message to people I tend to think<English>that</English>mixing language<English>that always help</English>as in<English>it makes that</English>situation<English>to be</English>abit informal,<English>people become</English>more comfortable so passing whatever information<English>becomes easy</English>So in away as much as<English>students are maybe divert mostly eeh.. but it's not bad that way it helps</English> in away mmh..",,
,Language and Gender ,Interviwer ,,"Now, from the way aah..people from the different gender speak. Now do you think there is any difference in the way gender speak, especially in the kinds of words that they use? ","Now, from the way aah..people from the different gender speak. Now do you think there is any difference in the way gender speak, especially in the kinds of words that they use? ",,
,,Mary 1,,"Ok well<Swahili>mimi</Swahili>according to me<Swahili>unajua kama sheng ile</Swahili>hard sheng<Swahili>maboys ndio upenda kutumia, ile</Swahili>hard<Swahili>sheng. Na</Swahili>English<Slang>madem<Swahili>ndio wanapenda kutumia</Swahili>so there is actually diffrence according to me yah, most of the times<Swahili>unajua</Swahili>girls<Swahili>ni</Swahili>soft soft<Swahili>watatend to<Swahili>na</Swahili>by the way it happends<Swahili>mpaka</Swahili>in relationship or when you have your friend who is a guy you are talking to them in English and like they are responding in Swahali yah<Swahili>ama sheng</Swahili>it does happen.","Ok well<English>I</English>according to me<English>you know like slang that is</English>hard sheng<English>guys usually like to use</English>hard<English>slang.And</English>English<slang>ladies<English>are the one who like to use</English>so there is actually diffrence according to me yah, most of the times<English>you know</English>girls<English>are</English>soft soft<English> they will tend</English>to<English>and</English>by the way it happends<English>until</English>in relationship or when you have your friend who is a guy you are talking to them in English and like they are responding in Swahali yah<English>or slang</English>it does happen. ",,
,,Interviwer ,,What do you think it's the reason that ladies are soft a little bit?,What do you think it's the reason that ladies are soft a little bit?,,
,,Mary 1,,"Well, aah..<Swahili>Unajua(laughter) unajua sheng, sheng ujuhi</Swahili>at some point<Swahili>unajua kuna sheng ile ngumu  kuna<Sheng>wasee huona hii kujua sheng ni</swahili>prestingious<Swahili>bana</Swahili>as in<Swahili>sasa hiyo maboys wenye wanataka kukufeel wakujua wana</Swahili>flows<Slang>materm<Swahili>hata wakitumua<Slangi>haugich</Swahili>as in<Swahili>haupati</Swahili>anything, so<Swahili>na</Swahili>girls<Swahili>yani eeh..</Swahili>English as in (pause) English<Swahili>pia</Swahili>by the way<Swahili>ni</Swahili>fun alot of fun eeh..<Swahili>ndio mana  unapata<Sheng>wasee mob wana weng ni madem.","Well, aah..<English>you know(laughter) you know slang doean't know</English>at some point<English>you know there are slang that is hard to understand there are guys who always see knowing slang is</English>prestingious</English>sir<English>as in<English>now those are guys who want to feel you to knowing they</English>flows<Slang>in terms<English>even when they use <Slang> you dont understand</English>as in<English>you don't get</English>anything, so<English>and</English>girls<English>like eeh..</English>English as in (pause) english<English>also</English>by the way<English>is</English> fun alot of fun eeh..<English>that' why you get many<Slang>people who weng are ladies.",,
,,Interviwer ,,"Ok,<Swahili>na ukipata<Sheng>dem<Swahili>wenye aah kingereza yake ni hivi hivi tu</Swahili>as in…","Ok,<English>and If you get<Slang>a lady<English>who is aah her english is no consistant</english>as in…",,
,,Mary 1,,"Ok fine it does happen<Swahili>sazingine pia</Swahili>depending on other factors,<Swahili>unajua yah..</Swahili>Depending on other factors levels<Swahili>za</Swahili>English<Swahili>zina</Swahili>vary<Swahili>Kama yenyewe</Swahili>we don't speak English<Swahili>sana<Slang>unacheki</Swahili>so<Swahili>ni ile ya kucount (laugher).",Ok fine it does happen<English>sometimes also</English>depending on other factors<English>you know  yah..</English>Depending on other factors levels<English>of</English>English<English>do</English>vary.<English>if  really</English>we don't speak English<English>much<Slang>you see</English>so<English>it's that of counting (laugher).,,
,,Interviwer ,,"<Swahili>Na</Swahili>Ok, people love texting soo much nowadays, ok if from your experience and your opinion<Swahili>ni lugha gani watu hupenda kutext nayo sana?","<English>And </English>Ok, people love texting soo much nowadays, ok if from your experience and your opinion<English>what language do people like always to text in mostly? ",,
,,Mary 1,,"Sheng, a mixture of English and Swahili yah.","Slang, a mixture of English and Swahili yah.",,
,,Interviwer ,,<Swahili>Na kuna</Swahili>situations<Swahili>watu wanaweza tumia</Swahili>pure English or pure Kiswahili<Swahili>kwa</Swahili>text?,<English>And there are</English>situations<English>people can use</English>pure English or pure Swahili<English>in</English>text?,,
,,Mary 1,,<Swahili>Kunazo lakini zinakuwa</Swahili>rare. Eehh<Swahili>yani</Swahili>maybe<Swahili>yani hizo</Swahili> text<Swahili>niulizemsee anakuandikia ng'oso</Swahili>from page one to page four English<Swahili>yote</Swahili>so unabambika tu inacheka sasa sijuhi hata vile unareply bana</Swahili>I don’t know yah<Swahili>lakini kunayo lakini ni</Swahili>rare<Swahili>na wakifanya hivo</Swahili>they use extremely hard words<Swahili>ile ya kuchange</Swahili>environment it's more of humour<Swahili>sio hati hati wana</Swahili>realy communucate eeh.,"<English>There are, but they are</English>rare. Eehh<English>it's like</English>maybe<English>those</English>text<English>are those somebody is writting in English</English>from page one to page four English<English>all</English>so<English>you put you see I don't know how you reply lol</English>I don’t know yah<English>but there is but it's</English>rare<English>and when they do that</English>they use extremely hard words<English>of changing</English>environment it's more of humour<English>it's not like that they</English>realy communucate eeh.",,
,,Interviwer ,,Ok so that is the communication between you and your friends?,Ok so that is the communication between you and your friends?,,
,,Mary 1,,yah.,yah.,,
,,Interviwer ,,Now<Swahili>watu wengine sasa?,"Now,<English>what about other people? ",,
,,Mary 1,,<Swahili>Watu wengine ina..inadepend unajua.. Lakini sasa kuzoea kitu ndio mbaya</Swahili>as in<Swahili>unajipata ata kama ulikuwa unatext mtu</Swahili>serious<Swahili>pia umeingiza sheng coz umeshazoea </Swahili> as in the problem <Swahili>  ni hiyo kuzoea. Lakini</Swahili>at some point<Swahili>kuna yenye uko</Swahili>alert<Swahili>unajua hee..</Swahili>mind<Swahili>yako iko</Swahili>focused<Slang>unabonga na<Swahili>lecturer<Swahili>hapa</Swahili>let me be a good student<Swahili>bana</Swahili>so<Swahili>unabonga na ng'oso tu eeh.,"<English>Other people it.. it depends, you know.. but now getting used to something is bad</English>as in<English>you find yourself even if you were texting somebody</English>serious<English>you put slang because you are used to</English>as in the problem<English>it's the habit. But</English>at some point<English>there is one you are</English>alert<English>you know hee..</English>your mind<English>is</English>focused<slang>you talk with</English>lecturer<English>here</English>let me be a good student<English>lol</English>so<English>you speak in English eeh.",,
,,Interviwer ,,<Swahili>Sasa ushaipata ushajipata kwa</Swahili>situation as in<Swahili>uko</Swahili>serous<Swahili>kabisa</Swahili>I want to chose this words for this specific text.,<English>Have you find have you find yourself in</English>situation as in<English>you are<English>very serous</English>I want to chose this words for this specific text,,
,,Mary 1,,(laughter)<Swahili>Ni</Swahili>hard<Swahili>bana eeh.. ni</Swahili>hard.,(laughter)<English>it's</English> hard<English>lol eeh.. It's</English>hard.,,,,
,,Interviwer ,,<Swahili>Ama inakuangatu</Swahili>unconsious?,<English>Or it's always</English>unconsious?,,,,
,,Mary 1,,"Eeh…<Swahili>ukitext, unajua ukitext ni kitu haufikiriangi saa hizo</Swahili>so most of the times<Swahili>yani na unajua ni ngumu pia yani kutext mtu</Swahili>formal<Swahili>kama</Swahili>lecturer<Swahili>ni ngumu bana. Unampigia simu unamalizana</Swahili>so texting according to<Swahili>mimi sana ni</Swahili>age-mates<Swahili>ma beshte hivo</Swahili>so<Swahili>na ukitext</Swahili>ni very informal<Swahili label=""quoting"">ile mnachatt ""niaje?<Swahili>how was your day?<Swahili>unaendeleaje""</Swahili>as in unaswitch by the way<Swahili>pia hapo kuna</Swahili>swtich ""how was your day""<Swahili>hapo kuna</Swahili>pure English how was your day?<Swahili label=""quoting"">""ilikuwa poa, na yako?"" yah ""</Swahili>I was asking<Swahili>kama</Swahili>""you can help me with that book"" as in<Swahili>unacheki kuna</Swahili>switching<Swahili>ya</Swahili>language<Swahili>sana</Swahili>both English<Swahili>na Kiswahili.Unawezapata unause</Swahili>pure English<Swahili>unakata</Swahili>the next sentence<Swahili>itakuwa</Swahili>pure Kiswahili the next sentence<Swahili>unamix hivo.","eeh…<English>when you text, you know when you text it's something you don't think that time</English>so most of the times<English>you know it's hard also to text somebody</English>formal<English>if</English>lecturer<English>it's hard lol. You call, you finish</English>so texting according to<English>mine is mostly</English>age-mates<English>my friends too</English>so<English>and when you text it's</English>very informal<English>like you chatt "" hey?""</English>how was your day?<English>""how are you doing?""</English>as in<English>you switch</English>by the way<English>also there is</English>swtich ""how was your day""<English>there is</English>pure English how was your day?<English>""it was ok, and yours?"" yah</English>""you can help me with that book"" as in<English>you see there is</English>switching<English>of</English>language<English>mostly</English>both English<English>and Swahili. You can find you are using </English>pure English<English>you switch</English>the next sentence<English>will be</English>pure Swahili the next sentence<English>you mix that way.",,SM: Quoting. OLF: Mary gives examples on how she codeswitch when she meets with her friends on campus.,,
,,Interviwer ,, It's fun mixing languages? Yah,It's fun mixing languages? Yah,,,,
,,Mary 1,,Aah..Very fun very interesting<Swahili>bana kamatu ungekuwa unaongea ongeatu</Swahili>very flat<Slang>manze<Swahili>sinikama unaandika</Swahili>composition<Swahili>unacheki inabore.,Aah..Very fun very interesting<English> if you could be talking only</English>very flat<Slang>sir<English>it's like you are writing</English>composition<English>you see it's boring.,,,,
,,Interviwer ,,<Swahili>inachukuwa</Swahili>situation<Swahili>ya<Swahili>class.,<English>it takes</English>situation<English>of the</English>class.,,,,
,,Mary 1,,Yah (agree)<Swahili>ni</Swahili>boring<Swahili>bana.,Yah (agree)<English>it's</English>boring<English>man.,,,,
,,Interviwer ,,Now so you talked of texting as an informal way of communicating so that you won't really feel comfortable to text your lecture. Now in situations when you even call them do you find yourself even mixing the language in the same call in the same convertation and maybe for what reasons?,Now so you talked of texting as an informal way of communicating so that you won't really feel comfortable to text your lecture. Now in situations when you even call them do you find yourself even mixing the language in the same call in the same convertation and maybe for what reasons?,,,,
,,Mary 1,,Mostly<Swahili>kama mumeingia</Swahili>for a long time.. You know<Swahili>kama tuseme</Swahili>you've called briefly you can be formal for that short time<Swahili>lakini tuseme</Swahili>you are talking for a long time with anybody<Swahili>atakama</Swahili>environment<Swahili>ni</Swahili>formality you just find yourself switching  languages mixing languages yah it just comes naturally as in you forget.<Swahili>Unajua</Swahili>the minute you are talking to a person for a long time hiyo environmnent<Swahili>inaenda ikiwa</Swahili>calm cool<Swahili>sasa unatend kukuwa</Swahili>abit formal.,"Mostly<English>if you stayed</English>for a long time.. You know<English>lets say</English>you've called briefly you can be formal for that short time<English>but lets say</English>you are talking for a long time with anybody<English>even if</English>environment<English>is</English>formality you just find yourself switching  languages mixing languages yah it just comes naturally as in you forget.<English>you know</English>the minute  you are talking to a person for a long time<English>that</English>environmnent<English>goes to be</English>calm, cool<English>now you tend to be</English>abit formal.",,,,
,,Interviwer ,,So <Swahili> hii hukuja na mazoea?,So<English>this act of having an habit?,,,,
,,Mary 1,,Yah (agree)<Swahili>hata pia ukiongea na mtu</Swahili>for along time<Swahili>unaweza kuwa</Swahili>unconfortable as in have been speaking English that whole time as in<Swahili>inacome naturally automatically<Swahili>tu unswitch yah.,Yah (agree)<English>even when you talk with somebody</English>for along time<English>you can be</English>unconfortable as in have been speaking english that whole time as in<English>it comes</English>naturally automatically<English>you switch yah. ,,,,
,,Interviwer ,,Ok<Swahili>ama pia unatengemea vile hao wanaweza rusha maneno</Swahili>informal So you decide to go informal.,Ok<English>or it depends the way they can throw words</English>informal So you decide to go informal.,,,,
,,Mary 1,,Yah (agree)<Swahili>ile</Swahili>direction<Swahili>watatake ndio utafuata yah.,Yah (agree)<English>that</English>direction<English>they will take is what you will follow yah. .,,,,
,,Interviwer ,,"<Swahili>Sawa sawa.Na ushawahi sikia ok, kuna watu huwa wanatumia</Swahili>coded language ok<Swahili>ile watu wanaelewa peke yao wanabuni lugha alafu wanatumia peke yao</Swahili>so that<Swahili>mtu mwingine hawezi elewa.","<English>Ok ok. Have you ever hear ok, there are people wh always use </English> coded language ok<English>where people understand themselves they create there own language which they use</English>so that<English>other person can't understand. ",,,,
,,Mary 1,,Mostly aah..<Swahili>Mimi naweza kusema ni sheng</Swahili>as in<Swahili>sheng za</Swahili>different places<Swahili>zina</Swahili>differ<Swahili>zina vary wasee wa Eastlands wataongea</Swahili>different<Swahili>yani</Swahili>as in<Swahili>wasee wataongea</Swahili>different different<Swahili>sheng zina</Swahili>vary so<Swahili>watu wawili wa</Swahili>place<Swahili>moja wakiongea sheng yao inaweza kuwa unapitwa na maneno mengine yes ni sheng ingine unagich na ingine hata yanakupita tu mmh</Swahili>So I think<Swahili>hiyo inadepend na hiyo</Swahili>place<Swahili>umetoka unatumia sheng gani maneno gani</Swahili>because sheng si</Swahili>the same<Swahili>ati</Swahili>universal<Swahili>kama</Swahili>English at table<Swahili>haitachange unaona watu wataita ati sheng sijuhi waita meza yani yani ati</Swahili>as in<Swahili>watu wana</Swahili>different eeh.,Mostly aah..<English>I can say it's slang</English>as in<English>slang of</English>different places<English>do</English>differ<English>it</English>vary<English>guys of Eastlands will talk</English>different<English>meaning</English>as in<English>guys will talk</English>different different<English>slang do</English>vary so<English>two people of</English>place<English>one will speak in their slang can make you miss other words yes it's slang others you understand and other words will pass you</English>So I think<English>that depend with that</English>place<English>you come using slang  which slang  which words</English>because<English>slang is</English>the same<English>it's like</English>universal<English>if</English>English at table<English>you can't change you see people will call slang I dont know they call table</English>as in<English>people have</English>different eeh.,,,,
,,Interviwer ,,So this one you come na places?,So this one you come na places?,,,,
,,Mary 1,,Eeh<Swahili>na</Swahili>place<Swahili>penye umetoka.,Eeh<English>and</English>place<English>where you come from.,,,,
,,Interviwer ,,"Ok<Swahili>sawa sawa, nimeshukuru sana.","Ok<English>ok ok, I am very grateful.",,,,
,,Mary 1,,<Swahili>Sawa sawa</Swahili>thank you so much,"<English>Ok, ok</English>thank you so much.",,Informal way to end the conversation.,,
