Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
,,Interviewer,,"It looks like <zulu>icolonisation ishintshe imdinset, yathi asingacabangi</zulu> the way we used to think because <zulu>kumina lomuntu okhulelwise uScabhaboy ebese efuna ukuthi nje impilo irounde-</zulu> revolve around <zulu>uScabhaboy.</zulu> It shows lack of education <zulu>neexposure ukuthi lomuntu uvaleke la,</zulu> is wearing <zulu>amablinkers. Lamablinkers la amvalile akakwazi ukubuka ngapha ukuthi, nokuthi azihlelele ifuture</zulu> and so in future- in the past <zulu>bekuhlalwa kanjalo umuntu avele acabange ukuthi</zulu> all I need to is to grow up, <zulu>ngiqome</zulu> and get married, and so if that does not happen, <zulu>akasho- ayikho iquestion.</zulu> I was interviewing somebody yesterday <zulu>engiqale ngaye ukuthi</zulu> all they are thinking about is when are they going to get married. Whilst <zulu>ubusy</zulu> obsessing with getting married, you should be thinking <zulu>ngokuthi,</zulu> let’s say <zulu>awunayo ingane,</zulu> at such a stage <zulu>kufuneka ngabe senginayo ingane kodwa leyongane kufuneka uyazi ukuthi izodinga isupport.</zulu> You should have thought about first <zulu>ukuthi</zulu> my level of education, am I going to be able to support this child? <zulu>Nginga- ungakabi nayo.</zulu> So you plan <zulu>ukuthi</zulu> I need to have kids one day, and therefore I must get educated, start working. <zulu>Lengane</zulu> must have a home and therefore I must start thinking about that. <zulu>Uma iya eskoleni</zulu> I must have a car. <zulu>Kwesinye iskhathi omunye umuntu</zulu> gets discouraged <zulu>ukuthi- okade ecabanga ukuthi uzokushada- uzoshada nawe, akubuke ukuthi</zulu> your level of thinking, you’re finished. <zulu>Wena ufuna ukudepender</zulu> all your life. It’s a turn off. Whereas <zulu>wena</zulu> if you upgraded yourself, <zulu>ngabe isishintshile lento.</zulu> I remember saying to one woman, after fourteen years <zulu>ngithandana naye. Okay, ngiyakushiya manje kodwa</zulu> I’m leaving you, you’re a better person because <zulu>wake waphuma eskoleni</zulu> earlier on. <zulu>Wanede wangibona ngiadvancer, weza wangilandela wafunda.</zulu> Today <zulu>uma ngikushiya,</zulu> you’ll get married because <zulu>bonke abantu bakubuka unefuture ekahle</zulu> and therefore- you did not waste your time <zulu>ngoba ngaku- wathi yazi “wangi encourager,</zulu> I remember <zulu>ukuthi ustandard</zulu> nine <zulu>ngasengiwuyekile, ngithi angisafundi.</zulu> When I saw you starting to go to university, <zulu>uqhubeka,</zulu> and and then I started following.” And <zulu>ngithi namhlanje unediploma,</zulu> you’re a teacher because you followed and therefore you’ll get a husband. It’s just that you are not the type of a girl I’m looking forward to marrying. And so, forget. Don’t hate me because <zulu>ngikwenze wangcono.</zulu>","It looks like <english>colonisation changed our mindset, and said we shouldn't think</english> the way we used to think because <english>to me this person was impregnated by the cab conductor and she wants life to round-</english> revolve around <english>cab conductor.</english> It shows lack of education <english>and exposure that this person is closed here,</english> is wearing <english>blinkers. These blinkers that are blinding her can't see that, also plan her future</english> and so in future- in the past <english>they would think like that a person would just think that</english> all I need to is to grow up, <english>get a boyfriend</english> and get married, and so if that does not happen, <english>she doesn't say- there is no question.</english> I was interviewing somebody yesterday <english>I started with that</english> all they are thinking about is when are they going to get married. Whilst <english>you're busy</english> obsessing with getting married, you should be thinking <english>about,</english> let’s say <english>you don't have a child,</english> at such a stage <english>I should be having a child but you need to know that that child will need support.</english> You should have thought about first <english>that</english> my level of education, am I going to be able to support this child? <english>I can- while you don't have it.</english> So you plan <english>that</english> I need to have kids one day, and therefore I must get educated, start working. <english>This child</english> must have a home and therefore I must start thinking about that. <english>When it starts school</english> I must have a car. <english>In other instances a person</english> gets discouraged <english>that- was thinking will marry you- going to marry you, he looks that</english> your level of thinking, you’re finished. <english>You just want to depend</english> all your life. It’s a turn off. Whereas <english>you</english> if you upgraded yourself, <english>this would have changed.</english> I remember saying to one woman, after fourteen years <english>dating you. Okay, now I'm leaving you but</english> I’m leaving you, you’re a better person because <english>you dropped out of school</english> earlier on. <english>Upon seeing me advance, you followed my example and went back to school.</english> Today <english>when I leave you,</english> you’ll get married because <english>all people see you with a great future</english> and therefore- you did not waste your time <english>because I- you said ""I encouraged,</english> I remember <english>that standard</english> nine <english>I had given up, saying I don't want to study.</english> When I saw you starting to go to university, <english>going forward,</english> and and then I started following.” And <english>I say today I have a diploma,</english> you’re a teacher because you followed and therefore you’ll get a husband. It’s just that you are not the type of a girl I’m looking forward to marrying. And so, forget. Don’t hate me because <english>I made you better.</english>",,"SM: Showing off. LF: ""it looks like"" is used by the Interviwer to claim back his role as the interviewer as he expounds further the concepts or issues introduced by the Participant. The Interviewer is showing off as he puts things (issues) into perspective."
,,Participant,,<afrikaans>Ja.</afrikaans>,<english>Yes.</english>,,
,,Interviewer,,Okay <zulu>baba.</zulu>,Okay <english>father.</english>,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
,,Interviewer,,,,,
,,Participant,,,,,
