Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/SS,Comments,
,,Andrew,,"Nothing wrong because when you try to go to the origin of the language. It's God himself who created mankind. <Swahili>Na akaumba pia na-aliwawezesha kuwa na ndimi tofauti tofauti</Swahili> so you cannot say God created mankind for the negative reason, no. <Swahili>Aliwaumba waishi pamoja kwa amani na upendo</Swahili>.  Because you see Jesus Christ <Swahili>anakuona anasema</Swahili> 'oh...love is the greatest command. And then you try to consider the tribal lines eh? Or rather the languages you speak, you won't-you-you won't maintain a [uncertain transcription] <Swahili>utakuwa una</Swahili> clash </Swahili>kilamara</Swahili>. So it's good to avoid like I'm here-almost Bukusa [uncertain transcription]. So I should not look at the aspect of a language.  When I try to consider that so much-you get that you- <Swahili>utakuwa na ile</Swahili> distance. So in:-in short you should- <Swahili>mnaona kama mwanadamu mmoja </Swahili>, we live together <Swahili>kusaidiana kwa upendo kwasababu nikikupenda tutasaidiana. Sita angalia</Swahili> the negative sides of your language or the-the stereotypes at large. You won't be getting so much into those. ","Nothing wrong because when you try to go to the origin of the language. It's God himself who created mankind. <English>And he also created and-he enabled them to have different tongues</English> so you cannot say God created mankind for the negative reason, no. <English>He created them to live together in peace and love</English>.  Because you see Jesus Christ <English>he sees you he says</English> 'oh...love is the greatest command. And then you try to consider the tribal lines eh? Or rather the languages you speak, you won't-you-you won't maintain a [uncertain transcription] <English>you will be</English> clash[ing] <English>everytime</English>. So it's good to avoid like I'm here-almost Bukusa [uncertain transcription]. So I should not look at the aspect of a language.  When I try to consider that so much-you get that you- <English>you will have that</English> distance. So in:-in short you should- <English>see that we are like one human being</English>, we live together <English>to help each other in love because if I love you we will help each other. I won't look at</English> the negative sides of your language or the-the stereotypes at large. You won't be getting so much into those. ",CS,Unmarked.,
,Codeswitching,Interviewer,,Do you find yourself mixing languages in-in one conversation?,Do you find yourself mixing languages in-in one conversation?,,,
,,Andrew,,"Yea, {I-I find}=","Yea, {I-I find}=",,,
,,Interviewer,,{Which languages} are these that you mix?,{Which languages} are these that you mix?,,,
,,Andrew,,In Kiswahili and English mostly.,In Kiswahili and English mostly.,,,
,,Interviewer,,Kiswahili and English mostly?,Kiswahili and English mostly?,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Mm hmm. What they usually call Sheng. ,Mm hmm. What they usually call Sheng. ,,,
,,Andrew,,(Giggles),(Giggles),,,
,,Interviewer,,When-when do you usually mix languages?,When-when do you usually mix languages?,,,
,,Andrew,,Actually I-I can conf-I:ll have to confess that sometimes you run short of words. ,Actually I-I can conf-I:ll have to confess that sometimes you run short of words. ,,Andrew states that he codeswitches because he sometimes runs out of words in both Kiswahili and English. He seems uncomfortable to ait this as he uses the word “confess”. As if he is outing himself. ,
,,Interviewer,,You run short of words.,You run short of words.,,,
,,Andrew,,When communicating.,When communicating.,,,
,,Interviewer,,In which language?,In which language?,,,
,,Andrew,00:18:00mins,"Maybe: may-maybe both eh? Because you might be communicating in Kiswahili, you reach somewhere you want to communicate something then, you get stuck.  So you have to:-you-there's a word you have to chip in, from English so that-to make sure that, aah you {communicate that}=","Maybe: may-maybe both eh? Because you might be communicating in Kiswahili, you reach somewhere you want to communicate something then, you get stuck.  So you have to:-you-there's a word you have to chip in, from English so that-to make sure that, aah you {communicate that}=",,,
,,Interviewer,,{Whoever you are talking to} is understanding what you are saying.,{Whoever you are talking to} is understanding what you are saying.,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Do you even want to say that you are not fluent in Kiswahili?,Do you even want to say that you are not fluent in Kiswahili?,,"Interviewer is exposing Andrew for his disfluency in both languages.  He knows that this is humiliating yet he sounds as if he may be smiling, patronizing.  Furthermore, the question is redundant since Andrew already 'confessed' his disfluency in line 175.",
,,Andrew,,"Yea, I'm not yet fluent.","Yea, I'm not yet fluent.",,"Andrew answers in a hushed tone, perhaps embarrassed. ",
,,Interviewer,,"Or English. You're not, completely fluent.","Or English. You're not, completely fluent.",,,
,,Andrew,,I'm not completely fluent.,I'm not completely fluent.,,,
,,Interviewer,,So sometimes you have problems?,So sometimes you have problems?,,,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,That-that need- that make you...I mean switch the languages or mix the languages.,That-that need- that make you...I mean switch the languages or mix the languages.,,,
,,Andrew,,"Yea, yea.","Yea, yea.",,,
,,Interviewer,,"Mm hmm. Any other reason apart from, lacking the-the-the words to use?","Mm hmm. Any other reason apart from, lacking the-the-the words to use?",,,
,,Andrew,,"(Long pause) I think uuh, from lacking the words-aah, maybe you: might do that- you-you call it codeswitching. Just to make the conversation interesting. ","(Long pause) I think uuh, from lacking the words-aah, maybe you: might do that- you-you call it codeswitching. Just to make the conversation interesting. ",,,
,,Interviewer,,Mm hmm. To make the conversation interesting.,Mm hmm. To make the conversation interesting.,,,
,,Andrew,,"Yes, maybe {you [uncertain transcription]}=","Yes, maybe {you [uncertain transcription]}=",,,
,,Interviewer,,{To who now?},{To who now?},,Interviewer is not letting Andrew speak. Keeps interrupting with question on top of question.  Andrew is left quietly uttering his last few words in the background. ,
,,Andrew,,To-to [uncertain transcription]. To whoever=,To-to [uncertain transcription]. To whoever=,,,
,,Interviewer,,"And when you are mixing is it-is it to-with your lecturers? Is it with your friends? Is it with, your parents? Eh he? Whom do you tend to-to-to do the codemixing with?","And when you are mixing is it-is it to-with your lecturers? Is it with your friends? Is it with, your parents? Eh he? Whom do you tend to-to-to do the codemixing with?",,,
,,Andrew,,"I think when it comes to the academic instructors, that is in the academic field I'll-I will always make sure that I try to be concise eh? There would not be that much word use so to the extent that I would engage into codeswitching.","I think when it comes to the academic instructors, that is in the academic field I'll-I will always make sure that I try to be concise eh? There would not be that much word use so to the extent that I would engage into codeswitching.",,,
,,Interviewer,,Mm hmm.  ,Mm hmm.  ,,,
,,Andrew,,So I: just do-,So I: just do-,,,
,,Interviewer,,One language if it is=,One language if it is=,,,
,,Andrew,,One language yea.,One language yea.,,,
,,Interviewer,,English=,English=,,,
,,Andrew,,English.,English.,,,
,,Interviewer,,Is it usually English?,Is it usually English?,,,
,,Andrew,,English yea usually English.,English yea usually English.,,,
,,Interviewer,,With your instructors.,With your instructors.,,,
,,Andrew,,Yea. So with code switching I get myself doing that-practicing that when it is the case with friends and parents. Because-yea actually parents are that friendly. They are not that much formal.,Yea. So with code switching I get myself doing that-practicing that when it is the case with friends and parents. Because-yea actually parents are that friendly. They are not that much formal.,,,
,,Interviewer,00:20:00mins,Mmm. They're not strict {<Swahili label='refereeing'>hawajasema</Swahili label='refereeing'>},Mmm. They're not strict {<English>they haven't said</English>},CS,SM: Refereeing.,
,,Andrew,,{They're not strict.},{They're not strict.},,,
,,Interviewer,,“You need to use this language” ,“You need to use this language” ,,,
,,Andrew,,"Yes. And as well, it-it would be a very bad image to-to codeswitch before your instructor.","Yes. And as well, it-it would be a very bad image to-to codeswitch before your instructor.",,,
,Different Speech Patterns,Interviewer,,Mm hmm. Mm okay. <Swahili>Umewahiona</Swahili>any difference between the way you speak and the way other students...talk? ,Mm hmm. Mm okay. <English>Have you ever seen</English>any difference between the way you speak and the way other students...talk? ,CS,Unmarked.,
,,Andrew,,"[uncertain transcription] it's very possible, I've seen that=","[uncertain transcription] it's very possible, I've seen that=",,,
,,Interviewer,,What-what kind of differences have you observed?,What-what kind of differences have you observed?,,,
,,Andrew,,"Yea, it's in many ways. I've found out that um, there are those students who are most fluent than I am. More fluent than I am ah, {when it comes to Kiswahili}","Yea, it's in many ways. I've found out that um, there are those students who are most fluent than I am. More fluent than I am ah, {when it comes to Kiswahili}",,,
,,Interviewer,,"{English, Kiswahili mm hm}","{English, Kiswahili mm hm}",,,
,,Andrew,,"Especially the Kiswahili students.  Those [uncertain transcription], yea they have--they try to be very much fluent and can-I cannot measure up to their standards. And then there are those students as well who are very good and competent in English, and I cannot as well measure up to their standard. That's..how I”ve seen it. And there are those ones who are deep into Sheng. And I am-me I'm not deep into Sheng. ","Especially the Kiswahili students.  Those [uncertain transcription], yea they have--they try to be very much fluent and can-I cannot measure up to their standards. And then there are those students as well who are very good and competent in English, and I cannot as well measure up to their standard. That's..how I”ve seen it. And there are those ones who are deep into Sheng. And I am-me I'm not deep into Sheng. ",,,
,,Interviewer,,You're not deep into Sheng.,You're not deep into Sheng.,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,And there's sometimes talk-because <Swahili>wengine wanazungumza Sheng mpaka hupati wanasema nini</Swahili>.,And there's sometimes talk-because <English>some speak Sheng to the extent that you don't get what they are saying</English>.,CS,Unmarked.,
,,Andrew,,"Yea, <Swahili label='accomodation'>mpaka sipati</Swahili label='accomodation'> .","Yea, <English>to the extent that I don't get it</English> .",CS,SM: Accomodation.,
,,Interviewer,,Eeh? It's possible.,Eeh? It's possible.,,Interviewer seems amused that there are instances when Andrew actually doesn't understand what is being said in Sheng. He sounds like he is slightly smiling.,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,And where do you think this [uncertain transcription] students comes from what?,And where do you think this [uncertain transcription] students comes from what?,,A lot of noise in the background.,
,,Andrew,,"I think some would just come from the same home. Yea, that's from the various parts of the country [uncertain transcription]=","I think some would just come from the same home. Yea, that's from the various parts of the country [uncertain transcription]=",,,
,,Interviewer,,So there are people from your area-home area that speak Sheng that you cannot understand?,So there are people from your area-home area that speak Sheng that you cannot understand?,,,
,,Andrew,,That I cannot understand. ,That I cannot understand. ,,,
,,Interviewer,,And for you..it seems to me like <Swahili>hauna</Swahili> interest with Sheng so much.,And for you..it seems to me like <English>you don't have</English> interest with Sheng so much.,CS,Unmarked.,
,,Andrew,,Yea I don't-yea I can refer you back to=,Yea I don't-yea I can refer you back to=,,,
,,Interviewer,,"You choose to know, but you don't-you were saying you can refer back to?","You choose to know, but you don't-you were saying you can refer back to?",,,
,,Andrew,,"To:-to a case I related to you that I-I remember in Standard 8, it almost affected me.","To:-to a case I related to you that I-I remember in Standard 8, it almost affected me.",,,
,,Interviewer,,"Yea, yea, yea, yea. So that you have a negative attitude.","Yea, yea, yea, yea. So that you have a negative attitude.",,,
,,Andrew,,"Yea, [uncertain transcription] It's not a total dislike, but I try not to use much of it.","Yea, [uncertain transcription] It's not a total dislike, but I try not to use much of it.",,,
,,Interviewer,00:22:00mins,Much of it.  Okay. Do you by the way-did you pass your: languages..in=,Much of it.  Okay. Do you by the way-did you pass your: languages..in=,,,
,,Andrew,,In primary?,In primary?,,,
,,Interviewer,,In primary I'd say or did it affect so-you so much that you didn't pass OA.,In primary I'd say or did it affect so-you so much that you didn't pass OA.,,,
,,Andrew,,I remember I got an A minus in Kiswahili.,I remember I got an A minus in Kiswahili.,,,
,,Interviewer,,Aaaah,Aaaah,,,
,,Andrew,,And a B plus in English.,And a B plus in English.,,,
,,Interviewer,,"Which is-which are good grades. Mm.  So you quickly changed that (laughter) okay. Eeh, can you tell, if someone comes from your area? Your home area? From the way they talk? {Is it} possible?","Which is-which are good grades. Mm.  So you quickly changed that (laughter) okay. Eeh, can you tell, if someone comes from your area? Your home area? From the way they talk? {Is it} possible?",,,
,,Andrew,,"{Yea, I can-} I can tell. Even though for others it's been that difficult to tell.","{Yea, I can-} I can tell. Even though for others it's been that difficult to tell.",,,
,,Interviewer,,"Mm hmm. For who? You're saying, although it can be=","Mm hmm. For who? You're saying, although it can be=",,,
,,Andrew,,"I can tell that this one-this-m-this person comes from my home area, that is when it comes to maybe:-maybe: by using-maybe to-just to: identifying by the language, yea.","I can tell that this one-this-m-this person comes from my home area, that is when it comes to maybe:-maybe: by using-maybe to-just to: identifying by the language, yea.",,A lot of false starts. Seeking the words the words to express his thoughts.,
,,Interviewer,,How do you do that?,How do you do that?,,,
,,Andrew,,I-with us the Luhya's usually you have the-there's that <Swahili label='high solidarity'>tunaita</Swahili label='high solidarity'> is it <Swahili label='exemplification'>lahaja</Swahili label='exemplification'> or the:,I-with us the Luhya's usually you have the-there's that <English>we call it</English> is it <English>dialect</English> or the:,CS,SM: Exemplification.,
,,Interviewer,,Accent?,Accent?,,,
,,Andrew,,Accent. Yea. <Swahili label='exemplification'>Unapata mtu anaongea “ebu kuja” “patro dogo”</Swahili label='exemplification'> instead of <Swahili label='exemplification'>bado kidogo</Swahili label='exemplification'> .  Yea and such (interviewer laughs) [uncertain transcription]. We call it mother tongue interference,Accent. Yea. <English>You find someone speaks “hey come” </English> “patro dogo” instead of <English>still a little</English> .  Yea and such (interviewer laughs) [uncertain transcription]. We call it mother tongue interference,CS,SM: Exemplification.,
,,Interviewer,,Is it only you: Bukusu or Luhya that do that?,Is it only you: Bukusu or Luhya that do that?,,,
,,Andrew,,"I think there are much eh?  Yea, toward on that, I think most Luhyas have that. And then, there's-actually I'll try to understand something from the:-from the interactions I've had with my friends. I've had to communicate-I've been conversing with my friends and then they tell me “actually, there's a word there's something you spoke and then I could identify that you are a  Bukusu. Or a Luhya.”  There's this-this tendency of adding, <Swahili label='elaboration'>kuongeza maneno kwa-mengine</Swahili label='elaboration'> . For example <Swahili label='exemplification'>'kujang'o' 'kujako kidogo'.</Swahili label='exemplification'>","I think there are much eh?  Yea, toward on that, I think most Luhyas have that. And then, there's-actually I'll try to understand something from the:-from the interactions I've had with my friends. I've had to communicate-I've been conversing with my friends and then they tell me “actually, there's a word there's something you spoke and then I could identify that you are a  Bukusu. Or a Luhya.”  There's this-this tendency of adding, <English>to add word to others</English> . For example <English>”come for a second”.</English>",CS,SM:  Exemplification and Elaboration.,
,,Interviewer,00:24:08mins,"<Swahili label='exemplification'>Kujako</Swahili label='exemplification'>. [{uncertain transcription}], those are mostly Luhya's [uncertain transcription].","<English>Come</English>. [{uncertain transcription}], those are mostly Luhya's [uncertain transcription].",CS,SM: Exemplification.,
,,Andrew,,{<Swahili label='elaboration'>Kujako</Swahili label='elaboration'>. Such} Yes. ,{<Slang>Come</Slang>. Such} Yes. ,CS,SM: Elaboration.,
,,Interviewer,,Mm hmm. How about [transcription] from other areas?  Can you [uncertain transcription] from other areas?,Mm hmm. How about [transcription] from other areas?  Can you [uncertain transcription] from other areas?,,,
,,Andrew,,Actually I am not in a position to discover that unless I do a [uncertain transcription] {research}.,Actually I am not in a position to discover that unless I do a [uncertain transcription] {research}.,,,
,,Interviewer,,"{Because} [uncertain transcription] if you talk of mother tongue interference, everybody-okay, most people from all over Kenya have some kind of interference.","{Because} [uncertain transcription] if you talk of mother tongue interference, everybody-okay, most people from all over Kenya have some kind of interference.",,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,Is-is that something you can use to tell you where somebody comes from? ,Is-is that something you can use to tell you where somebody comes from? ,,,
,,Andrew,,"Yea, I'm sure. It can work that way. It's only that I've not delved so much into trying to discover it. Yes.","Yea, I'm sure. It can work that way. It's only that I've not delved so much into trying to discover it. Yes.",,,
,Education/Class,Interviewer,,"How about eeh-somebody's background?  Their level of education, things like their position in society:,  political affiliation. Can you tell from the way they talk, even if you cannot see them?","How about eeh-somebody's background?  Their level of education, things like their position in society:,  political affiliation. Can you tell from the way they talk, even if you cannot see them?",,,
,,Andrew,,From the way they talk? ,From the way they talk? ,,,
,,Interviewer,,"Somebody talking in-in say the other room, you cannot see that person can you tell their background? ","Somebody talking in-in say the other room, you cannot see that person can you tell their background? ",,,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,In terms of level of education for example?,In terms of level of education for example?,,,
,,Andrew,,I'm sure you can.,I'm sure you can.,,,
,,Interviewer,,You can? {How [uncertain transcription]},You can? {How [uncertain transcription]},,,
,,Andrew,,"Yea. {Even though-} even though it's not good to be that judgmental, but you can tell actually. Yea. Let me say, it's not for you that I am saying this eh? For those people maybe who are from the-you are trying to say something like “how can you [uncertain transcription] between social status and standards?","Yea. {Even though-} even though it's not good to be that judgmental, but you can tell actually. Yea. Let me say, it's not for you that I am saying this eh? For those people maybe who are from the-you are trying to say something like “how can you [uncertain transcription] between social status and standards?",,,
,,Interviewer,,Yes. ,Yes. ,,,
,,Andrew,,"You will get-usually those people from rich families, you will get them talking of some complicated-using complicated terms in speech. Or somebody using-they're-they're so much into technology, somebody saying “<Swahili label='quotation'>mazee hii ipad</Swahili label='quotation'> [uncertain transcription] <Swahili label='quotation'>sijui buda ameninunulia ipad fulani huko juu</Swahili label='quotation'>” such things. Just to..give an example.  Somebody talking of a maybe:...they-they-the-the types of vehicles eh?  They have tried to make sure that they are knowing most of the types of vehicles. Why? Maybe it's because they're exposed to them by the:-by the virtue of their parents buying them. So you could tell-though they're discussing that so you could tell. This one must be from a-a bit-[uncertain transcription], like for me and my case uh? I-I must confess I'm from that, lower standards. So you get me I'm not-I don't know much about the technology and the luxuries so we talk simple stories. Yea. Maybe discussing about, (interviewer says something inaudible in the background) favorite foods eh?","You will get-usually those people from rich families, you will get them talking of some complicated-using complicated terms in speech. Or somebody using-they're-they're so much into technology, somebody saying “<English>mazee this ipad</English> [uncertain transcription] <English>I don't know, buda bought me a certain ipad abroad</English>” such things. Just to..give an example.  Somebody talking of a maybe:...they-they-the-the types of vehicles eh?  They have tried to make sure that they are knowing most of the types of vehicles. Why? Maybe it's because they're exposed to them by the:-by the virtue of their parents buying them. So you could tell-though they're discussing that so you could tell. This one must be from a-a bit-[uncertain transcription], like for me and my case uh? I-I must confess I'm from that, lower standards. So you get me I'm not-I don't know much about the technology and the luxuries so we talk simple stories. Yea. Maybe discussing about, (interviewer says something inaudible in the background) favorite foods eh?",CS,SM: Quotation.                                                                                                NOTE: I don't know if 'mazee' is slang plural of 'wazee' which means 'old folks' literally but could conceivably be used as 'folks'.  I also don't know what 'buda' means.,
,,Interviewer,,Favorite foods.,Favorite foods.,,,
,,Andrew,,How ugali can be cooked. (Both break out in loud laughter),How ugali can be cooked. (Both break out in loud laughter),SS,"Andrew tells a joke. This is so far out of character because he has been very serious throughout the interview. Perhaps this is a way  for him to lighten the depth of his relevation, that he is from 'lower standards' as he earlier 'confessed'.  Ugali is an east African dish.",
,,Interviewer,,<Swahili>Sasa hivyo ndio kuna nini eh?</Swahili> [Still laughing robustly],<English>Now that's where it's at eh?</English> [Still laughing robustly],,,
,,Andrew,,Such simple- not necessarily about food but-{yea},Such simple- not necessarily about food but-{yea},,,
,,Interviewer,,{yea},{yea},,,
,,Andrew,00:27:00mins,"Simple ,simple things.","Simple ,simple things.",,,
,,Interviewer,,"Mm, but these are- <Swahili label='exclusion'>hawa wengine ni:</Swahili label='exclusion'> mostly=","Mm, but these are- <English>these others are:</English> mostly=",CS,SM: Exclusion.,
,,Andrew,,Tend to be complicated.,Tend to be complicated.,,,
,,Interviewer,,"Complex things. They don't have time for small, matters?","Complex things. They don't have time for small, matters?",,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,So you can tell somebody's level of education.,So you can tell somebody's level of education.,,,
,,Andrew,,"Yea, but the level of education {you can tell}=","Yea, but the level of education {you can tell}=",,,
,,Interviewer,,"{you can tell-} you said your position in society.  {Class, yes, yes}, all that, you can do that.","{you can tell-} you said your position in society.  {Class, yes, yes}, all that, you can do that.",,,
,,Andrew,,{Yes.Yes.} ,{Yes.Yes.} ,,,
,,Interviewer,,"How about level of education? Because, you can have somebody from a poor background, somebody from a rich background both of them are professors or doctors or: high-I mean with high level of education. Can you tell them apart?","How about level of education? Because, you can have somebody from a poor background, somebody from a rich background both of them are professors or doctors or: high-I mean with high level of education. Can you tell them apart?",,,
,,Andrew,,"Yes, well, when it comes to the level of educat-education it's very much possible to tell.  Yea, from the time of-from the kind of language and-and I think this comes to the kind of vocabulary. Yea. Used-you'll-when you-when it comes to that person who has been that less fortunate, has not of attained an education to maybe say.. university.  Let's say it's somebody who just reached Form Four aaa Standard Eight drop-out, you tend to s-to discover that these people usually they're not-like in Kenya, English-when it comes to English they're not that competent. Yea, it's impossible to be that much fluent eh? When your level of education is a bit down. But you get to people like professors, even from-when conversing eh? You'll discover that they're some terms they use-there are those big words yea. And so you'll tell.","Yes, well, when it comes to the level of educat-education it's very much possible to tell.  Yea, from the time of-from the kind of language and-and I think this comes to the kind of vocabulary. Yea. Used-you'll-when you-when it comes to that person who has been that less fortunate, has not of attained an education to maybe say.. university.  Let's say it's somebody who just reached Form Four aaa Standard Eight drop-out, you tend to s-to discover that these people usually they're not-like in Kenya, English-when it comes to English they're not that competent. Yea, it's impossible to be that much fluent eh? When your level of education is a bit down. But you get to people like professors, even from-when conversing eh? You'll discover that they're some terms they use-there are those big words yea. And so you'll tell.",,,
,,Interviewer,,You can easily tell.,You can easily tell.,,,
,,Andrew,,Yea. You can easily tell.,Yea. You can easily tell.,,,
,Languages,Interviewer,,"Mm hmm.  Okay. Do you speak-because you told me that you know English, Kiswahili, Bukusu and also French. So do you use-or do you speak thes-these different languages to different people? ","Mm hmm.  Okay. Do you speak-because you told me that you know English, Kiswahili, Bukusu and also French. So do you use-or do you speak thes-these different languages to different people? ",,,
,,Andrew,00:29:00mins,"Yes, I use them to {different people for example}","Yes, I use them to {different people for example}",,,
,,Interviewer,,"{Give me an example, when?}","{Give me an example, when?}",,,
,,Andrew,,"Let's start with French eh? I can't speak French to my roommate because it's a fact that French students in Moi University main campus are so few, and so to say- it's not applicable to most students because you can't understand it. [uncertain transcription] because the problem with accent because even you can be knowing-..that you can-even though it's possible to get that-a certain word spoken that could be meaning this but the accent puts you off if you are not conversant to it. And then, when it comes to: English as well I would use it to almost everybody but not to the:-most of the people in my community-most of the people in my community actually don't know English. Especially the elderly. Yea. When talking to them in English, you are just being..unfair to them. ","Let's start with French eh? I can't speak French to my roommate because it's a fact that French students in Moi University main campus are so few, and so to say- it's not applicable to most students because you can't understand it. [uncertain transcription] because the problem with accent because even you can be knowing-..that you can-even though it's possible to get that-a certain word spoken that could be meaning this but the accent puts you off if you are not conversant to it. And then, when it comes to: English as well I would use it to almost everybody but not to the:-most of the people in my community-most of the people in my community actually don't know English. Especially the elderly. Yea. When talking to them in English, you are just being..unfair to them. ",,,
,,Interviewer,,Mm hmm.  ,Mm hmm.  ,,,
,,Andrew,00:30:00mins,Yea.  So and as well English I won't use much of English to my younger-let's say the-the five years old and below.,Yea.  So and as well English I won't use much of English to my younger-let's say the-the five years old and below.,,,
,,Interviewer,,Did you mention Kiswahili?,Did you mention Kiswahili?,,,
,,Andrew,,"Yea, Kiswahili: as well. Kiswahili:-Kiswahili actually, in as much as it is our national language in Kenya specifically, it is-it has proved to be that complicated. ","Yea, Kiswahili: as well. Kiswahili:-Kiswahili actually, in as much as it is our national language in Kenya specifically, it is-it has proved to be that complicated. ",,,
,,Interviewer,,Mm hmm.  ,Mm hmm.  ,,,
,,Andrew,,"Yea, especially when: you dwell so much into <Swahili>Kiswahili sanifu</Swahili> , it puts off many- even most of our instructors, lecturers there are those ones who specialize in those fields","Yea, especially when: you dwell so much into <English>Standard Swahili</English> , it puts off many- even most of our instructors, lecturers there are those ones who specialize in those fields",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Andrew,,"Yea, they teach in English so much that when you talk to them in <Swahili>Kiswahili sanifu</Swahili> they won't be getting you but the normal Kiswahili, ah there's no problem.","Yea, they teach in English so much that when you talk to them in <English>Standard Swahili</English> they won't be getting you but the normal Kiswahili, ah there's no problem.",CS,Unmarked.,
,,Interviewer,,Mm hmm.  Bukusu?,Mm hmm.  Bukusu?,,,
,,Andrew,,Bukusu I'll specifically use it to people from my community or any other individual who has proved to be competent in it or not-knowing a bit of it.  ,Bukusu I'll specifically use it to people from my community or any other individual who has proved to be competent in it or not-knowing a bit of it.  ,,,
,,Interviewer,,So even me as a Kalenjin knows some Bukusu=,So even me as a Kalenjin knows some Bukusu=,,,
,,Andrew,,"Yes, we can still communicate.","Yes, we can still communicate.",,,
,,Interviewer,,"I believe my mom knows Bukusu very well, so you can talk to her (laughs). Or she can teach actually [uncertain transcription] your Bukusu is not so good.  She will speak like a Kik-a Bukusu kabisa....Umm, have you ever tried to change..anything about the way you talk?","I believe my mom knows Bukusu very well, so you can talk to her (laughs). Or she can teach actually [uncertain transcription] your Bukusu is not so good.  She will speak like a Kik-a Bukusu kabisa....Umm, have you ever tried to change..anything about the way you talk?",,,
,,Andrew,,Changing: ,Changing: ,,,
,,Interviewer,,Anything.,Anything.,,,
,,Andrew,,With the way I talk?,With the way I talk?,,,
,,Interviewer,,"Yea, because you s- I asked you previously if you had noticed a difference from the way you talk eh? How other students talk. So you say there are differences?","Yea, because you s- I asked you previously if you had noticed a difference from the way you talk eh? How other students talk. So you say there are differences?",,,
,,Andrew,,"Yea, there are differences.","Yea, there are differences.",,,
,,Interviewer,,"Some are like more fluent in Kiswahili,others in Sheng, like that eh? So have you ever chang-tried to change anything about the way you talk?","Some are like more fluent in Kiswahili,others in Sheng, like that eh? So have you ever chang-tried to change anything about the way you talk?",,,
,,Andrew,,Yes I have tried to change.,Yes I have tried to change.,,,
,,Interviewer,,Why?,Why?,,,
,,Andrew,,How?,How?,,,
,,Interviewer,,Mm hmm.  ,Mm hmm.  ,,,
,,Andrew,00:32:00mins,"It's this way eh? I”ll-when I came first to: first year, I almost tried to identify myself with, let me say-it's unfortunate but let me say the majority. Yea. When you come into campus there are those teenagers-yea, should we call them teenagers-no, not teenagers but my age mates. {My peers}.","It's this way eh? I”ll-when I came first to: first year, I almost tried to identify myself with, let me say-it's unfortunate but let me say the majority. Yea. When you come into campus there are those teenagers-yea, should we call them teenagers-no, not teenagers but my age mates. {My peers}.",,,
,,Interviewer,,Peers. {Your peers},Peers. {Your peers},,,
,,Andrew,,"Me I would come here <Swahili>najaribu kuongea</Swahili> I want to identify with Sheng so much. And then I discovered something-you know I just remembered something.  This same Sheng almost cost me. So, yes I tried to communicate to them in Sheng but I saw a reason to change. Not to dwell into it so much. Because I saw how it could lead to some repercussions, now that I'm a language student. Yea. As well, that is one instance. And I said that those people who speak more fluently in Kiswahili than I am-than I can, that is. So, I tried to change actually. I tried to make sure that I maintain <Swahili>Kiswahili sanifu</Swahili> at some point when I get somebody who is fluent in Kiswahili you try to converse. Just to make sure I-by that I tried=","Me I would come here <English>trying to speak</English> I want to identify with Sheng so much. And then I discovered something-you know I just remembered something.  This same Sheng almost cost me. So, yes I tried to communicate to them in Sheng but I saw a reason to change. Not to dwell into it so much. Because I saw how it could lead to some repercussions, now that I'm a language student. Yea. As well, that is one instance. And I said that those people who speak more fluently in Kiswahili than I am-than I can, that is. So, I tried to change actually. I tried to make sure that I maintain <English>standard Swahili</English> at some point when I get somebody who is fluent in Kiswahili you try to converse. Just to make sure I-by that I tried=",CS,Unmarked.,
,,Interviewer,,"So consciously saying <Swahili label='quotation'>“wacha nijaribu kabisa, ni ma-nimaintain hiyo Kiswahili.</Swahili label='quotation'> Uh huh.","So consciously saying <English>“let me truly try, to maintain that Swahili.</English> Uh huh.",CS,SM: Quotation.,
,,Andrew,,"<Swahili>Ee, ndio</Swahili>.","<English>Ee, yes</English>.",,,
,,Interviewer,,So you-you do that? {Often?},So you-you do that? {Often?},,,
,,Andrew,,{I do that} even though I don't-{I don't}=,{I do that} even though I don't-{I don't}=,,,
,,Interviewer,,{You do that often?} Do you do it often like everyday?,{You do that often?} Do you do it often like everyday?,,,
,,Andrew,,Not everyday because sometimes we don't meet with those friends of mine who do Kiswahili. Yea or {who would do}=,Not everyday because sometimes we don't meet with those friends of mine who do Kiswahili. Yea or {who would do}=,,,
,,Interviewer,,{English?},{English?},,,
,,Andrew,,English?,English?,,,
,,Interviewer,,Have you also tried to change the way you talk?,Have you also tried to change the way you talk?,,,
,,Andrew,,"Yea, I have tried to make sure that I don't mix the-the usual grammatical errors I used to make..sometime ago.","Yea, I have tried to make sure that I don't mix the-the usual grammatical errors I used to make..sometime ago.",,,
,,Interviewer,,So you're more careful when you speak in English but what do you mean?,So you're more careful when you speak in English but what do you mean?,,,
