Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Notes,,,,,
,,Fred,,"That because let's say you find a troop of people somewhere, they are killing maybe a particular tribe then you see the best way they could identify they could just come and tell you and maybe greet you in their language. If you manage to answer, they know that you are a member and they let you go.","That because let's say you find a troop of people somewhere, they are killing maybe a particular tribe then you see the best way they could identify they could just come and tell you and maybe greet you in their language. If you manage to answer, they know that you are a member and they let you go.",,,,,,,,
,,Interviewer,,They'd let you go.,They'd let you go.,,,,,,,,
,,Fred,,"Soo ah-that-I also time to avoid-but that-that does not mean that I have hopes that such things might happen, no. I only trying that at least <Swahili>nikue</Swahili> ready.","Soo ah-that-I also time to avoid-but that-that does not mean that I have hopes that such things might happen, no. I only trying that at least <English>for me to be</English> ready.",CS,Unmarked.,,,,,,
,,Interviewer,00:12:31mins,"So for this ones that you know, do you mix them? In-in-in the conversation?","So for this ones that you know, do you mix them? In-in-in the conversation?",,,,,,,,
,,Fred,,Yes only if I am with those who to show that I also know a little bit of their language. ,Yes only if I am with those who to show that I also know a little bit of their language. ,,,,,,,,
,,Interviewer,,"No-not-no I'm-I'm-I talk-I mean-I mean the ones that you know. These languages that you know. English, Kiswahili and Dholuo.  Languages that you're fluent in.  Do you mix them in conversation?","No-not-no I'm-I'm-I talk-I mean-I mean the ones that you know. These languages that you know. English, Kiswahili and Dholuo.  Languages that you're fluent in.  Do you mix them in conversation?",,,,,,,,
,,Fred,,"Yes, I mix them.","Yes, I mix them.",,,,,,,,
,,Interviewer,,In one conversation?,In one conversation?,,,,,,,,
,,Fred,,Yes. ,Yes. ,,,,,,,,
,,Interviewer,,You do? ,You do? ,,,,,,,,
,,Fred,,Yea I do.,Yea I do.,,,,,,,,
,,Interviewer,,When? For example,When? For example,,,,,,,,
,,Fred,,You see one of the reasons I try maybe I-we can mix them=,You see one of the reasons I try maybe I-we can mix them=,,,,,,,,
,,Interviewer,,Just tell me when first then you'll=,Just tell me when first then you'll=,,,,,,,,
,,Fred,,When? When I don’t have the vocabulary for that language maybe that we are speaking.  Let's say I'm speaking English then I don't have the vocabulary for that term at that particular moment then I can switch. Yea maybe=  ,When? When I don’t have the vocabulary for that language maybe that we are speaking.  Let's say I'm speaking English then I don't have the vocabulary for that term at that particular moment then I can switch. Yea maybe=  ,,,,,,,,
,,Interviewer,,Is it that-is that the only reason? Could you just also do it even when you know the words in the other language?,Is it that-is that the only reason? Could you just also do it even when you know the words in the other language?,,,,,,,,
,,Fred,,"Aah some other times it happens at least to-<Swahili label='high expertise'>mtu kuonyesha umahiri wake katika lugha</Swahili label='high expertise'>.  Yea, maybe you want=","Aah some other times it happens at least to-<English>a person to show their skillfullness in language</English>.  Yea, maybe you want=",CS,SM: High Expertise OLF: Fred uses to Swahili to demonstrate his expertise in the language.,,,,,,
,,Interview,,I'm good!,I'm good!,,,,,,,,
,,Fred,,I'm good in this and this. ,I'm good in this and this. ,,,,,,,,
,,Interviewer,,And I can switch anytime.,And I can switch anytime.,,,,,,,,
,,Fred,,Anytime I want.,Anytime I want.,,,,,,,,
,Why Codeswitch?,Interviewer,00:13:30mins,So why do you ss-do you-do you do the mixing-<Swahili label='elaboration'>unachanganya kwanini</Swahili label='elaboration'>?,So why do you ss-do you-do you do the mixing-<English>you mix for what</English>?,CS,SM: Elaboration.,,,,,,
,,Fred,,"<Swahili label='accomodation'>Kuchanganya. Sijui</Swahili label='accomodation'>-that's ju-like I had said, <Swahili>tuseme sina yale maneno ambayo yanatakika na</Swahili> let's say you are explaining someone someone about this one. I-i-in Kiswahili how would you say that.  [uncertain transcription] you'll just have to say <Swahili>ati ""jana nilipokuwa nikisoma</Swahili> our fluorescent tube <Swahili>iliunguwa""</Swahili>. Cuz you won't have that term <Swahili>sasa kuelezea mtu</Swahili>=","<English>Mixing. I don't know</English>-that's ju-like I had said, <English>let's say I don't have those words that are needed and</Swahili> let's say you are explaining someone someone about this one. I-i-in Kiswahili how would you say that.  [uncertain transcription] you'll just have to say <English>that ""yesterday when I was studying</English> our fluorescent tube <English>burnt""</English>. Cuz you won't have that term <English>now to explain to someone</English>=",CS,"SM: Accomodation. OLF: Fred continues in Swahili, picking up with the word where Interviewer left off.",,,,,,
,,Interviewer,,You don't have the time to start thinking.,You don't have the time to start thinking.,,,,,,,,
,,Fred,,Yea. You-<Swahili label='addressee specification'>utafikiria-utafikiria</Swahili label='addressee specification'>=,Yea. You-<English>you will think and think</English>=,CS,SM: Addressee specification.,,,,,,
,,Interviewer,,<Swahili>Niliambiwa nini kwa shule</Swahili>?,<English>What was I told in school</English>?,,,,,,,,
,,Fred,,"Yea, <Swahili>eti</Swahili> fluorescent tube <Swahili>nini</Swahili>? See I lost-so as to also save time.","Yea, <English>indeed</English> fluorescent tube <English>is</English>? See I lost-so as to also save time.",CS,Unmarked.,,,,,,
,,Interviewer,,Okay. Economy.,Okay. Economy.,,,,,,,,
,,Fred,,Yea. Economy.,Yea. Economy.,,,,,,,,
,Languages Most Frequently Mixed,Interviewer,,So which languages do you mostly mix?,So which languages do you mostly mix?,,,,,,,,
,,Fred,,Languages I mostly mix? Mostly English and Swahili. Mostly.,Languages I mostly mix? Mostly English and Swahili. Mostly.,,,,,,,,
,,Interviewer,,Mm. Sometimes Dholuo?,Mm. Sometimes Dholuo?,,,,,,,,
,,Fred,,"Yea, sometimes Dholuo but eeh=","Yea, sometimes Dholuo but eeh=",,,,,,,,
,,Interviewer,,And what do you mix Dholuo with?,And what do you mix Dholuo with?,,,,,,,,
,,Fred,,"Eeh, whatever I mix Dholuo with maybe if I'm speaking to my Luo friend and there's something I'm trying to explain to him=","Eeh, whatever I mix Dholuo with maybe if I'm speaking to my Luo friend and there's something I'm trying to explain to him=",,,,,,,,
,,Interviewer,,"No, I am saying yea. You-of course when you are mixing with Dholuo it has to be a Luo friend [uncertain transcription]. So which other language would you be mixing with when you are talking to your Luo friends and you are mixing, Luo and what else?","No, I am saying yea. You-of course when you are mixing with Dholuo it has to be a Luo friend [uncertain transcription]. So which other language would you be mixing with when you are talking to your Luo friends and you are mixing, Luo and what else?",,,,,,,,
,,Fred,,Maybe-mostly English.,Maybe-mostly English.,,,,,,,,
,,Interviewer,,"Mostly English. (they both laugh) The stereotype [uncertain transcription].  Not Kiswahili. I've had Luo friends, I know some words in Luo cuz I lived with a Luo when I was a student. For almost three years. So usually I would hear them when they mix it is Luo, Kiswahili?  Ah! ah!","Mostly English. (they both laugh) The stereotype [uncertain transcription].  Not Kiswahili. I've had Luo friends, I know some words in Luo cuz I lived with a Luo when I was a student. For almost three years. So usually I would hear them when they mix it is Luo, Kiswahili?  Ah! ah!",,,,,,,,
,,Fred,,(both still laughing) <Swahili>Kiswahili ni kidogo sana</Swahili>.,(both still laughing) <English>Very little Swahili</English>.,,,,,,,,
,,Interviewer,,<Swahili>Kidogo</Swahili>. So it is something that I think is a stereotype but it also has some truth in it.,<English>Little</English>. So it is something that I think is a stereotype but it also has some truth in it.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,Difference Between the Way You and Other Students Talk,Interviewer,00:15:05mins,Mm. Have you noticed a dif-any difference with the way you talk and the other students?,Mm. Have you noticed a dif-any difference with the way you talk and the other students?,,,,,,,,
,,Fred,,"Yea. Yea, I talk-it's unique to myself. Yea because I-in fact when I talk-le-let's say I record myself then I hear-hear that the way I talk is only unique to me. There's nobody else=","Yea. Yea, I talk-it's unique to myself. Yea because I-in fact when I talk-le-let's say I record myself then I hear-hear that the way I talk is only unique to me. There's nobody else=",,,,,,,,
,,Interviewer,,Have people told you that? ,Have people told you that? ,,,,,,,,
,,Fred,,Yea they=,Yea they=,,,,,,,,
,,Interviewer,,"Ama when you are talking somewhere, somebody can easily say ""ah! That is Okello. Okello is [uncertain transcription]","Ama when you are talking somewhere, somebody can easily say ""ah! That is Okello. Okello is [uncertain transcription]",,,,,,,,
,,Fred,,"Yea exactly, they know. In fact everyone that I-I attend choir practices everday that's from Monday to Thursday <Swahili>kwanzia</Swahili> eight. <Swahili>Sasa unajua tukiwapo kwa</Swahili> choir <Swahili label='quotation'>kuna hao watu wananiambia k- ""hebu ongea. Mi</Swahili label='quotation'> I like the way you talk. That Luo accent."" (Interviewer laughs)","Yea exactly, they know. In fact everyone that I-I attend choir practices everday that's from Monday to Thursday <English>starting from</English> eight. <English>Now you know when we were in</English> choir <English>there were these people telling me ""please speak. Me</English> I like the way you talk. That Luo accent."" (Interviewer laughs)",CS,SM: Quotation.,,,,,,
,,Interviewer,,The ladies.,The ladies.,,,,,,,,
,,Fred,,Yea the Luo accent <Swahili>mi inanifurahisha</Swahili>.,Yea the Luo accent <English>me it amuses me</English>.,CS,Unmarked.,,,,,,
,Identifying Other Ethnicities by their Speech,Interviewer,,"Aa, cuz of the Luo accent. And eh-is it the same, for you with the other students? Can you identify other students by the way they-they-they [uncertain transcription] speak?","Aa, cuz of the Luo accent. And eh-is it the same, for you with the other students? Can you identify other students by the way they-they-they [uncertain transcription] speak?",,,,,,,,
,,Fred,,"Yes I can.  Yea, you see like the Kisii just like I told you I'm so close to the Kisiis. And you see they have their own way of talking such that when there's someone is in the other room and it is closed, then you try=","Yes I can.  Yea, you see like the Kisii just like I told you I'm so close to the Kisiis. And you see they have their own way of talking such that when there's someone is in the other room and it is closed, then you try=",,,,,,,,
,,Interviewer,,[uncertain transcription],[uncertain transcription],,,,,,,,
,,Fred,,[uncertain transcription] at the meaning of whatever is being said. You just realize they're Luo or a Kisii.,[uncertain transcription] at the meaning of whatever is being said. You just realize they're Luo or a Kisii.,,,,,,,,
,,Interviewer,,You're saying a-a Kisii you can easily tell=,You're saying a-a Kisii you can easily tell=,,,,,,,,
,,Fred,,"Yea, I can easily tell that this one-this is a Kizi-a-a Kisii. And again you see mostly because they're certain languages-certain maybe let's say sounds that they find problems that some other tribes find problems with. Like you see most-these Kikuyus mostly you'll find they're saying ""r"" and ""l""-the differences. ","Yea, I can easily tell that this one-this is a Kizi-a-a Kisii. And again you see mostly because they're certain languages-certain maybe let's say sounds that they find problems that some other tribes find problems with. Like you see most-these Kikuyus mostly you'll find they're saying ""r"" and ""l""-the differences. ",,,,,,,,
,,Interviewer,,[uncertain transcription] Mix.,[uncertain transcription] Mix.,,,,,,,,
,,Fred,,"Yea. So if you are just listening to someone then you hear-ins-say so many ""r""s instead of ""l"" just know that ""ah, that one has to be a Kikuyu.""","Yea. So if you are just listening to someone then you hear-ins-say so many ""r""s instead of ""l"" just know that ""ah, that one has to be a Kikuyu.""",,,,,,,,
,,Interviewer,,"Aah, okay. And eh, can you listen to someone talk and you say ""this man or this lady must be from Siaya"". Where you come from?","Aah, okay. And eh, can you listen to someone talk and you say ""this man or this lady must be from Siaya"". Where you come from?",,,,,,,,
,,Fred,,"Yea, that's most. That is more specific then let's say speaking Dholuo. You see Dholuo you have different ways through which different people speak. The words, might be the same but now the way they are being pronounced is a little bit different. ","Yea, that's most. That is more specific then let's say speaking Dholuo. You see Dholuo you have different ways through which different people speak. The words, might be the same but now the way they are being pronounced is a little bit different. ",,,,,,,,
,,Interviewer,,So <Swahili>Ujaluo wa Siaya na ule wa Bondo na ule wa Kisumu</Swahili> you can=,So <English>The Luo of Siaya and that of Bondo and that of Kisumu</English> you can=,CS,Unmarked.,,,,,,
,,Fred,,Yea you can just tell that this one-this one comes from {Kisumu}. ,Yea you can just tell that this one-this one comes from {Kisumu}. ,,,,,,,,
,,Interviewer,,<Luo label='high solidarity'>Jakisumu</Luo label='high solidarity'>. This one is=,<English>Of Kisumu</English>. This one is=,CS,"SM: High solidarity. OLF: Interviewer uses Luo prefix to align himself with Fred, to say that he too has some knowledge/comfort in using some basic Luo words.",,,,,,
,,Fred,,This one is from Ja-this is <Luo label='high solidarity'>Jasiaya</Luo label='high solidarity'>. Because-but maybe some other person who is not aa member might not know because the words might just be the same. But now the way in which a person says-says those words [uncertain transcription],This one is from Ja-this is <English>of Siaya</English>. Because-but maybe some other person who is not aa member might not know because the words might just be the same. But now the way in which a person says-says those words [uncertain transcription],CS,SM: High Solidarity. ,,,,,,
,,Interviewer,,"Mm. That's interesting, I thought Luo is just Luo. (Fred laughs). Whether you come from Kisumu or you come from Seme or wherever it's just the same.","Mm. That's interesting, I thought Luo is just Luo. (Fred laughs). Whether you come from Kisumu or you come from Seme or wherever it's just the same.",,,,,,,,
,,Fred,,It can be Luo but you see <Swahili>yani</Swahili> it's different from [uncertain transcription],It can be Luo but you see <English>I mean</English> it's different from [uncertain transcription],CS,Unmarked.,,,,,,
,,Interviewer,,"Yea, I'm saying I didn't imagine. But you can know-you are telling me that you can=","Yea, I'm saying I didn't imagine. But you can know-you are telling me that you can=",,,,,,,,
,,Fred,,You will know.,You will know.,,,,,,,,
,,Interviewer,,You can know.,You can know.,,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,Aah. Okay. And eeh…yea. You didn’t exactly tell me how you can tell that? Is it-is there something that some features?,Aah. Okay. And eeh…yea. You didn’t exactly tell me how you can tell that? Is it-is there something that some features?,,,,,,,,
,,Fred,,Yea you see there are certain features that you-that are unique to each and every individual. Yea. Like you'll say and these features you can only know by maybe being close to that person=,Yea you see there are certain features that you-that are unique to each and every individual. Yea. Like you'll say and these features you can only know by maybe being close to that person=,,,,,,,,
,,Interviewer,,"Not just individually because we are talking of,","Not just individually because we are talking of,",,,,,,,,
,,Fred,,A region.[uncertain transcription],A region.[uncertain transcription],,,,,,,,
,,Interviewer,,"[uncertain transcription] Siaya, Kisumu, Bondo. Is-is it=","[uncertain transcription] Siaya, Kisumu, Bondo. Is-is it=",,,,,,,,
,,Fred,,Yea-yea-there are just-there are features-there are features that= ,Yea-yea-there are just-there are features-there are features that= ,,,,,,,,
,,Interviewer,,Example.,Example.,,,,,,,,
,,Fred,,"Eeh, you see maybe there are certain people-like they-they-they are fond of talk-of speaking quickly. Like let's say Luo.  See they're a certain group who that when they're speaking you find that the rate at which we pronounce words-that which they say they speak these words faster. So it's-it's common to a people of that particular region so when you just find that someone is saying things very fast, you know this one-if not that he's coming-if not from Siaya then maybe he has-<Swahili>kuna wakati alikuwa anaishi hapo</Swahili>. ","Eeh, you see maybe there are certain people-like they-they-they are fond of talk-of speaking quickly. Like let's say Luo.  See they're a certain group who that when they're speaking you find that the rate at which we pronounce words-that which they say they speak these words faster. So it's-it's common to a people of that particular region so when you just find that someone is saying things very fast, you know this one-if not that he's coming-if not from Siaya then maybe he has-<English>there was a time s/he was living there</English>. ",CS,Unmarked.,,,,,,
,,Interviewer,,<Swahili>Alikuwa anaishi</Swahili>=,<English>S/he was living</English>=,,,,,,,,
,,Fred,,"Yea he stayed there for sometime and maybe he was influence by the, the behavior and the way of speaking of that particular group. ","Yea he stayed there for sometime and maybe he was influence by the, the behavior and the way of speaking of that particular group. ",,,,,,,,
,,Interviewer,,"Ay okay. And other things apart from where somebody comes from, what other things can you tell from the way they are speaking?","Ay okay. And other things apart from where somebody comes from, what other things can you tell from the way they are speaking?",,,,,,,,
,,Fred,,Mm hmm. Other things apart from the way the area but can maybe tell you that this person is from this {from this}=,Mm hmm. Other things apart from the way the area but can maybe tell you that this person is from this {from this}=,,,,,,,,
,,Interviewer,,"{No} Let me put it this way, eehm…for example area. When you speak to somebody you have told me that you can tell this person is from a certain region. ","{No} Let me put it this way, eehm…for example area. When you speak to somebody you have told me that you can tell this person is from a certain region. ",,,,,,,,
,,Fred,,Okay.,Okay.,,,,,,,,
,,Interviewer,,"And not just within..eh-eh-Luoland. Even in other parts of the country cuz you mentioned Kikuyus they have this problem, sijui nani where they have this problem. So is it eeh..is it also possible to do that without seeing that person?","And not just within..eh-eh-Luoland. Even in other parts of the country cuz you mentioned Kikuyus they have this problem, sijui nani where they have this problem. So is it eeh..is it also possible to do that without seeing that person?",,,,,,,,
,,Fred,,Without seeing?,Without seeing?,,,,,,,,
,,Interviewer,,They are just talking in another room and you are not seeing them. You are not seeing them. But they are on radio cuz radio you don't see who is on the other side. Can you tell that this person is from a certain area?,They are just talking in another room and you are not seeing them. You are not seeing them. But they are on radio cuz radio you don't see who is on the other side. Can you tell that this person is from a certain area?,,,,,,,,
,,Fred,,"Yea now that-that now depends on the way that person speaks. And if you're familiar maybe-you see you must know. For you to identify, you must know the characteristics that-the-the-and the way-or a way in which people [uncertain transcription] speaks.  Like uuh, <Swahili>tuseme watu wako kwa radio wanazungumza. Kisha</Swahili> maybe the people that-the person that is being interviewed. They co-there's specific ways in which you-you hear this person talk.  You think you can now identify or you can mm-<Swahili label='low expertise'>yani unaweza ukalinganisha jinsi ambavyo huyo mtu anaongea na jinsi watu wengine wa eneo fulani kuongea [uncertain transcription] ukasema</Swahili label='low expertise'>=","Yea now that-that now depends on the way that person speaks. And if you're familiar maybe-you see you must know. For you to identify, you must know the characteristics that-the-the-and the way-or a way in which people [uncertain transcription] speaks.  Like uuh, <English>let's say people are on the radio speaking. Then</English> maybe the people that-the person that is being interviewed. They co-there's specific ways in which you-you hear this person talk.  You think you can now identify or you can mm-<English>I mean you can compare how that person speaks and the way other people of a certain area speak [uncertain transcription] and you say</English>=",CS,SM: Low expertise,,,,,,
,,Interviewer,,<Swahili>Na vitu kama tabaka mbalimbali. Tabaka</Swahili>=,<English>And things like various social classes. Social class</English>=,,,,,,,,
,,Fred,,<Swahili>Katikaa:</Swahili>,<English>Within</English>,,,,,,,,
,,Interviewer,,You know <Swahili label='emphasis'>tabaka</Swahili label='emphasis'>?,You know <English>social class</English>?,CS,SM: Emphasis.,,,,,,
,,Fred,,"Yea, the:-the classes made with people?","Yea, the:-the classes made with people?",,,,,,,,
,,Interviewer,,"Yea, can you tell-can you tell somebody is from this=","Yea, can you tell-can you tell somebody is from this=",,,,,,,,
,,Fred,,Yes they'll know=,Yes they'll know=,,,,,,,,
,,Interviewer,,Certain class?  Based on the way they speak how is that possible?,Certain class?  Based on the way they speak how is that possible?,,,,,,,,
,,Fred,,"Like you see the rich people? They:-you see they rarely speak. <Swahili>Kwa</Swahili>-like from the area I come from these people who are rich <Swahili>hawaongeagi sana</Swahili>. Maybe just say hi. Eh, like maybe in an interview a person is [uncertain transcription]=","Like you see the rich people? They:-you see they rarely speak. <English>For</English>-like from the area I come from these people who are rich <English>they don't usually speak a lot</English>. Maybe just say hi. Eh, like maybe in an interview a person is [uncertain transcription]=",CS,Unmarked.,,,,,,
,,Interviewer,,How about those people from [uncertain transcription]? (Fred laughs),How about those people from [uncertain transcription]? (Fred laughs),,,,,,,,
,,Fred,,Maybe those ones speak but you see maybe these rich people-anyway I don't know what is wrong with them but <Swahili>hawapendagi kuongea</Swahili> so maybe <Swahili>unaona mtu ana-anaulizwa swali kisha unase-una-</Swahili>maybe=,Maybe those ones speak but you see maybe these rich people-anyway I don't know what is wrong with them but <English>they usually don't like to talk</English> so maybe <English>you see a person is-s/he is asked a question then you say-you-</English>maybe=,CS,Unmarked.,,,,,,
,,Interviewer,,Very brief.,Very brief.,,,,,,,,
,,Fred,,"Yea he gives very brief answers, as if=","Yea he gives very brief answers, as if=",,,,,,,,
,,Interviewer,,But these other people?,But these other people?,,,,,,,,
,,Fred,,Maybe ah-the-the-the=,Maybe ah-the-the-the=,,,,,,,,
,,Interviewer,,Poorer people.,Poorer people.,,,,,,,,
,,Fred,,"They expand, they add certain words like-see it's as if a person is answering an interview and the interview is maybe questionnaire and the question is closed question that ""how many children do you have?"", keeps quiet. ","They expand, they add certain words like-see it's as if a person is answering an interview and the interview is maybe questionnaire and the question is closed question that ""how many children do you have?"", keeps quiet. ",,,,,,,,
,,Interviewer,,That is what kind of person?,That is what kind of person?,,,,,,,,
,,Fred,,Those are the rich people.,Those are the rich people.,,,,,,,,
,,Interviewer,,Mm hmm. ,Mm hmm. ,,,,,,,,
,,Fred,,They are those people that they are=,They are those people that they are=,,,,,,,,
,,Interviewer,,And these others what do they say?,And these others what do they say?,,,,,,,,
,,Fred,,"They also-these ones they give so many information that you know one there is a time that this another one died, but at first I had seven but now being that they had died there are now six.","They also-these ones they give so many information that you know one there is a time that this another one died, but at first I had seven but now being that they had died there are now six.",,,,,,,,
,,Interviewer,,Always a lot of stories.,Always a lot of stories.,,,,,,,,
,,Fred,,"Yea. And also the politicians. See they speak a lot. Yea, the politicians they like-they are people who-<Swahili>wanaongea mengi sana</Swahili>.","Yea. And also the politicians. See they speak a lot. Yea, the politicians they like-they are people who-<English>they talk a lot</English>.",CS,Unmarked.,,,,,,
,,Interviewer,,Mmm.,Mmm.,,,,,,,,
,,Fred,,[uncertain transcription] ,[uncertain transcription] ,,,,,,,,
,,Interviewer,,So in politics=,So in politics=,,,,,,,,
,,Fred,,In politics the power is just to convince. They want to convince and you see you cannot just convince a person by a single word. So that's why=,In politics the power is just to convince. They want to convince and you see you cannot just convince a person by a single word. So that's why=,,,,,,,,
,,Interviewer,,To talk a lot=,To talk a lot=,,,,,,,,
,,Fred,,<Swahili>Lazima uongeengee mengi sana.</Swahili>,<English>You must speak of a lot</English>,,,,,,,,
,,Interviewer,,So politicians you can identify them by=,So politicians you can identify them by=,,,,,,,,
,,Fred,00:21:59mins,"<Swahili>Venye wanaongea</Swahili>, you see they have that command of language. You find that when someone speaks you want to listen. You want to hear ""eh, what next is he going to say?"" And that is most qualities of these politicians. ","<English>The way they speak</English>, you see they have that command of language. You find that when someone speaks you want to listen. You want to hear ""eh, what next is he going to say?"" And that is most qualities of these politicians. ",CS,Unmarked.,,,,,,
,,Interviewer,,But are all of them like that? Because they are some that <Swahili>nikisikiliza</Swahili> I get bored and they=,But are all of them like that? Because they are some that <English>when I listen</English> I get bored and they=,CS,Unmarked.,,,,,,
,,Fred,,Those are the ones that maybe there's something that took them into politics=,Those are the ones that maybe there's something that took them into politics=,,,,,,,,
,,Interviewer,,The passion.,The passion.,,,,,,,,
,,Fred,,"Yea, it's not their passion maybe they have their own motives.","Yea, it's not their passion maybe they have their own motives.",,,,,,,,
,Ascertaining Level of Education by Use of Language,Interviewer,00:22:21mins,How about things like education level of some people?,How about things like education level of some people?,,,,,,,,
,,Fred,,The level of education of a [uncertain transcription],The level of education of a [uncertain transcription],,,,,,,,
,,Interviewer,,And the language they use to tell you that this person is=,And the language they use to tell you that this person is=,,,,,,,,
,,Fred,,Yes. ,Yes. ,,,,,,,,
,,Interviewer,,Of a certain level of education?,Of a certain level of education?,,,,,,,,
,,Fred,,"Yea, the language that a person-yea that can tell you=","Yea, the language that a person-yea that can tell you=",,,,,,,,
,,Interviewer,,Even-even Dholuo.,Even-even Dholuo.,,,,,,,,
,,Fred,,"Exactly. But Dholuo-not Dholuo but maybe these other languages that I've learnt in school they can help you know that this person maybe reached this [uncertain transcription] this-maybe this-reached this level.  Like you see, when we finish-when we cleared our exams, that is in Form Four. We used to go to meetings and I wa-used to-I was the secretary so I used to record mi-minutes. Then that our group we had people. So many different kind of people and being that <Swahili>ndio nilikuwa nimetoka shule</Swahili> I was just back to the village <Swahili label='distance'>hawa watu sikuwa nawajua sana. Sijui alisomaga hadi wapi</Swahili label='distance'>. Then now during our meetings when that someone says something that-I-I-want-want to spoke something here"". So you see I used to wonder <Swahili>ati</Swahili> ""you want to spoke something"" wha-what is the problem with this English that had to spoke something. (they both laugh).","Exactly. But Dholuo-not Dholuo but maybe these other languages that I've learnt in school they can help you know that this person maybe reached this [uncertain transcription] this-maybe this-reached this level.  Like you see, when we finish-when we cleared our exams, that is in Form Four. We used to go to meetings and I wa-used to-I was the secretary so I used to record mi-minutes. Then that our group we had people. So many different kind of people and being that <English>I had just left school</English> I was just back to the village <English>these people I didn't know them very well. I don't know to what grade s/he studied</English>. Then now during our meetings when that someone says something that-""I-I-want-want to spoke something here"". So you see I used to wonder <English>that</English> ""you want to spoke something"" wha-what is the problem with this English that had to spoke something. (they both laugh).",CS,SM: Distance.,,,,,,
,,Interviewer,,So you notice that this person=,So you notice that this person=,,,,,,,,
,,Fred,,"Then I went and asked my man that <Swahili label='quotation'>""yule mtu tunakuaga naye kwa kikundi chetu. Kisha</Swahili label='quotation'> and everytime he just says he wants to spoke something. Please can I spoke. <Swahili>Alifikaga class ngapi</Swahili>? Then my man told me that one left in Class Four. So I said okay, then it's alright with him.","Then I went and asked my man that <English>""that guy we are usually with in our group. Then</English> and everytime he just says he wants to spoke something. Please can I spoke. <English>To what grade did he reach</English>? Then my man told me that one left in Class Four. So I said okay, then it's alright with him.",CS,SM: Quotation.,,,,,,
,,Interviewer,,(laughing) You don't expect-you don't expect somebody of Form Four or university to say that.,(laughing) You don't expect-you don't expect somebody of Form Four or university to say that.,,,,,,,,
,,Fred,,Unless they reached there through the backdoor. Back-the person who just reached there in the normal way,Unless they reached there through the backdoor. Back-the person who just reached there in the normal way,,,,,,,,
,,Interviewer,,The normal way,The normal way,,,,,,,,
,,Fred,,Would not say that.,Would not say that.,,,,,,,,
,,Interviewer,,Eh which is the normal way?,Eh which is the normal way?,,,,,,,,
,,Fred,,The normal way is that maybe ,The normal way is that maybe ,,,,,,,,
,,Interviewer,,You pass your exams.,You pass your exams.,,,,,,,,
,,Fred,,"You pass your exams and go. [uncertain transcription] <Swahili>tu</Swahili> maybe <Swahili>mtu-mtu anaanguka, anaambiwa</Swahili> you have to repeat <Swahili>kisha mtu anakataa hapana</Swahili>. If you're told you say [uncertain transcription]=","You pass your exams and go. [uncertain transcription] <English>Just</English> maybe <English>a person fails, s/he is told</English> you have to repeat <English>the the person refuses , no</English>. If you're told you say [uncertain transcription]=",CS,Unmarked.,,,,,,
,Ascertaining Political Affiliation Based on Language Use,Interviewer,0:23:57,The political affiliation <Swahili>ya mtu</Swahili>. ,The political affiliation <English>of a person</English>.,CS,Unmarked.,Interviewer abruptly cuts Fred off midsentence and switches topics. ,,,,,
,,Fred,,Mmm.,Mmm.,,,,,,,,
,,Interviewer,,"Can you tell like this person, the way they are speaking or the way they are talking this person must be from this political party. This other one from the other political party, is it possible?","Can you tell like this person, the way they are speaking or the way they are talking this person must be from this political party. This other one from the other political party, is it possible?",,,,,,,,
,,Fred,,"Maybe now when you're looking at whatever the agenda or maybe whatever that party stands for. Yea, let's say like uhh-let's say a party like TNA, stands for maybe free laptops to the-eeh-<Swahili>watu-wanafunzi wa shule.  Wale wa</Swahili> Class One. So see if I [uncertain transcription]=","Maybe now when you're looking at whatever the agenda or maybe whatever that party stands for. Yea, let's say like uhh-let's say a party like TNA, stands for maybe free laptops to the-eeh-<English>people-students at school. Those of</English> Class One. So see if I [uncertain transcription]=",CS,Unmarked.,,,,,,
,,Interviewer,,So it will only be related to,So it will only be related to,,,,,,,,
,,Fred,,Yea maybe,Yea maybe,,,,,,,,
,,Interviewer,,The way they are articulating the-the:-nini,The way they are articulating the-the:-nini,,,,,,,,
,,Fred,,The manifesto <Swahili>hivyo</Swahili> [uncertain transcription]=,The manifesto <English>that way</English> [uncertain transcription]=,CS,Unmarked.,,,,,,
,,Interviewer,,What if it's a new [uncertain transcription-noise in background] we are discussing something neutral abou-like vision 2013,What if it's a new [uncertain transcription-noise in background] we are discussing something neutral abou-like vision 2013,,,,,,,,
,,Fred,,Mm hm. ,Mm hm. ,,,,,,,,
,,Interviewer,,And then we have two politicians speaking. Can you tell that this one is CORD? ,And then we have two politicians speaking. Can you tell that this one is CORD? ,,,,,,,,
,,Fred,,Yea according to=,Yea according to=,,,,,,,,
,,Interviewer,,And this one is from JUBILEE?,And this one is from JUBILEE?,,,,,,,,
,,Fred,,"Yea according to-for-for-for what-you see, whatever that person says can-can tell you because and just like maybe we had said manifesto. You see these people whenever they are discussing something they always want maybe the-to write what they stand for.","Yea according to-for-for-for what-you see, whatever that person says can-can tell you because and just like maybe we had said manifesto. You see these people whenever they are discussing something they always want maybe the-to write what they stand for.",,,,,,,,
,,Interviewer,,[uncertain transcription],[uncertain transcription],,,,,,,,
