Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
,,Alvin,00:20:00mins,"Now, I do that for-for one reason is to: maybe please that person.  I want to have the attention of that person as he communicates. Cuz probably if somebody starts speaking in Sheng and then I bring in Swahili, this person might see me boring-see a-like maybe a boring guy and then shy-walks away. And uh, another-another thing-so maybe that is to please that particular person.  Another thing is that I want to-maybe the information I wanted to relay to be understood, better.  Because for instance, if maybe: I wanted to say something funny in Sheng, you know if you say the English equivalence would not sound funny=","Now, I do that for-for one reason is to: maybe please that person.  I want to have the attention of that person as he communicates. Cuz probably if somebody starts speaking in Sheng and then I bring in Swahili, this person might see me boring-see a-like maybe a boring guy and then shy-walks away. And uh, another-another thing-so maybe that is to please that particular person.  Another thing is that I want to-maybe the information I wanted to relay to be understood, better.  Because for instance, if maybe: I wanted to say something funny in Sheng, you know if you say the English equivalence would not sound funny=",,
,,Interviewer,,Would just be plain,Would just be plain,,
,,Alvin,,"Plain.  But if I bring Sheng, it would sound a lot of-I mean it would sound uh- sound funny and maybe be understood better.   Bring the- create that humor. ","Plain.  But if I bring Sheng, it would sound a lot of-I mean it would sound uh- sound funny and maybe be understood better.   Bring the- create that humor. ",,
,,Interviewer,,"And talking of mixing of languages, which languages do you find yourself mixing the most?","And talking of mixing of languages, which languages do you find yourself mixing the most?",,
,,Alvin,,Mostly it's English and Swahili.  Basically those two. English and Swahili.,Mostly it's English and Swahili.  Basically those two. English and Swahili.,,
,,Interviewer,,English and Swahili. ,English and Swahili. ,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Okay. And Sheng?,Okay. And Sheng?,,
,,Alvin,,"Now Sheng, I think=","Now Sheng, I think=",,
,,Interviewer,,Is it a mixture of English or Swahili?,Is it a mixture of English or Swahili?,,
,,Alvin,,"Now Sheng, ","Now Sheng, ",,
,,Interviewer,,Not only English or Swahili or the other languages.,Not only English or Swahili or the other languages.,,
,,Alvin,,"Or the others.  Because Sheng-but-the majority of uuh-majority. Basically, what forms majorly the Sheng terminologies are-the bulk of it is Swahili, and English in as much as there are other-I mean uh-there are languages-I mean there are terminologies from-take-that are borrowed from other languages. Ya- from-for instance the Luo, their terminology is borrowed. Aaah, I mean and the Kikuyu.  ","Or the others.  Because Sheng-but-the majority of uuh-majority. Basically, what forms majorly the Sheng terminologies are-the bulk of it is Swahili, and English in as much as there are other-I mean uh-there are languages-I mean there are terminologies from-take-that are borrowed from other languages. Ya- from-for instance the Luo, their terminology is borrowed. Aaah, I mean and the Kikuyu.  ",,
,,Interviewer,,"Okay. Here in school, do you notice that you speak differently from other students? Maybe?","Okay. Here in school, do you notice that you speak differently from other students? Maybe?",,
,,Alvin,00:22:00mins,"Yea, I do notice that.  Because uuh, for one. At times when we-maybe I communicate to somebody. I do communicate I try so much because I want to,<Swahili label='emphasis'>niwe na ule uzoefu</Swahili label='emphasis'> I want to be used to speaking Swahili because I am a Swahili expert.","Yea, I do notice that.  Because uuh, for one. At times when we-maybe I communicate to somebody. I do communicate I try so much because I want to,<English>to have that familiarity</English>  I want to be used to speaking Swahili because I am a Swahili expert.",CS,SM: Emphasis. OLF: Uses Swahili to emphacize his point that he has familiarity/is accustomed to speaking in Swahili.
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"So you find that mostly I do speak in plain so-uhh, I mean standard Swahili, <Swahili label='emphasis'>Kiswahili sanifu.  Kiswahili sanifu</Swahili label='emphasis'>. So anytime when maybe I walk around, or I'm in the room, when I see something I try picturing ""How do we call this in Swahili?  How do we call this in Swahili?""  So even people do know, that for instance I [uncertain transcription] a group who take translation.  Somebody wants uuh-something to-maybe something that is in Swahili, you'll find he'll come to you ""How do you call this in Swahili?""  So they notice that these people talk differently.  ","So you find that mostly I do speak in plain so-uhh, I mean standard Swahili, <English>standard Swahili. Standard Swahili</English>. So anytime when maybe I walk around, or I'm in the room, when I see something I try picturing ""How do we call this in Swahili?  How do we call this in Swahili?""  So even people do know, that for instance I [uncertain transcription] a group who take translation.  Somebody wants uuh-something to-maybe something that is in Swahili, you'll find he'll come to you ""How do you call this in Swahili?""  So they notice that these people talk differently.  ",CS,SM: Emphasis.
,,Interviewer,,So for your case you talk Swahili differently.,So for your case you talk Swahili differently.,,
,,Alvin,,"I talk Swahili differently.  For instance yesterday I was in the library at around 8.  And then there was a lady who was doing some research.  And eeh she comes from the: School of Education. So she was uh- she studied Swahili because there are courses we share.  She takes Kiswahili and religion. So when we were there, I think she was doing something in the schemes of work, but in Swahili now.  So she came to me- she was asking some other group ""How do you call schemes of work in Kiswahili?"" ","I talk Swahili differently.  For instance yesterday I was in the library at around 8.  And then there was a lady who was doing some research.  And eeh she comes from the: School of Education. So she was uh- she studied Swahili because there are courses we share.  She takes Kiswahili and religion. So when we were there, I think she was doing something in the schemes of work, but in Swahili now.  So she came to me- she was asking some other group ""How do you call schemes of work in Kiswahili?"" ",,
,,Interviewer,,In Kiswahili.,In Kiswahili.,,
,,Alvin,,"So those people were there like <Swahili label='quotation'>""Ey! Hatujui""</Swahili label='quotation'>.  But she saw me and approached me <Swahili label='quotation'>akaniuliza ""Eh! Nimeshindwa kupata"" Nikamwambia</Swahili label='quotation'>  schemes of work is called <Swahili label='quotation'>maazimio ya kazi</Swahili label='quotation'>. ","So those people were there like <English>Ey! We don't know</English>.  But she saw me and approached me <English>she asked me""Eh! I am unable to get it"" I told her</English>  schemes of work is called <English>schemes of work</English>. ",CS,"SM: Quotation. Alvin is also showing High Expertise because judging from the way he said it and the interviewer's reaction, I imagine that this is not language that your average person who is not a Swahili major may know or use in regular conversation."
,,Interviewer,,<Swahili>Maazimio ya kazi</Swahili>. ,<English>Schemes of work</English>. ,,
,,Alvin,,<Swahili>Ya kazi</Swahili>.,<English>Of work</English>. ,,
,,Interviewer,,(Inaudible comment/joke/question by interviewer. Both giggle),(Inaudible comment/joke/question by interviewer. Both giggle),,
,,Alvin,,So I do speak differently.,So I do speak differently.,,
,,Interviewer,00:24:00mins,So you can also say that your Kiswahili group would speak a different form of Kiswahili from the rest of the students who can also speak Kiswahili. ,So you can also say that your Kiswahili group would speak a different form of Kiswahili from the rest of the students who can also speak Kiswahili. ,,
,,Alvin,,"Yes, definitely.  Because for one, maybe the terminologies uuh, we do use at times, differ.  And we try so much to-because we want to get used to- that is the main reason. You want to get used to it, and uuh-I mean communicate fairly well.  You could never know where you might land and you're a Swahili expert.  So we do speak-I mean the standard Kiswahili, which is very different from the rest who speak Swahili. ","Yes, definitely.  Because for one, maybe the terminologies uuh, we do use at times, differ.  And we try so much to-because we want to get used to- that is the main reason. You want to get used to it, and uuh-I mean communicate fairly well.  You could never know where you might land and you're a Swahili expert.  So we do speak-I mean the standard Kiswahili, which is very different from the rest who speak Swahili. ",,
,,Interviewer,,"Now when people from your area speak Swahili maybe, or any other language, can you notice ""these are people from my area?""","Now when people from your area speak Swahili maybe, or any other language, can you notice ""these are people from my area?""",,
,,Alvin,,Yes.,Yes.,,
,,Interviewer,,Maybe?,Maybe?,,
,,Alvin,,"I can notice that. Because you know, language is, mostly language is used as that social identity. There's a function of language social identity.  So people from, that is my tribe-for instance if they speak Swahili, the Swahili they speak is like uh, very broken. You'll just notice, this is a Luo. (Alvin sounds like he is smiling, interviewer giggles) Apart from that if they speak English, some of them who are maybe-Luos, because some people say Luos can speak Swahili, I mean English in two different ways. They can either speak it very well, fluently, or very poorly.  And that is they prolong-there is that-maybe if somebody maybe pronounces a word, he or she prolongs-prolongs a word. For instance uh, uuh, if maybe somebody wants to say ""teacher"".  You'll find the person saying 'teeacher'. You see so=","I can notice that. Because you know, language is, mostly language is used as that social identity. There's a function of language social identity.  So people from, that is my tribe-for instance if they speak Swahili, the Swahili they speak is like uh, very broken. You'll just notice, this is a Luo. (Alvin sounds like he is smiling, interviewer giggles) Apart from that if they speak English, some of them who are maybe-Luos, because some people say Luos can speak Swahili, I mean English in two different ways. They can either speak it very well, fluently, or very poorly.  And that is they prolong-there is that-maybe if somebody maybe pronounces a word, he or she prolongs-prolongs a word. For instance uh, uuh, if maybe somebody wants to say ""teacher"".  You'll find the person saying 'teeacher'. You see so=",,
,,Interviewer,,So it's in the way they pronounce.,So it's in the way they pronounce.,,
,,Alvin,,The way they pronounce.,The way they pronounce.,,
,,Interviewer,,How else?,How else?,,
,,Alvin,00:26:00mins,"Uuh, apart from that, Luos when they speak Swahil-I mean English, you're able to notice if-if uh- they're people maybe: some individuals at least have some-maybe they've gone to school, a little bit. They're learned. The English they speak is uh, uuh-like their accent is from-they try to:-their accent is a little bit refined.  So: it's refined in a way that uh-at times it's very hard to notice. But at times maybe somebody starts speaking and I'm able to see this is a Luo.  The way he speaks, he's a Luo. Yea.","Uuh, apart from that, Luos when they speak Swahil-I mean English, you're able to notice if-if uh- they're people maybe: some individuals at least have some-maybe they've gone to school, a little bit. They're learned. The English they speak is uh, uuh-like their accent is from-they try to:-their accent is a little bit refined.  So: it's refined in a way that uh-at times it's very hard to notice. But at times maybe somebody starts speaking and I'm able to see this is a Luo.  The way he speaks, he's a Luo. Yea.",,
,,Interviewer,,"Okay. Yea so, if somebody beyond this wall speaks and you overheard them talk, if somebody beyond this wall, that you cannot see, speak and, can you tell what kind of background that person has had. ","Okay. Yea so, if somebody beyond this wall speaks and you overheard them talk, if somebody beyond this wall, that you cannot see, speak and, can you tell what kind of background that person has had. ",,
,,Alvin,00:28:00mins,"Definitely.  I'm able to tell. Because uuh, just like I said before, language can be used as social identity, or maybe you can use them to trace and identify the ethnic background from which the person is speaking.  For instance if you look at the Luya, if a Luya speaks Swahili, you are able to tell. Even when-even if somebody now-let's say somebody is speaking over the phone or the radio. You don't see them at all, you are able to tell 'this is a Luya'.  You are able to tell 'this is a Kalenjin'. You are able to tell that this guy is a Kikuyu, the way he speaks he's a Kikuyu.  The way this guy speaks Swahili he's a Luo. And then either he's a Kisi, you are able to tell this somebody from Modista. So I'm able to tell if somebody speaks, I'm able to tell.  However, there are situations, when you can't tell.  Cuz that person-you might try so hard to classify this person, into their tribal setting, but it's very hard because their people speak-they never grew up in their-I mean their native land or where their-their forefathers are.  So such people,it's very hard. Somebody speaks and you'll not be able to tell.  If somebody asks you ""are you able to tell from which tribe this person comes from?"" it's really hard to tell with some people.   ","Definitely.  I'm able to tell. Because uuh, just like I said before, language can be used as social identity, or maybe you can use them to trace and identify the ethnic background from which the person is speaking.  For instance if you look at the Luya, if a Luya speaks Swahili, you are able to tell. Even when-even if somebody now-let's say somebody is speaking over the phone or the radio. You don't see them at all, you are able to tell 'this is a Luya'.  You are able to tell 'this is a Kalenjin'. You are able to tell that this guy is a Kikuyu, the way he speaks he's a Kikuyu.  The way this guy speaks Swahili he's a Luo. And then either he's a Kisi, you are able to tell this somebody from Modista. So I'm able to tell if somebody speaks, I'm able to tell.  However, there are situations, when you can't tell.  Cuz that person-you might try so hard to classify this person, into their tribal setting, but it's very hard becuase their people speak-they never grew up in their-I mean their native land or where their-their forefathers are.  So such people,it's very hard. Somebody speaks and you'll not be able to tell.  If somebody asks you ""are you able to tell from which tribe this person comes from?"" it's really hard to tell with some people.   ",,
,,Interviewer,,Hard to tell.,Hard to tell.,,
,,Alvin,,"But more often than not, you're able to tell.  ","But more often than not, you're able to tell.  ",,
,,Interviewer,,Mm hh. So it's all in- what makes umm these people so: obvious that they come from this ethnic community?,Mm hh. So it's all in- what makes umm these people so: obvious that they come from this ethnic community?,,
,,Alvin,,"Now, uh I think, uh when you look at, the language, uuh, the way these people speak, you're able to-the pronounciation-now for one, if you look at uh the: my-my-my Luo, the Luo vernacular.  You'll find if this person speaks in English, they'll tend to omit 'h', because the 'h' is not in the vowels there.  In the Luo vowels, we don't have 'h'.  So instead of maybe saying, somebody saying 'shilling', that person will say 'silling', because 'h' is not there. ","Now, uh I think, uh when you look at, the language, uuh, the way these people speak, you're able to-the pronounciation-now for one, if you look at uh the: my-my-my Luo, the Luo vernacular.  You'll find if this person speaks in English, they'll tend to omit 'h', because the 'h' is not in the vowels there.  In the Luo vowels, we don't have 'h'.  So instead of maybe saying, somebody saying 'shilling', that person will say 'silling', because 'h' is not there. ",,
,,Interviewer,,Is not there.,Is not there.,,
,,Alvin,00:30:00mins,"Again, if you look at the:, the Kisi.  If the Kisi speaks maybe:-, mm, they-they don't have 'r', the 'r'. So where 'l', 'r' is supposed to be there, they place 'l'.  For instance if they say maybe-uuh, if somebody is-for instance 'chakula', watasema 'chakura', chakura, simply because that 'l' is not there. Lala watasema rara. And you know, it's something that uh, maybe somebody doesn't want to speak but it's something that has been, it's taught.  It's unconscious.  You've learned it for quite some time, it's there in your conscious. So when you speak, even if you don't intend to, just things start coming out. Yea.","Again, if you look at the:, the Kisi.  If the Kisi speaks maybe:-, mm, they-they don't have 'r', the 'r'. So where 'l', 'r' is supposed to be there, they place 'l'.  For instance if they say maybe-uuh, if somebody is-for instance 'chakula', watasema 'chakura', chakura, simply because that 'l' is not there. Lala watasema rara. And you know, it's something that uh, maybe somebody doesn't want to speak but it's something that has been, it's taught.  It's unconscious.  You've learned it for quite some time, it's there in your conscious. So when you speak, even if you don't intend to, just things start coming out. Yea.",,
,,Interviewer,,"Ok, now apart from the ethnic-the ethnic thing, now can you tell also the level of education they have had maybe, from the way they speak.","Ok, now apart from the ethnic-the ethnic thing, now can you tell also the level of education they have had maybe, from the way they speak.",,
,,Alvin,,"Yea, to some extent you're able to tell.  And uh-to-maybe to:-but at times, it's very hard because, there are people who maybe they're learned they have, maybe their undergraduate degree.   But still their accent has not changed.  So when that person speaks Swahili, it's the same as that person's same accent.  Because here you will not talk accents maybe in the level of education when you go to school, you're not taught how to pronounce.  You're not taught maybe how to change.  You're only taught maybe, you're taught maybe if it's morphology, English morphology you're taught English morphology.  So um the pronounciation, or how you use your language, that maybe you acquire over the time because you find that these languages somebody acquired this over a very long time when you are at home because maybe the level of education is only-you maybe go through it for only, for five years ten years. So when that is in-built in you, it's very hard to change.  And maybe do things differently.  Apart from that, uuh, and I've even witnessed this, some students especially the ones they don't take maybe the language courses, when he speaks Swahili or English, that is when you'll find them excusing themselves ""I'm studying engineering"" (laughter between Alvin and interviewer) ""I don't understand English"". And you'll find most of them use Sheng.  Especially those who take courses that are different from-those who come from School of Business, you'll find them telling you <Swahili label='quotation'>""Um, mimi sisomei lugha""</Swahili label='quotation'>","Yea, to some extent you're able to tell.  And uh-to-maybe to:-but at times, it's very hard because, there are people who maybe they're learned they have, maybe their undergraduate degree.   But still their accent has not changed.  So when that person speaks Swahili, it's the same as that person's same accent.  Because here you will not talk accents maybe in the level of education when you go to school, you're not taught how to pronounce.  You're not taught maybe how to change.  You're only taught maybe, you're taught maybe if it's morphology, English morphology you're taught English morphology.  So um the pronounciation, or how you use your language, that maybe you acquire over the time becuase you find that these languages somebody acquired this over a very long time when you are at home because maybe the level of education is only-you maybe go through it for only, for five years ten years. So when that is in-built in you, it's very hard to change.  And maybe do things differently.  Apart from that, uuh, and I've even witnessed this, some students especially the ones they don't take maybe the language courses, when he speaks Swahili or English, that is when you'll find them excusing themselves ""I'm studying engineering"" (laughter between Alvin and interviewer) ""I don't understand English"". And you'll find most of them use Sheng.  Especially those who take courses that are different from-those who come from School of Business, you'll find them telling you <English>""Um, I don't study languages</English>",CS,SM: Quotation
,,Interviewer,00:32:00mins,So they want to avoid using the standard?,So they want to avoid using the standard?,,
,,Alvin,,"The standard. And they have got excuses that are very readily available.  They tell you <Swahili label='quotation'>""Mimi</Swahili> label='quotation', I'm not a language expert. Mine is I want to go to the bank. And bank I'll only deal with money I'll not be communicating, I'll not talk to people.""  The same to those who take engineering.  So you know in such a situation it's very hard to tell. Cuz somebody when the very very Sheng that person used when he had not may have acquired education is the same. In as much as that person has now matured up.   ","The standard. And they have got excuses that are very readily available.  They tell you <English>I</English>, I'm not a language expert. Mine is I want to go to the bank. And bank I'll only deal with money I'll not be communicating, I'll not talk to people.""  The same to those who take engineering.  So you know in such a situation it's very hard to tell. Cuz somebody when the very very Sheng that person used when he had not may have acquired education is the same. In as much as that person has now matured up.   ",CS,SM: Quotation
,,Interviewer,,"So you're saying, the kind of English that person speaks, would be the same English any other person out there, who has not gone to maybe any school but has just learned English from speaking?","So you're saying, the kind of English that person speaks, would be the same English any other person out there, who has not gone to maybe any school but has just learned English from speaking?",,
,,Alvin,,"Mm, no. What I'm saying, in other-they'll change because some things come naturally.  But the English will differ. The English that person uses would be different  and this person maybe somebody speaks you're able to tell, at least this and this person went through some school setting. So you're able to tell that.   ","Mm, no. What I'm saying, in other-they'll change because some things come naturally.  But the English will differ. The English that person uses would be different  and this person maybe somebody speaks you're able to tell, at least this and this person went through some school setting. So you're able to tell that.   ",,
,,Interviewer,,"Now out there in the society, when somebody speaks maybe English or Kiswahili can you tell which position in the society? Which class maybe?","Now out there in the society, when somebody speaks maybe English or Kiswahili can you tell which position in the society? Which class maybe?",,
,,Alvin,,"Umm, when some people I think you're able to tell-because one, uuh- especially if you look at uuh, maybe somebody with uuh, maybe he has studied. He has maybe a doctorate.  He has studied and like he's a professor or a doctor, so when these people speak, you're able to tell that this person, uh, the way he speaks, and uh-the way he speaks he's uh- maybe this guy is learned and he's like uh-in the society-this society holds that person with a lot of esteem. Yea. And they-it's regarded highly.  ","Umm, when some people I think you're able to tell-because one, uuh- especially if you look at uuh, maybe somebody with uuh, maybe he has studied. He has maybe a doctorate.  He has studied and like he's a professor or a doctor, so when these people speak, you're able to tell that this person, uh, the way he speaks, and uh-the way he speaks he's uh- maybe this guy is learned and he's like uh-in the society-this society holds that person with a lot of esteem. Yea. And they-it's regarded highly.  ",,
,,Interviewer,00:34:00mins,So he'll actually choose his words?,So he'll actually choose his words?,,
,,Alvin,,"He chooses his words.  However, at some particular point that person-you'll have to-because for instance if maybe you're a doctor, or a professor, maybe lecturing English, you know the English he'll be using at the lecture halls is not the same English you go home and then you're with the family members and you're with the same language your English. Or you get back at home or maybe a setting that maybe you get back home now, that a group that maybe you-where not everybody is learned, so such gatherings these people will not want to look like-There are people who never-maybe dropped out, of Form One [uncertain transcription] and then you are there with fluent English.  So I think it depends.","He chooses his words.  However, at some particular point that person-you'll have to-because for instance if maybe you're a doctor, or a professor, maybe lecturing English, you know the English he'll be using at the lecture halls is not the same English you go home and then you're with the family members and you're with the same language your English. Or you get back at home or maybe a setting that maybe you get back home now, that a group that maybe you-where not everybody is learned, so such gatherings these people will not want to look like-There are people who never-maybe dropped out, of Form One [uncertain transcription] and then you are there with fluent English.  So I think it depends.",,
,,Interviewer,,So somebody would tone down depending on the setting=,So somebody would tone down depending on the setting=,,
,,Alvin,,The setting.,The setting.,,
,,Interviewer,,And the people he's talking to.,And the people he's talking to.,,
,,Alvin,,Yea. ,Yea. ,,
,,Interviewer,,"Again, if you overheard maybe somebody speaking, and you're not seeing that person, can you tell what kind of political affiliation?","Again, if you overheard maybe somebody speaking, and you're not seeing that person, can you tell what kind of political affiliation?",,
,,Alvin,,"Mm, yea you-you can be able to tell-whoever-I mean uh-whichever political divide this person belongs to.  Because definitely, if this person talks you'll find him maybe criticizing some particular person, or maybe praising the other person. ","Mm, yea you-you can be able to tell-whoever-I mean uh-whichever political divide this person belongs to.  Because definitely, if this person talks you'll find him maybe criticizing some particular person, or maybe praising the other person. ",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"For instance if we:-you look at right now, you'll find people criticizing the budget that was just read the other day. Saying ""Ah! These guys are imposing a lot of-they're going to impose a lot of tax on us. We will never wanted-this is why I never wanted this guy. I knew it from the very beginning that's why I didn't want to vote him"" So you're able to tell. Some people-you'll find some people saying ""You know, in as much as my-this guy lost, he's still my hero. So and so is still my hero, even if-whether he lost, I still love him and he's my president."" So you know, when that person speaks, you're able to tell which-which I mean-","For instance if we:-you look at right now, you'll find people criticizing the budget that was just read the other day. Saying ""Ah! These guys are imposing a lot of-they're going to impose a lot of tax on us. We will never wanted-this is why I never wanted this guy. I knew it from the very beginning that's why I didn't want to vote him"" So you're able to tell. Some people-you'll find some people saying ""You know, in as much as my-this guy lost, he's still my hero. So and so is still my hero, even if-whether he lost, I still love him and he's my president."" So you know, when that person speaks, you're able to tell which-which I mean-",,
,,Interviewer,00:36:13mins,Which political party. ,Which political party. ,,
,,Alvin,,Party.,Party.,,
,,Interviewer,,Or their personality.,Or their personality.,,
,,Alvin,,"Personality. And then, another thing is that uh, half of these people tend to maybe judge wrongly.  ","Personality. And then, another thing is that uh, half of these people tend to maybe judge wrongly.  ",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"Because for instance, I might be-I hear somebody whose talking, maybe talking Kikuyu. And then I just judge that because most of our political parties are ethnic based in Kenya.","Because for instance, I might be-I hear somebody whose talking, maybe talking Kikuyu. And then I just judge that because most of our political parties are ethnic based in Kenya.",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"If you find ah, a Luo, definitely a Luo would want to belong to CORD.  Most Luos would want to belong to CORD. So when I hear somebody speaking Luo I'll know ""Ah! This is who comes from CORD.""  If so I hear this is a Kikuyu, yea I'll tend to think-and I think that is being so stereotypic. You'll think that this guy since he comes from central, he must be: belonging to Jubilee, TNA, which I think is bad because not everybody who is in Nyanza belongs to CORD. Not everybody who is in maybe aah Rift Valley belongs to URP. Not everybody who is westerd comes from UDF.  So at times in as much as we are able to tell, but we end up making-at times we do make wrong judgements. ","If you find ah, a Luo, definitely a Luo would want to belong to CORD.  Most Luos would want to belong to CORD. So when I hear somebody speaking Luo I'll know ""Ah! This is who comes from CORD.""  If so I hear this is a Kikuyu, yea I'll tend to think-and I think that is being so stereotypic. You'll think that this guy since he comes from central, he must be: belonging to Jubilee, TNA, which I think is bad because not everybody who is in Nyanza belongs to CORD. Not everybody who is in maybe aah Rift Valley belongs to URP. Not everybody who is westerd comes from UDF.  So at times in as much as we are able to tell, but we end up making-at times we do make wrong judgements. ",,
,,Interviewer,,Wrong judgements.,Wrong judgements.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Given the kind of language that you are- you speak may not tell, the kind of political-","Given the kind of language that you are- you speak may not tell, the kind of political-",,
,,Alvin,,"Yea, at times it cannot tell.  ","Yea, at times it cannot tell.  ",,
,,Interviewer,,But what you say?,But what you say?,,
,,Alvin,,What you say?,What you say?,,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,Tells.,Tells.,,
,,Interviewer,,Do you ever find yourself speaking different languages to different people?,Do you ever find yourself speaking different languages to different people?,,
,,Alvin,,"Yes, I do speak different languages to different people. Because for instance uuh, the language I'll speak, use to speak to: the maybe the women or the Mama Mboga, those who sell vegetables there, I will not get to the market where they sell vegetables and then start speaking in English, or in fluent Swahili. It would not make sense.   ","Yes, I do speak different languages to different people. Because for instance uuh, the language I'll speak, use to speak to: the maybe the women or the Mama Mboga, those who sell vegetables there, I will not get to the market where they sell vegetables and then start speaking in English, or in fluent Swahili. It would not make sense.   ",,
,,Alvin,00:38:08mins,"So I'll have to go use the language they-simple Swahili which they understand. <Swahili>""Mama, mboga unauza pesa ngapi?""</Swahili>, like that. Because if I go there ""How much are you selling these tomatoes?"", even people who are there will just like loo-look at you and really wonder. So again, if maybe they're <Sheng>boda boda</Sheng> people there. It's again uh, it would be-yea I think that person would really wonder.  This is somebody who has-he sees you are maybe somebody who is in Kenya-maybe-you understand Swahili, if you live in Kenya, you know Swahili.  So I'll definitely speak Swahili with them.  If uh, apart from that, the language I'll again use, when uh, I address my peers, ","So I'll have to go use the language they-simple Swahili which they understand. <English>Mama, how much are you selling the vegetables for?</English>, like that. Because if I go there ""How much are you selling these tomatoes?"", even people who are there will just like loo-look at you and really wonder. So again, if maybe they're <English>motorcycle taxi</English> people there. It's again uh, it would be-yea I think that person would really wonder.  This is somebody who has-he sees you are maybe somebody who is in Kenya-maybe-you understand Swahili, if you live in Kenya, you know Swahili.  So I'll definitely speak Swahili with them.  If uh, apart from that, the language I'll again use, when uh, I address my peers, ",CS,
,,Interviewer,,Your peers.,Your peers.,,
,,Alvin,,"Mostly most of them is Sheng.  Because uh, when you converse and then you're like purely English, purely Swahili, it again-it doesn't uuh-I mean it's not fun.  You don't get that fun. But when you're there you're in English, at times you speak Swahili, I mean Sheng.  You find the conversation enjoyable, and very interesting.","Mostly most of them is Sheng.  Because uh, when you converse and then you're like purely English, purely Swahili, it again-it doesn't uuh-I mean it's not fun.  You don't get that fun. But when you're there you're in English, at times you speak Swahili, I mean Sheng.  You find the conversation enjoyable, and very interesting.",,
,,Alvin,,"And uh-another uuh-again, if for instance maybe I want uh, I've gone to see the dean of students, or the DVC, and then I'm there and I start speaking Sheng, it will sound so bad. So when I get to such offices where maybe I want help, I'll have to use the offical languages.  And mostly, the official languages now-in as much as Swahili is an official language, I don't think-it has that status but it has not been implemented fully.  Because, if you approach somebody in an office, and then due to the-just because Kiswahili is uh, an official language, it's even there in the constitution, and then you're like there you start speaking with him Swahili he'll ask you ""Hey, can you speak English?"".  People have not really-I mean taken that.  But I'll find myself using English mostly.  Yea. ","And uh-another uuh-again, if for instance maybe I want uh, I've gone to see the dean of students, or the DVC, and then I'm there and I start speaking Sheng, it will sound so bad. So when I get to such offices where maybe I want help, I'll have to use the offical languages.  And mostly, the official languages now-in as much as Swahili is an official language, I don't think-it has that status but it has not been implemented fully.  Because, if you approach somebody in an office, and then due to the-just because Kiswahili is uh, an official language, it's even there in the constitution, and then you're like there you start speaking with him Swahili he'll ask you ""Hey, can you speak English?"".  People have not really-I mean taken that.  But I'll find myself using English mostly.  Yea. ",,
,,Interviewer,00:40:10mins,"Ok. Now you-you acknowledged the fact that you speak differently.  Now, have you ever tried to change, the way you talk? ","Ok. Now you-you acknowledged the fact that you speak differently.  Now, have you ever tried to change, the way you talk? ",,
,,Alvin,,"Mmh, I think I've uh, I have. I must ait that.  Because uh, the language I speak when I came here during-when I was in high school back then, is very different, from the way I speak right now.  My Swahili, when I was-I came uh-enrolled, when I registered, I came here my first year, it was very different.","Mmh, I think I've uh, I have. I must ait that.  Because uh, the language I speak when I came here during-when I was in high school back then, is very different, from the way I speak right now.  My Swahili, when I was-I came uh-enrolled, when I registered, I came here my first year, it was very different.",,
,,Interviewer,,Okay.,Okay.,,
,,Alvin,,"It was a very crooked one.  So over the time I've changed, and I've really wanted to speak and associate with uh, Swahili.","It was a very crooked one.  So over the time I've changed, and I've really wanted to speak and associate with uh, Swahili.",,
,,Interviewer,,What makes you to want to change? The way you speak. Or what motivates you to change that the way you speak?,What makes you to want to change? The way you speak. Or what motivates you to change that the way you speak?,,
,,Alvin,,"Now, what motivates me, one, is that uh I want to be identified as belonging to that particular group.  If I'm a Swahili student, I'll want to belong there fully.  And when I speak Kiswahili and you, maybe you hear you'll find some people saying ""Ai! That is somebody who takes BA, BA Kiswahili."" And uh, another thing is that uh, my English, apart from that. When you maybe address a congregation.  Another thing that would make me-would make all-would make somebody to change, is the society itself.  In that, society expects you-when this person has gone through this particular very rigourous education system or academic system, and then he still speaks like a class eight kid, people would want to-people would really wonder.  Because you-when you get there you want to now attain that level and status in the society.  When somebody hears you speak you like ""Eh! That guy. He went to university and uh, the way he speaks tells it all.""   So that, again the society itself I think places that pressure in you.","Now, what motivates me, one, is that uh I want to be identified as belonging to that particular group.  If I'm a Swahili student, I'll want to belong there fully.  And when I speak Kiswahili and you, maybe you hear you'll find some people saying ""Ai! That is somebody who takes BA, BA Kiswahili."" And uh, another thing is that uh, my English, apart from that. When you maybe address a congregation.  Another thing that would make me-would make all-would make somebody to change, is the society itself.  In that, society expects you-when this person has gone through this particular very rigourous education system or academic system, and then he still speaks like a class eight kid, people would want to-people would really wonder.  Because you-when you get there you want to now attain that level and status in the society.  When somebody hears you speak you like ""Eh! That guy. He went to university and uh, the way he speaks tells it all.""   So that, again the society itself I think places that pressure in you.",,
