Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments,
,,Amanda,,"Yes. We complained a lot because-okay in the beginning, actually it's those people who studied Kiswahili like ten to five years ago. They used to be taught Kiswahili in English.  But nowadays we are taught Kiswahili in Kiswahili.  I have five courses, pure Kiswahili. The titles are Swahili, you are taught in Kiswahili you are examined in Kiswahili. ","Yes. We complained a lot because-okay in the beginning, actually it's those people who studied Kiswahili like ten to five years ago. They used to be taught Kiswahili in English.  But nowadays we are taught Kiswahili in Kiswahili.  I have five courses, pure Kiswahili. The titles are Swahili, you are taught in Kiswahili you are examined in Kiswahili. ",,,
,,Interviewer,,What do you think was the reason back then? Does it mean Kiswahili back then didn't have vocabulary or didn't have experts to teach the [uncertain transcription]-,What do you think was the reason back then? Does it mean Kiswahili back then didn't have vocabulary or didn't have experts to teach the [uncertain transcription]-,,,
,,Amanda,,"No, the experts have always been there, since Kiswahili began.  But up to date, let alone the ten gone years. Up to date Kiswahili has not been fully accepted. Kiswahili is viewed as aah, a language of those who are not learned.  And that is why we were being discouraged that some of us ah Kiswahili students, we speak so much Kiswahili here then when we go to the uuh, <Sheng label='modernization'>shags</Sheng label='modernization'>, <Swahili>kwa akina</Swahili> grana, grandpa we speak in English to show them how learned we are (laughs).  That says one on one that if I speak Kiswahili to them, they won't see the sense of I'm being in uh-","No, the experts have always been there, since Kiswahili began.  But up to date, let alone the ten gone years. Up to date Kiswahili has not been fully accepted. Kiswahili is viewed as aah, a language of those who are not learned.  And that is why we were being discouraged that some of us ah Kiswahili students, we speak so much Kiswahili here then when we go to the uuh, <Sheng>shags</Sheng>, <English>to the</English> grana, grandpa we speak in English to show them how learned we are (laughs).  That says one on one that if I speak Kiswahili to them, they won't see the sense of I'm being in uh-",CS,SM: Modernization. ,
,,Interviewer,,In campus.,In campus.,,,
,,Amanda,,In campus.,In campus.,,,
,,Interviewer,,"Okay. And can you tell that somebody is from your area from the way he or she talks. Generally, not really from your area but a native language.  {If somebody talks you ""this one comes from""}-","Okay. And can you tell that somebody is from your area from the way he or she talks. Generally, not really from your area but a native language.  {If somebody talks you ""this one comes from""}-",,,
,,Amanda,,{A certain native language you mean?},{A certain native language you mean?},,,
,,Interviewer,,"""Mmh, this one comes from this area, this one""-can you be able to tell?","""Mmh, this one comes from this area, this one""-can you be able to tell?",,,
,,Amanda,,In some cases you can. ,In some cases you can. ,,,
,,Interviewer,,Using?,Using?,,,
,,Amanda,,"Eeh, the most prominent one I think is the accent.  Like if a Meru speaks I will tell you this is a Meru.  From the accent, and they have a habit of, eeh, <Swahili label='low expertise'>kudondosha</Swahili label='low expertise'>. How would we call that in English, like removing the 'nd'-the 'n' before the 'd', where it's supposed to be, and adding 'm' before the 'b'.  Like if you're <Swahili label='quotation'>""baba yangu""</Swahili label='quotation'> I can call you <Swahili label='quotation'>""mbamba yangu""</Swahili label='quotation'> (interviewer makes an amused sound in the background).  Now that one I'll know, definitely I can locate where that person comes from.","Eeh, the most prominent one I think is the accent.  Like if a Meru speaks I will tell you this is a Meru.  From the accent, and they have a habit of, eeh, <English>dropping</English>. How would we call that in English, like removing the 'nd'-the 'n' before the 'd', where it's supposed to be, and adding 'm' before the 'b'.  Like if you're <English>""my father""</English> I can call you ""mbamba yangu"" (interviewer makes an amused sound in the background).  Now that one I'll know, definitely I can locate where that person comes from.",CS,SM: Low expertise and quotation. OLF: She used the Swahili word because she didn’t know how to express that phenomenon in English.,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,00:19:15mins,"When you: look at people like uuh, those who come from the Luo land, the accent is very sharp. If uuh, the Kikuyus.  So in some cases you can tell especially because of the accent.","When you: look at people like uuh, those who come from the Luo land, the accent is very sharp. If uuh, the Kikuyus.  So in some cases you can tell especially because of the accent.",,,
,,Interviewer,,"Okay. Apart from the accent, is there any other thing? <Swahili>Kuna kitu ingine ambayo itakusaidia ujue huyu anatoka huku</Swahili>, apart from the accent?","Okay. Apart from the accent, is there any other thing? <English>Is there any other thing that will help you know this person come from here</English>, apart from the accent?",CS,Unmarked.,
,,Amanda,,Apart from the accent?,Apart from the accent?,,,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"These aah, the rest are stereotypes.","These aah, the rest are stereotypes.",,,
,,Interviewer,,"Mmm. Okay, so it's=","Mmm. Okay, so it's=",,,
,,Amanda,,"The:-your stereotypes, the way people have been stereotyped ah, ""this is how Luos speak"" you know if you hear someone bragging so much in our communication, that's a Luo.  Yea, so it might not be true.","The:-your stereotypes, the way people have been stereotyped ah, ""this is how Luos speak"" you know if you hear someone bragging so much in our communication, that's a Luo.  Yea, so it might not be true.",,,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"<Swahili>Na: ukiwa na mtu-ukisikia mtu anaongea na hujamuona</Swahili>, maybe you're outside there, and somebody is inside here <Swahili>na anaongea, unaweza</Swahili> tell level <Swahili>ya</Swahili> education, position <Swahili>yao</Swahili> in society, status <Swahili>yake</Swahili>? Is he from a wealthy place? Is he from a [uncertain transcription] place? Can you be able to tell?","<English>And if you are with a person-if you hear a person speak and you haven't seen him</English>, maybe you're outside there, and somebody is inside here <English>and he is talking, are you able to</English> tell level <English>of</English> education, position <English>theirs</English> in society, status <English>his</English>? Is he from a wealthy place? Is he from a [uncertain transcription] place? Can you be able to tell?",CS,Unmarked.,
,,Amanda,,"Now that one depends on uuh, maybe the choice of words. Okay it doesn’t matter whether if the person is using <Swahili>Kiswahili ama</Swahili> English.  <Swahili>Lakini</Swahili> according to the choice of words definitely I'll get to know your'e from a wealthy background, depending on the words you're choosing ""can you call my driver to come pick me up from this place, my car has broke down"" ""I will send a driver with my Mercedes"" you know that is not a poor person.  But you'll-from the same conversation someone else will talk of ""I don't even know what I will eat today"", ""It's the third day most probably I'll sleep hungry"", you can tell. If someone else is comfortable and another one is not from the way they use their words <Swahili>vile wanaongea</Swahili> you can tell the-where someone comes from. Even uuh, apart from economic status, you can also tell if someone is a doctor.  Okay, it might not be true but you can be around 90% correct. From the way they speak. Definitely you will speak about what surrounds your life.  <Swahili>Kama unaishi hospitali</Swahili> you'll hardly remember there's a [uncertain transcription].  So if you're like <Swahili label='quotation'>""eh, leo nimepata wagonjwa wengi"", sijui</Swahili label='quotation'> ""there's this kind of a disease"", that one is either a nurse or a doctor. And then someone else will speak of <Swahili label='quotation'>""tuligoma</Swahili label='quotation'> last time <Swahili label='quotation'>na hata</Swahili label='quotation'> this time <Swahili label='quotation'>bado tunagoma""</Swahili label='quotation'> those are people from education (they both laugh). Yes.","Now that one depends on uuh, maybe the choice of words. Okay it doesn’t matter whether if the person is using <English>Swahili or</English> English.  <English>But</English> according to the choice of words definitely I'll get to know your'e from a wealthy background, depending on the words you're choosing ""can you call my driver to come pick me up from this place, my car has broke down"" ""I will send a driver with my Mercedes"" you know that is not a poor person.  But you'll-from the same conversation someone else will talk of ""I don't even know what I will eat today"", ""It's the third day most probably I'll sleep hungry"", you can tell. If someone else is comfortable and another one is not from the way they use their words <English>the way they talk</English> you can tell the-where someone comes from. Even uuh, apart from economic status, you can also tell if someone is a doctor.  Okay, it might not be true but you can be around 90% correct. From the way they speak. Definitely you will speak about what surrounds your life.  <English>If you live in a hospital</English> you'll hardly remember there's a [uncertain transcription].  So if you're like <English>""eh, today I got a lot of patients"", I don't know/or</English> ""there's this kind of a disease"", that one is either a nurse or a doctor. And then someone else will speak of <English>""we striked</English>last time <English>and even</English> this time <English>we are still striking""</English> those are people from education (they both laugh). Yes.",CS,SM: Quotation,
,,Interviewer,00:22:00mins,Okay.  And do you speak different languages to different people?,Okay.  And do you speak different languages to different people?,,,
,,Amanda,,"Eeh, somehow.  Let me say somehow. If you're a Kikuyu I'll speak to you in Kikuyu.  If it's-if the context allows, I'll speak to you in Kikuyu.  If you're a: Meru I'll speak to you in Meru.  I know some bit of Luya so if you're a Luya I can speak to you in Kiluya, and then 90% of the people I ask to guess where they think I come from, people guess I'm a Swahili from the coast.  So: if I come to you I can also speak to you in Kiswahili and I will actually convince you I'm from the coast.  If it's a Luo, I can speak you know <Swahili>zile tu za salamu kidogo kidogo?</Swahili>  Yes.","Eeh, somehow.  Let me say somehow. If you're a Kikuyu I'll speak to you in Kikuyu.  If it's-if the context allows, I'll speak to you in Kikuyu.  If you're a: Meru I'll speak to you in Meru.  I know some bit of Luya so if you're a Luya I can speak to you in Kiluya, and then 90% of the people I ask to guess where they think I come from, people guess I'm a Swahili from the coast.  So: if I come to you I can also speak to you in Kiswahili and I will actually convince you I'm from the coast.  If it's a Luo, I can speak you know <English>those [words] of greetings a little?</English>  Yes.",CS,Unmarked.,
,,Interviewer,,"Mmh, it seems then you have a passion for languages.","Mmh, it seems then you have a passion for languages.",,,
,,Amanda,,"Yes. I do.  After my degree I want to take a degree in ah, Spanish.","Yes. I do.  After my degree I want to take a degree in ah, Spanish.",,,
,,Interviewer,,Spanish.,Spanish.,,,
,,Amanda,,Yes. ,Yes. ,,,
,,Interviewer,,"Okay, the fact that you know Kikuyu to a large extent is because of Nanyuki? ","Okay, the fact that you know Kikuyu to a large extent is because of Nanyuki? ",,,
,,Amanda,,Yes and in Nanyuki there are many of them.  ,Yes and in Nanyuki there are many of them.  ,,,
,,Interviewer,,Okay.  ,Okay.  ,,,
,,Amanda,,"And then my father is from the Meru side, my mother is from-","And then my father is from the Meru side, my mother is from-",,,
,,Interviewer,,Kikuyu.,Kikuyu.,,,
,,Amanda,,The Kikuyu side.,The Kikuyu side.,,,
,,Interviewer,,"Mmm. Okay. Have you ever tried to change, <Swahili>vile unaongea</Swahili>?","Mmm. Okay. Have you ever tried to change, <English>the way you speak</English>?",CS,Unmarked.,
,,Amanda,,To change-,To change-,,,
,,Interviewer,,"Your style of speaking. You know <Swahili>kilamtu ako na</Swahili> style, ya <Swahili>ku</Swahili>speak?","Your style of speaking. You know <English>everyone has a</English> style, of<English>to</English>speak?",CS,Unmarked.,
,,Amanda,,Swag.,Swag.,,,
,,Interviewer,,"Yea swag? What you call swag.  <Swahili>Kila mtu ako na swag yake. Kusha ijaribu ku</Swahili>change? Maybe <Swahili>ulikuwa</Swahili> influenced <Swahili>na</Swahili> a celeb. <Swahili>Huona vile</Swahili> celeb <Swahili>anaongea, ama yule</Swahili> lecturer <Swahili>wako anaongea, kama vile mwalimu anaongea, ama vile</Swahili> best <Swahili>wako anaongea. Ama</Swahili> maybe <Swahili label='quotation'>sikumoja uliambiwa ""aah wewe hata sipendi vile unaongea' Ushawahi jaribu ku</Swahili label='quotation'>change regardless of.. the-the what pushed you to-","Yea swag? What you call swag.  <English>Everyone has their swag. Have you tried to</English>change? Maybe <English>you were</English> influenced <English>by</English> a celeb. <English>You saw how a </English> celeb <English>speaks, or that</English> lecturer <English>of your speaks, like the way a lecturer speaks, or the way</English> best <English>of yours speaks. Or/English> maybe <English>one day you were told""aah you, I don't even like the way you speak"".  Have you ever tried to</English>change regardless of.. the-the what pushed you to-",CS,SM: Quotation,
,,Amanda,00:23:42mins,"No, for me, like the <Swahili>ka</Swahili>history I have given you, you realize I was very clueless in languages. (laughs)  So I have been imitating my role models.  But not in their style, not really style of speaking. I can borrow words from you. Eeh, if I didn’t know what a table is called in Kiswahili and you mention it-like in class our lecturers have really big terms. So what they mostly do, the-when dictating notes they will talk of <Swahili>aah, meza</Swahili>, maybe don't know what <Swahili>meza</Swahili> is then into brackets <Swahili>wakwambie ""weka</Swahili> table"", so from then, you'll get to know that ""Okay, I used to switch codes when-if I'm speaking in English and I want to say table which I don't know whether it's table, <Swahili>naiita meza""</Swahili>.  So from that point you get to know it's a table.  But <Swahili>ile</Swahili> style-style as in your way of talking, unless when I'm making a joke and I'm imitating these celebs like I like uuh, Rashid Abdalah.  He's a journalist in uh, QFM and QTV.  Eeh, who is- okay I don't use their style to talk. <Swahili>Vile naongea ndivo tu nimekuwa nikiongea</Swahili>, English, Kiswahili. But when it comes to: copying, not copying to speak as [uncertain transcription], I copy to imitate and make fun and maybe repeat what you said. Yes.","No, for me, like the <English>little</English>history I have given you, you realize I was very clueless in languages. (laughs)  So I have been imitating my role models.  But not in their style, not really style of speaking. I can borrow words from you. Eeh, if I didn’t know what a table is called in Kiswahili and you mention it-like in class our lecturers have really big terms. So what they mostly do, the-when dictating notes they will talk of <English>aah, table</English>, maybe don't know what <English>table</English> is then into brackets <English>they tell you ""put </English> table"", so from then, you'll get to know that ""Okay, I used to switch codes when-if I'm speaking in English and I want to say table which I don't know whether it's table, <English>I call it table""</English>.  So from that point you get to know it's a table.  But <English>that</English> style-style as in your way of talking, unless when I'm making a joke and I'm imitating these celebs like I like uuh, Rashid Abdalah.  He's a journalist in uh, QFM and QTV.  Eeh, who is- okay I don't use their style to talk. <English>The way I speak is the way I have been speaking</English>, English, Kiswahili. But when it comes to: copying, not copying to speak as [uncertain transcription], I copy to imitate and make fun and maybe repeat what you said. Yes.",CS,,
,,Interviewer,,"Okay, what are some of the issues. <Swahili>Ni nini siku hizi mnaongea saana tunaweza sema</Swahili> <Sheng label='exemplification'>mushenee</Sheng label='exemplification'>, <Swahili>ama-</Swahili>","Okay, what are some of the issues. <English>What is it that these days you all speak of a lot, we can say<English> <Sheng>mushenee</Sheng>, <English>or-</English>",CS,SM: Exemplification.,
,,Amanda,,<Sheng>Kasheshe-</Sheng>,<Sheng>Kasheshe-</Sheng>,,,
,,Interviewer,,"<Swahili>Eeh, hiyo</Swahili><Sheng> kasheshe</Sheng> <Swahili>basi</Swahili>. Yea, the <Sheng>kasheshe</Sheng> with friends nowadays? {Ladyfriends, let's start with ladyfriends, yes}  Yes, those ones.","<English>Eeh, that</English><Sheng> kasheshe</Sheng> then. Yea, the <Sheng>kasheshe</Sheng> with friends nowadays? {Ladyfriends, let's start with ladyfriends, yes}  Yes, those ones.",CS,,
,,Amanda,,{The four-one-ones}(giggles) Definitely relationships are there and have always been there.,{The four-one-ones}(giggles) Definitely relationships are there and have always been there.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"<Swahili>Utachukua huyu mwanaume unamchambua, unamchambua kutoka kichwa hadi miguu unaenda kwa tabia</Swahili> (both giggle)","<English>You will take this guy and you break him apart, you analyze him from head to feet, you go to character</English> (both giggle)",,,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"Then from there ladies and fashion are inseperable. <Swahili>Mnaende kutoka</Swahili> hairstyles. <Swahili>Mnaenda kwa</Swahili> make-ups, <Swahili>ni zipi</Swahili> latest, eh? <Swahili>Kwa: kwa nguo, ni gani zinashika watu sana</Swahili>? The trousers, there was a time these pencil trousers <Swahili>zilikuwa zinakunjwa</Swahili> from inside <Swahili>pale chini</Swahili>, nowadays <Swahili>zinapunjwa, juu</Swahili>. (laughter)","Then from there ladies and fashion are inseperable. <English>You go from </English> hairstyles. <English>You go to </English> make-ups, <English>which ones are</English> latest, eh? <English>In, in clothes, which ones attract the majority</English>? The trousers, there was a time these pencil trousers <English>they were being folded</English> from inside <English>at the bottom</English>, nowadays <English>they are made shorter, on top</English>. (laughter)",CS,Unmarked.,
,,Interviewer,00:26:08mins,Okay. <Swahili>Sija</Swahili>notice <Swahili>hiyo</Swahili>.,Okay. <English>I have not</Swahili>notice[d] <Swahili>that</Swahili>.,CS,Unmarked.,
,,Amanda,,Then there was a time windbreakers become so: fashioanable <Swahili>kunanyesha lakini mpaka nivae</Swahili> windbreakers <Swahili>siwezi vaa</Swahili> jacket. (both laugh),Then there was a time windbreakers became so: fashionable <English>it is raining but I have to wear</English> windbreakers <English>I can't wear a</English> jacket. (both laugh),CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"Eeh, so: fashion, relationships, and aah, a small percentage of it, what next after here.","Eeh, so: fashion, relationships, and aah, a small percentage of it, what next after here.",,,
,,Interviewer,,What next?,What next?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Why do you think you talk like that? About those issues?,Why do you think you talk like that? About those issues?,,,
,,Amanda,,"About eh, kina fashions?-","About eh, kina fashions?-",,,
,,Interviewer,,"<Swahili>Kina</Swahili> fashions, <Swahili>kina ma</Swahili>relationships?","<English>The</English> fashions, <English>the</English>relationships?",CS,Unmarked.,
,,Amanda,,"Fo:r relationships, eh, we all want to get married. At least the larger part of my friends.","Fo:r relationships, eh, we all want to get married. At least the larger part of my friends.",,,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,,"So <Swahili>tunaanza kutambuana hapa</Swahili>. You know, like in high school someone told me that you're usually carried away by emotions.","So <English>we start to get to know each other here</English>. You know, like in high school someone told me that you're usually carried away by emotions.",CS,Unmarked.,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"<Swahili label='quotation'>Ukiwa na mtu</Swahili label='quotation'> ""aah this dude <Swahili>nim[uncertain transcript]"" hata tabia zake huzijui</Swahili>. (they both laugh). But you won't study that chemistry because <Swahili>ulienda funky fulani ukakutana na</Swahili> the tall, dark and handsome, eh? But now when we are here that's when you realize you're getting old. After campus you will get a job.  You: will settle with life. So what next, you'll need a man.  And if you're planning to get married in two years, you don't start looking for a boyfriend on that Saturday you want to get married.  So <Swahili>unaanza na tabia</Swahili>. ""Okay, this one is tall, dark and handsome <Swahili>lakini ni mchoyo""</Swahili>.  Would you want to live with a mean person in the house? This other one is not dark, tall and handsome as I would want but he is gentle, he is caring, he is loving so you choose, <Swahili>utafuata</Swahili> the looks <Swahili>ama utafuata</Swahili> {the character?}","</English>If you are with someone</English> ""aah this dude <English>he is[uncertain transcript]"" even his habits you don't know them</English>. (they both laugh). But you won't study that chemistry because <English>you went to a certain club and you met with</English> the tall, dark and handsome, eh? But now when we are here that's when you realize you're getting old. After campus you will get a job.  You: will settle with life. So what next, you'll need a man.  And if you're planning to get married in two years, you don't start looking for a boyfriend on that Saturday you want to get married.  So <English>you start with character</English>. ""Okay, this one is tall, dark and handsome <English>but he is selfish""</English>.  Would you want to live with a mean person in the house? This other one is not dark, tall and handsome as I would want but he is gentle, he is caring, he is loving so you choose, <English>will you go after</English> the looks <English>or will you go after</English> {the character?}",CS,SM: Quotation,
,,Interviewer,,{Character} Okay.,{Character} Okay.,,,
,,Amanda,,So <Swahili>hiyo</Swahili> topic <Swahili>haiwezi isha</Swahili>. (they both laugh),So <English>that</English> topic <English>it can't end</English>. (they both laugh),CS,Unmarked.,
,,Interviewer,,"Okay. What about male friends? Now just sometimes <Swahili>nikama</Swahili> issues <Swahili>zenye tuongea na</Swahili> males, sometimes<Swahili>ni</Swahili> different from <Swahili>zenye tunaongea na</Swahili> females. <Swahili>Sasa</Swahili> male friends?","Okay. What about male friends? Now just sometimes <English>it is like</English> issues <English>that we talk with</English> males, sometimes<English>are</English> different from <English>the ones we talk [about] with</English> females. <English>Now</English> male friends?",CS,Unmarked.,
,,Amanda,,Male friends <Swahili>wangu</Swahili>?,Male friends <English>of mine</English>?,CS,Unmarked.,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"Mark you, I started interacting with men here in campus after being in girls' schools all that long eh? (Both giggle)","Mark you, I started interacting with men here in campus after being in girls' schools all that long eh? (Both giggle)",,,
,,Interviewer,,Okay.,Okay.,,,
,,Amanda,00:28:15mins,"So males schools personally, <Swahili>huwa tunaongea mambo kama ya</Swahili> job.  You know there's this gender based issue, especially in my class we really argue-<Swahili>tukianza</Swahili> topic ya gender, <Swahili>jiokoe tu uende</Swahili> (laughter). You know these jobs <Swahili label='quotation'>""eeh, Ann wewe utaolewa, ah wewe Matthew uta-utapata kazi."" </Swahili label='quotation'>So mostly it's on aah, jobs, and then feminism.  <Swahili>Tangu nisome hii kosi inaitwa jinsia na wana</Swahili>, that is sex and gender, hee! You won't tell me <Swahili>eti kuna kitu mwanaume anaweza fanya mimi mwanamke siwezi fanya.  Nijaribu nikishindwa sawa.  Kama nitaweza, basi. Endesha.</Swahili> I can even perform it better than you can, woe unto you cuz I won't give you peace.","So males schools personally, <English>we usually talk about topics like of</English> job.  You know there's this gender based issue, especially in my class we really argue-<English>when we start the</English> topic of gender, <English>just save yourself and go</English> (laughter). You know these jobs <English>""eeh, Ann you will get married, ah you Matthew you will-you will get a job."" </English>So mostly it's on aah, jobs, and then feminism.  <English>Since I took this course it is called Sex and Gender</English>, that is sex and gender, hee! You won't tell me <English>that there is something a man can do that I as a woman can't do.  Let me try if I fail okay.  If I am able to, good.  Drive on.</English>[If] I can even perform it better than you can, woe unto you cuz I won't give you peace.",CS,SM:  Quotation.,
,,Interviewer,,"So it seems these things about male female what you can do, what you can't do <Swahili>ni</Swahili> constructs <Swahili>za</Swahili> society <Swahili>tu. Ni</Swahili> society <Swahili>imetuekea</Swahili>. ","So it seems these things about male female what you can do, what you can't do <English>ni</English> constructs <English>za</English> society <English>tu. Ni</English> society <English>imetuekea</English>. ",CS,Unmarked.,
,,Amanda,,"<Swahili>Eeh.  Inakwambia huwezi ukafika</Swahili> university. You know like in some communities, <Swahili>wasichana hawasomeshwi</Swahili> cuz it's boys who are brighter and girls are foolish. But we have, <Swahili>tumekiuka hizo kanuni</Swahili> by we ourselves being in university in the first place. So how do you tell me that I can't become  a lecturer. <Swahili>Kwanza ukiniambia siwezi nikakua</Swahili> lecturer <Swahili>sasa hapo ndipo tutapambana kabisa</Swahili>. I would end up changing my goal set just to show you, <Swahili>naweza kuwa</Swahili> lecturer. Eeh.","<English>Eeh.  Inakwambia huwezi ukafika</English> university. You know like in some communities, <English>girls are not educated</English> cuz it's boys who are brighter and girls are foolish. But we have, <English>we have avoided those rules</English> by we ourselves being in university in the first place. So how do you tell me that I can't become  a lecturer. <English>Firstly if you tell me I can't become a</English> lecturer <English>now that is when we will fight for sure</English>. I would end up changing my goal set just to show you, <English>I can become a </English> lecturer. Eeh.",CS,In agreement.,
,,Interviewer,,"So what's your opinion about Sheng? What do you think about Sheng?  <Swahili>Ukiulizwa useme ubaya wa Sheng? Uzuri wa Sheng, ikuwe, isikuwe, kuna</Swahili> benefits, <Swahili>na</Swahili> future <Swahili>ya Sheng ni nini sasa</Swahili> now that <Swahili>sikuhizi kwanza kuna</Swahili> dictionary <Swahili>ya Sheng</Swahili> (they both laugh).  In Nairobi and it's like Sheng <Swahili>yenye tunaongea ni kama hazifanani sijui kuna Sheng ya Nairobi, sijui kuna Sheng ya wapi?</Swahili>","So what's your opinion about Sheng? What do you think about Sheng?  <English>If you are asked to name the cons of Sheng? The pros of Sheng, should it grow, should it not grow, are there</English> benefits, <English>and</English> future <English>of Sheng what is it</English> now that <English>these days first ther is a</English> dictionary <English>of Sheng</English> (they both laugh).  In Nairobi and it's like Sheng <English>the one we speak it's like they are not the same, I don't know there is Nairobi Sheng, there is Sheng of I don't know where?</English>",CS,Unmarked.,
,,Amanda,00:30:12mins,<Swahili>Na hata hiyo ya Nairobi bado ziko</Swahili> different. {<Swahili>Sheng ya Westland ni</Swahili> different} ,<English>And even that Nairobi one still they are</English> different. {<English>Westland Sheng is</English> different} ,,,
,,Interviewer,,{<Swahili>Bado ziko</Swahili> different <Swahili>sijui ya wapi</Swahili>} ,{<English>Still they are</English> different <English>I don't know of where</English>} ,CS,Unmarked.,
,,Amanda,,<Swahili>Na Sheng ya Kibera na Sheng ya Eastlands-</Swahili>,<English>And Kibera Sheng and Eastlands Sheng-</English>,,,
,,Interviewer,,<Swahili>Ni</Swahili> different.,<English>Are</English> different.,CS,Unmarked.,
,,Amanda,,"Sheng, has a very bright future. <Swahili>Kwasababu si kama kitambo. Unajua kitambo Sheng ilianza na</Swahili> youths. <Swahili>Ukisikia mtu, hata kama humuoni usikie Sheng ndiyo inaongewa, unajua</Swahili> that's a youth.  <Swahili>Siku hizi hata mapero wanaongea Sheng</Swahili>. Especially not even-and then <Swahili>ina</Swahili>spread. <Swahili>Kutoka:</Swahili> it's origin is in Nairobi. So <Swahili>ime</Swahili>spread <Swahili>kutoka Nairobi imeenda mpaka</Swahili> in other towns.","Sheng, has a very bright future. <English>Because it's not like a while back.  You know back then Sheng started with the</English> youths. <English>If you hear a person, even if you don't see them, if you hear it is Sheng being spoken, you know</English> that's a youth.  <English>These days even the parents speak Sheng</English>. Especially not even-and then <English>it is</English>spread[ing]. <English>Fro:m</English> it's origin is in Nairobi. So <English>it has</English>spread <English>from Nairobi it has gone to</English> in other towns.",CS,Unmarked.,
,,Interviewer,,Mmm hmm.,Mmm hmm.,,,
,,Amanda,,"<Swahili>Halafu</Swahili>-okay that is spreading plus it's being used by people of all ages.  <Swahili label='quotation'>Katoto kado:go tu ""njaa nayo"" sijui ""maubao""</Swahili label='quotation'> (they giggle). <Swahili>Huenda hata sijui maubao ni nini na ni mtoto anakwamb</Swahili> ""mom! <Swahili label='quotation'>Eh maubao yamezidi"" Sasa unashangaa.</Swahili label='quotation'> So as much as personally I wouldn't-eeh, I don't speak Sheng. And aah, if I had the powers, it would be scrapped off from every- everywhere language is mentioned. Cuz finally <Swahili>itapiganiwa tu na itakuwa-ita-</Swahili> it will be recognized as a language.  ","<English>And then</English>-okay that is spreading plus it's being used by people of all ages.  <English>A little child ""I'm hungry"" I don't know (she says a slang word-maubao)</English> (they giggle). <English>I don't even know whath 'maubao' is and it is a little child telling you</English> ""mom! <English>Eh the 'maubao' has increased"" Now you are just shocked</English> So as much as personally I wouldn't-eeh, I don't speak Sheng. And aah, if I had the powers, it would be scrapped off from every- everywhere language is mentioned. Cuz finally <English>itapiganiwa tu na itakuwa-ita-</English> it will be recognized as a language.  ",CS,SM: Quotation,
,,Interviewer,,"Yea, and I think Sheng tends to:-tends to destroy Kiswahili.","Yea, and I think Sheng tends to:-tends to destroy Kiswahili.",,,
,,Amanda,,A lot. Now that is where I have-you know that statement I have made is very personal. If I had the power I would scrap it off.,A lot. Now that is where I have-you know that statement I have made is very personal. If I had the power I would scrap it off.,,,
,,Interviewer,,Scrap it off. ,Scrap it off. ,,,
,,Amanda,,Yes.  From every context we are-as in anywhere language <Swahili>inatumika</Swahili>.,Yes.  From every context we are-as in anywhere language <English>is used</English>.,CS,Unmarked.,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"Sheng will spoil <Swahili>sarufi, sintaxia, fonologia, inaharibu kilakitu</Swahili>. And the way I said, we don't realize we are speaking in Sheng. Just the way you are speaking English, <Swahili>halafu unaongea Kiswahili</Swahili>, automatically.  <Swahili>Hauoni kama ume</Swahili>codeswitch. So <Swahili>hata Sheng imekuwa</Swahili> part of us. <Swahili label='quotation'>Unaongea tu. Mtu akikuuliza unaongea? Si nimeongea Kiswahili? na uliniuliza ""si unacome?"" Sasa unacome ni lugha gani?  Na si Kiswahili. </Swahili label='quotation'>","Sheng will spoil <English>grammar, syntax, phonology, it ruins everything</English>. And the way I said, we don't realize we are speaking in Sheng. Just the way you are speaking English, <English>and then you speak Swahili</English>, automatically.  <English>You don't see that you have</English>codeswitch[ed]. So <English>even Sheng has become a</English> part of us. <English>You just speak it. If a person asks you ""are you speaking [it]? ""Didn't I speak Swahili"" And you asked me ""si unacome?"" Now ""unacome"" is what language?  And it is not Swahili. </English>",CS,SM:  Quotation.,
,,Interviewer,00:32:10mins,Eh hee.,Eh hee.,,,
,,Amanda,,"Yea. So it has a bright future on the basis uh, that it's spreading really fast and it's being used by toddlers who can speak, to the aged. So <Swahili>iko na</Swahili> future <Swahili>ya</Swahili> bright <Swahili>sana</Swahili> but..it's a disaster to: languages, English included.","Yea. So it has a bright future on the basis uh, that it's spreading really fast and it's being used by toddlers who can speak, to the aged. So <English>it has a</English> future <English>that is</English> bright <English>very</English> but..it's a disaster to: languages, English included.",CS,Unmarked.,
