Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,
,,Peter,,Unless ni- it's a common name between us.,Unless ni- it's a common name between us.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,E ee.,E ee.,,,
,,Interviewer,,<Swahili>Kwava wewe aghalabu uchanganya lugha vipi</Swahili>?,<English>Kwava wewe aghalabu uchanganya lugha vipi</English>?,,,
,,Peter,,<Swahili>Bila shaka mi mchanga lugha maanake nazielewa zote tatu</Swahili>.,<English>No doubt I am a language mixer because I understand all three</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>Zote tatu</Swahili>?,<English>All three</English>?,,,
,,Peter,,"E ee. <Swahili>Kizungu, Kiswahili na Kikuyu</Swahili>.","E ee. <English>English, Swahili and Kikuyu</English>.",,,
,,Interviewer,,<Swahili>Lakini mara nyingi</Swahili>?,<English>But often times</English>?,,,
,,Peter,,<Swahili>Mara nyingi uchanganya Kizungu na Kiswahili</Swahili>.,<English>Often times I usually mix English and Swahili</English>.,,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"Okay. In the way you speak,","Okay. In the way you speak,",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"have you noticed any difference from the others, other students talk?","have you noticed any difference from the others, other students talk?",,,
,,Peter,,"It depends in the language.  There's a language that I'm not very good in, for example, French. ","It depends in the language.  There's a language that I'm not very good in, for example, French. ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"So, there's definitely there's a difference between they way I speak, because  I speak slowly, I want to be cautious, is it the right word or not? ","So, there's definitely there's a difference between they way I speak, because  I speak slowly, I want to be cautious, is it the right word or not? ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,But the others know they speak well.,But the others know they speak well.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,0:12:32,"When it comes to <Swahili label='high expertise'>Kiswahili, nazungumza vizuri sana</Swahili label='high expertise'>.",When it comes to <English>Swahili I speak very well</English>.,CS,SM: High expertise.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Tena kwa haraka na sichanganyi Kiswahili na- unajuwa kuna Kiswahili kile halisi na Kiswahili ambacho siyo halisi vile</Swahili>.,<English>Also fast and I don't mix Swahili and-you know there is that proper Swahili and that Swahili that is not proper</English>.,,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,<Swahili>Ni Kiswahili ambacho kimeswahidishwa maneno ya Kizungu yamewekwa tu kwa lugha ya Kiswahili</Swahili>.,<English>It is the Swahili that has been helped English words have just been put into the Swahili language</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili>Kwa hivyo Kiswahili nazungumza vizuri, Kifaransa sizungumzi vizuri. Vile vile, kunawatu- kunatofauti kati ya mimi na wengine</Swahili>.","<English>So Swahili I speak it well, French I don’t speak well. Same way there are people-there is a difference between me and others</English>.",,,
,,Interviewer,0:12:56,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"<Swahili>Iwapo ungesikiza mtu akiongea</Swahili>,","<English>If you heard a person speaking</English>,",,,
,,Peter,,Mh hhh.,Mh hhh.,,,
,,Interviewer,,<Swahili>hujamwona huyu jamaa</Swahili>.,<English>you haven't seen this guy</English>.,,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>Lakini waweza tambua ya kwamba huyu jamaa iwatoka mahali fulani</Swahili>?,<English>But can you tell that this guy comes from a certain place</English>?,,,
,,Peter,,"<Swahili>Bila shaka</Swahili>,","<English>Certainly</English>,",,,
,,Interviewer,,<Swahili>Haswaa? Pale kwe</Swahili>?,<English>Especially?There where</English>?,,,
,,Peter,,<Swahili>Bila shaka</Swahili>.,<English>Certainly</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Kwa sababu kuna</Swahili> differences in pronounciation.,<English>Because there are</English> differences in pronounciation.,CS,Unmarked.,
,,Interviewer,,Mhh <Swahili>naam</Swahili>.,Mhh <English>Yes</English>.,,,
,,Peter,,"<Swahili>Maana hapo unashachanganya tayari. Umesha hamisha.  Kuna tofauti</Swahili>,","<English>Because there you are already mixing.  You have already moved. There is a difference</English>,",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>ya</Swahili> pronounciation <Swahili>ya maneno</Swahili>.,<English>of</English> pronounciation <English>of words</English>.,CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"<Swahili>Kuna vile wana tamka yao, kuna vile tunatamka yetu</Swahili>.","<English>There is the way they pronounce theirs, there is the way we pronounce ours</English>.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"So for example, I think, ehh, let me give you an example of aaa, of a, of a what? Of a chart. You know the chart that you draw things. ","So for example, I think, ehh, let me give you an example of aaa, of a, of a what? Of a chart. You know the chart that you draw things. ",,,
,Education,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"There's a, some place in my region, where they don't call it ""chart"".  They call it, ""shirt,"" as in the one that we wear.  So they confuse the two sounds; ch and sh.","There's a, some place in my region, where they don't call it ""chart"".  They call it, ""shirt,"" as in the one that we wear.  So they confuse the two sounds; ch and sh.",,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,So they confuse the two sounds; ch and sh.,So they confuse the two sounds; ch and sh.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"So if I hear somebody speak and say, ""Ah, that is from my community.""","So if I hear somebody speak and say, ""Ah, that is from my community.""",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Because, at least, he or she is saying it correctly.","Because, at least, he or she is saying it correctly.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"But if he she eeh, sorry, if he said it wrongly,","But if he she eeh, sorry, if he said it wrongly,",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,I would know that it is from this particular region.,I would know that it is from this particular region.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"And so you, you can easily tell from the kind of sounds they-","And so you, you can easily tell from the kind of sounds they-",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,they use.,they use.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"Or they confuse, rather.","Or they confuse, rather.",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"Okay. In the same way, if you ever heard somebody, aah talking, without seeing these people, could you tell maybe the, the kind of background they have had before?  Maybe their level of education, the status that they have in the society, and maybe their political affiliations?  Can you tell?","Okay. In the same way, if you ever heard somebody, aah talking, without seeing these people, could you tell maybe the, the kind of background they have had before?  Maybe their level of education, the status that they have in the society, and maybe their political affiliations?  Can you tell?",,,
,,Peter,,"Ah, to start with the political affiliation, maybe <Swahili>unaweza sema kwa sababu utasikie ile upande anatetea</Swahili>.  Here in Kenya, <Swahili label='high solidarity'>tunazoea sana kutetea upande wetu</Swahili label='high solidarity'>.","Ah, to start with the political affiliation, maybe <English>you can say because you will hear that side s/he is defending</English>.  Here in Kenya, <English>we are very accustomed to defending our side</English>.",CS,SM: High solidarity. ,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"We are alm- wa are always, you know, fighting for our side. And we are against the other side.","We are alm- wa are always, you know, fighting for our side. And we are against the other side.",,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,"So if you listen to a person speak for example a particular, you know, talking about Party A, you will know whether he belongs to Party A or Party B by just listening. ","So if you listen to a person speak for example a particular, you know, talking about Party A, you will know whether he belongs to Party A or Party B by just listening. ",,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,You will tell.,You will tell.,,,
,Power/Language,Interviewer,,Okay. ,Okay. ,,,
,,Peter,,"Unless that person is a political analyst who is neutral.  But you can tell people who are from different political camps.  <Swahili>Halafu</Swahili>, about background <Swahili>ya mtu</Swahili>, yes, you can tell.  Because <Swahili>ile</Swahili> background <Swahili>mimi nimekuwa nayo, ina</Swahili> relate <Swahili>na hali nimetoka</Swahili>.","Unless that person is a political analyst who is neutral.  But you can tell people who are from different political camps.  <English>And then</English>, about background <English>of a person</English>, yes, you can tell.  Because <English>that</English> background <English>that I've had, it</English> relate[s] <English>to the condition I came from</English>.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"<Swahili>Kwa hivyo</Swahili>, the way I see things, is the way I have been? I have been brought up of from where I come from.","<English>Therefore</English>, the way I see things, is the way I have been? I have been brought up of from where I come from.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"There are things that I'm going to say you will not understand because you don't come from my background.  There are things that I'm, that I will say, because we, you know, at least we are from the same region you know, <Swahili>unasikia huyo mtu</Swahili> - you can relate to what the person is talking about.  ","There are things that I'm going to say you will not understand because you don't come from my background.  There are things that I'm, that I will say, because we, you know, at least we are from the same region you know, <Swahili>you hear that person</Swahili> - you can relate to what the person is talking about.  ",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,So you know this kind of a person could have this kind of a? A background.,So you know this kind of a person could have this kind of a? A background.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Eh <Swahili>ndio.  Unaweza</Swahili> tell <Swahili>kutokana na vile mtu anaongea</Swahili>.,Eh <English>yea. You can</English> tell <English>based on the way a person speaks</English>.,CS,Unmarked.,
,Social Status,Interviewer,,<Swahili>Na</Swahili> status?,<English>And</English> status?,CS,Unmarked.,
,,Peter,,Status  <Swahili>ni ngumu</Swahili>.,Status  <English>is hard</English>.,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,0:15:48,"<Swahili>Kusikia tu mtu akizungumza ni ngumu.  Usikie useme huu mtu pengine ni</Swahili>, mm he's rich.  But you can also tell because there are things they will say and you have either not, eh, met them, or you have, you know, you have interacted with them.  For example, <Swahili>nakumbuka mi upenda sana ni kusoma gazeti.  Na nikisoma gazeti, kuna zile vitu naona wameandika pale, ati sijui</Swahili> you should have- For example <Swahili>kuna hii</Swahili> article <Swahili>walikuwa wanasema pahali tuseme unataka kumpeleka msichana</Swahili> date.  You want to take your girlfriend out on a date.  There are ages?[uncertain transcription] that they are going to give you and you know that <Swahili>ili</Swahili> ages[uncedrtain transcription] they are only affordable by rich people.   ","<English>Just to hear someone speak is hard. To hear and say thsi person maybe is</English>, mm he's rich.  But you can also tell because there are things they will say and you have either not, eh, met them, or you have, you know, you have interacted with them.  For example, <English>I remember I really like to read newspapers. And when I read the newspaper, there are thos thinsg I see people have written there, I don't know</English> you should have- For example <English>there is this</English> article <English>they were saying a place let's say you want to take a girl on a</English> date.  You want to take your girlfriend out on a date.  There are ages?[uncertain transcription] that they are going to give you and you know that <English>so that</English> ages[uncedrtain transcription] they are only affordable by rich people.   ",CS,Unmarked.,
,,Interviewer,,Mhh,Mhh,,,
,,Peter,,"So you ask yourself: Did the person or who was writing here or was he targeting me? Or was he targeting this group of people, this class of people?","So you ask yourself: Did the person or who was writing here or was he targeting me? Or was he targeting this group of people, this class of people?",,,
,,Interviewer,,Mhh,Mhh,,,
,,Peter,,"So you can tell by the vocabulary they use, maybe <Swahili>wanazungumza kuhusu</Swahili> going to the gym.  Poor people don't go to the gym.","So you can tell by the vocabulary they use, maybe <English>they talk abou</English> going to the gym.  Poor people don't go to the gym.",CS,Unmarked.,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,Its only rich people who go to the gym.,Its only rich people who go to the gym.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"He's talking about driving a, a four-wheel drive, and they are saying it's not sufficient for their use.  Poor people don't even drive a car, but you see the person talking of high things.  So you can tell the- yes, you can the status of a person by the way they speak.","He's talking about driving a, a four-wheel drive, and they are saying it's not sufficient for their use.  Poor people don't even drive a car, but you see the person talking of high things.  So you can tell the- yes, you can the status of a person by the way they speak.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"By what they, by the language they use.","By what they, by the language they use.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Ndio</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,0:17:06,Okay.  Do you diff- speak eh different languages to different people?,Okay.  Do you diff- speak eh different languages to different people?,,,
,,Peter,,Of course.,Of course.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Aah, to my seniors who are, you know, who are I pr- my, in my profession, I speak English or Kiswahili. To my seniors, eh, they are not in my profession, we can speak Kikuyu, English or Kiswahili depending on the situation.","Aah, to my seniors who are, you know, who are I pr- my, in my profession, I speak English or Kiswahili. To my seniors, eh, they are not in my profession, we can speak Kikuyu, English or Kiswahili depending on the situation.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"If it is formal, use formal language: Kiswahili or English. If it's informal, it's a mixture.","If it is formal, use formal language: Kiswahili or English. If it's informal, it's a mixture.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Ndio</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,"<Swahili>Kwa nini, kwa nini watumia lugha tofauti kwa watu tofauti pengine</Swahili>?","<English>Why, why do you use different language for different people maybe</English>?",,,
,,Peter,0:17:40,<Swahili>Ndio nilete ule?  Ule mtangusano [uncertain transcription] ni wavute karibu na mimi</Swahili>.,<English>So I can bring that that mtangusano [uncertain transcription] so I can pull them closer to me</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili>Sitaki wasikie ama ni waweke juu sana na mimi niko chini, ama niko juu na wako chini</Swahili>.",<English>I don’t want them to feel or to put them too high while I am low or I am high and they are low</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"</Swahili>Sitaki wasikie hivyo.  Nataka tuwe pamoja,</Swahili>","</English>I don't want them to feel that wayy. I want us to be equal,</English>",,,
,,Interviewer,,Mhh,Mhh,,,
,,Peter,,"<Swahili>tuwe karibu, ili tukizungumza tunaelewana kabisa</Swahili>.","<English>for us to be close, so when we speak we understand each other completely</English>.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Ndio</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>Kwamba tuseme ni</Swahili> situations </Swahili>gani sasa waweza tumia lugha tofauti kwa watu tofauti</Swahili>?,<English>So let's say it is</English> situations </English>which now can you use different language for different people</English>?,CS,Unmarked.,
,,Peter,0:18:00, <Swahili>Kuna huu wakati beidhetu [uncertain transcription] tulikuwa tumeenda kwa daktari </Swahili>.,<English>There was this time beidhetu [uncertain transcription] we had gone to the doctor</English>.,,,
,,Interviewer,,</Swahili>Naam</Swahili>.,</English>Yes</English>.,,,
,,Peter,,"<Swahili>Nilikuwa mimi, na</Swahili> my grandmother na now the doctor.","<English>It was me, and</English> my grandmother na now the doctor.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,My grandmother </Swahili label='refereeing'>anajua Kikuyu tu na Kiswahili</Swahili label='refereeing'>.,My granother </English>knows only Kikuyu and Swahili</English>.,CS,SM: Refereeing.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,The doctor </Swahili>anaelewa Kizungu peke yake</Swahili>.,The doctor </English>understands English only</English>.,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"So I had to come in and you know, now speak eh, okay I was interpreting for my granother.","So I had to come in and you know, now speak eh, okay I was interpreting for my granother.",,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,So I was using the two languages: <Swahili>Kikuyu na Kizungu</Swahili>,So I was using the two languages: <English>Kikuyu and English</English>,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"In such a situation, you must use the two languages so that you can bring these people together to understand each other.","In such a situation, you must use the two languages so that you can bring these people together to understand each other.",,,
,,Interviewer,00:32:00mins,Mh hhh.,Mh hhh.,,,
,,Peter,,Ndio.,Ndio.,,,
,,Interviewer,,"The language you use with friends,","The language you use with friends,",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,do you use the same language with your lecturers maybe?,do you use the same language with your lecturers maybe?,,,
,,Peter,,"Definitely no.  With my friends, we are very free.  We can discuss anything. ","Definitely no.  With my friends, we are very free.  We can discuss anything. ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"But with my lecturers, we just use academic language.","But with my lecturers, we just use academic language.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,How is the script?  How did I perform in my part?,How is the script?  How did I perform in my part?,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"You know, a language that is just academic. But with my friends?","You know, a language that is just academic. But with my friends?",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,0:18:54,"Ah! <Swahili>Vitu vingi sana.  Kwa hivo lugha ni tofauti.  Kikuyu, Kiswahili, tunacheza na [uncertain transcription] ya lugha tofauti</Swahili>.  ","Ah! <English>Many things.  So the language is different. Kikuyu, Swahili, we play with [uncertain transcription] of different languages</English>.  ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Hivyo kabisa</Swahili>.,<English>Completely like that</English>.,,,
,,Interviewer,,"<Swahili>Wewe umejaribu kwa wakati mwengine</Swahili>,","<English>Have you tried at other times</English>,",,,
,,Peter,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Interviewer,,<Swahili>kubadilisha vile ambavyo unavyo ongea</Swahili>.,<English>to switch the way you speak</English>.,,,
,,Peter,,Aah-,Aah-,,,
,,Interviewer,,<Swahili>Na ni kwa sababu gani ukawa unoana kwamba unabidi umebadilisha</Swahili>?,<English>And for what reason did you see that you had to change</English>?,,,
,,Peter,,Mh hhh.,Mh hhh.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,0:19:16,<Swahili>Sidhani kuna wakati difikani [uncertain transcription] nikabadilisha vile mnavyo ongea</Swahili>.,<English>I don’t think there was a time difikani [uncertain transcription] I changed the way I talk</English>.,,,
,,Interviewer,,Mhh naam.,Mhh naam.,,,
,,Peter,,"<Swahili>Vile tu nilikuwa</Swahili> the way I sp-, ah, m- the way I'm speaking today,","<English>Just that way I was</English> the way I sp-, ah, m- the way I'm speaking today,",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Definitely, probably <Swahili>ime- imekuwa</Swahili> better,","Definitely, probably <English>it has-it has become</English>kuwa better,",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"it because of age and education <Swahili>vitu kama izo</Swahili>, but I <Swahili>sijachenji sana. Kidogo, kama nime</Swahili> change <Swahili>ni kidogo.  Na</Swahili> it's only getting better because of e-? Education <Swahili>na</Swahili> exposure.","it because of age and education <English>things like that</English>, but I <English>I haven't changed much. A little, if I have</English> change[d] <English>it is a little. And</English> it's only getting better because of e-? Education <English>and</English> exposure.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Ndio.,Ndio.,,,
,,Interviewer,,"So, o- okay.  You talk of exposure.","So, o- okay.  You talk of exposure.",,,
,,Peter,,Mhh.,Mhh.,,,
,,Interviewer,,What kind of exposure?,What kind of exposure?,,,
,,Peter,,"Aah, <Swahili>unajua sasa,  sa ii</Swahili> -right now I’m in campus.","Aah, <English>you know now, right now</English> -right now I’m in campus.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"So I definitely have ah, read so many books.","So I definitely have ah, read so many books.",,,
,,Interviewer,,Ah huh.,Ah huh.,,,
,,Peter,0:19:54,"Slo [uncertain transcription] known, several or so many vocabularies in English or in Kiswahili.","Slo [uncertain transcription] known, several or so many vocabularies in English or in Kiswahili.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"As well in Kikuyu because as you grow, you know, ","As well in Kikuyu because as you grow, you know, ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,things or language develops every day and you meet different people. ,things or language develops every day and you meet different people. ,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Different media give you different ideas.  ,Different media give you different ideas.  ,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,That is the kind of exposure I'm talking about.,That is the kind of exposure I'm talking about.,,,
,,Interviewer,,"<Swahili>Kuna marafiki ambao pengine</Swahili>,","<English>There are friend who maybe</English>,",,,
,,Peter,,Mh hhh.,Mh hhh.,,,
,,Interviewer,,<Swahili>umejaribu kuwaiga</Swahili>,<English>have you ever tried to copy them</English>,,,
,,Peter,,Mhh.,Mhh.,,,
,,Interviewer,,<Swahili>kwa wakati mmoja</Swahili>,<English>at some point</English>,,,
,,Peter,,Mhh.,Mhh.,,,
,,Interviewer,,<Swahili>kulingana na vile ambavyo wanavyo ongea</Swahili>?,<English>to match how they talk</English>?,,,
,,Peter,,"Ah,  I used to imitate news anchors and presenters and reporters.","Ah,  I used to imitate news anchors and presenters and reporters.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"And even today <Swahili>tukipatana tu na mabeshdi</Swahili>, we just, you want to, when you are talking about, you know, I'm in linguistics and media communications.","And even today <English>when I meet just with my besties</English>, we just, you want to, when you are talking about, you know, I'm in linguistics and media communications.",CS,Unmarked.,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,"So, sometimes these topics don't eeh, we don't avoid.","So, sometimes these topics don't eeh, we don't avoid.",,,
,,Interviewer,,Mhh,Mhh,,,
,,Peter,,"So once a, once in a while, you just mention a person and several friends would want imitate such a friend ","So once a, once in a while, you just mention a person and several friends would want imitate such a friend ",,,
,,Interviewer,,Mhh,Mhh,,,
,,Peter,,or such a reporter or such an anchor.,or such a reporter or such an anchor.,,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,What reasons do they give as they imitate?  Do you think or they believe that that is the language they should be speaking?,What reasons do they give as they imitate?  Do you think or they believe that that is the language they should be speaking?,,,
,,Peter,,"I, I think we take it like, that if you speak like that person, it is either: you are going to know what that person knows or-","I, I think we take it like, that if you speak like that person, it is either: you are going to know what that person knows or-",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,be like that person.,be like that person.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"Maybe, maybe we would be appreciated the way that person is appreciated in the society.","Maybe, maybe we would be appreciated the way that person is appreciated in the society.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"So that your current language, the current language that you use-","So that your current language, the current language that you use-",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,"You, you think it's lacking somethings that this other person has?","You, you think it's lacking somethings that this other person has?",,,
,,Peter,,"Aah, probably.  <Swahili>Kwa sababu</Swahili>, you see there are reporters, you know they use language, ","Aah, probably.  <English>Because</English>, you see there are reporters, you know they use language, ",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"and eh, that language, the language they use is the one that makes them be attractive to the audience.","and eh, that language, the language they use is the one that makes them be attractive to the audience.",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"So <Swahili>unafikiri: ukizungumza kama yeye, utajua maneno ambayo anayotumia</Swahili>.","So <English>you think: if you speak like him/her, you will know the words s/he uses</English>.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"And you'd be, i-it would become an easy way of you to understand lang- to use language, like them.  So you definitely think they are speaking better than you.  <Swahili>Lakini wakati mwingine inawezekana si inaweza kuwa(laughing) siyo hivyo</Swahili>.","And you'd be, i-it would become an easy way of you to understand lang- to use language, like them.  So you definitely think they are speaking better than you.  <English>But other times it is possible to not be (laughing) like that</English>.",CS,Unmarked.,
,,Interviewer,,"Now, now you and your friends,","Now, now you and your friends,",,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,what issues do you talk about these days?,what issues do you talk about these days?,,,
,,Peter,0:21:58,"Ah, with my friends, we talk about eh, [uncertain transcription] future, we talk about girls,","Ah, with my friends, we talk about eh, [uncertain transcription] future, we talk about girls,",,,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,we talk about making money.,we talk about making money.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Ev- eh, either here or after school, ","Ev- eh, either here or after school, ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"because you're almost and eh, sometimes we don't avoid politics. Whether you are talking about what happened in nineteen ninety two, two thousand and two,   ","because you're almost and eh, sometimes we don't avoid politics. Whether you are talking about what happened in nineteen ninety two, two thousand and two,   ",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"or what you think will happen in twenty seventeen,","or what you think will happen in twenty seventeen,",,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,we can't avoid politics.,we can't avoid politics.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"And uh, <Swahili>magari pia</Swahili>. We talk about cars.","And uh, <English>cars also</English>. We talk about cars.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Eh.,Eh.,,,
,,Interviewer,,"<Swahili>Pengine mna madhumuni yapi mnavyo, mnapo ongea kuhusu mambo haya</Swahili>?",<English>Maybe what aim do you have when you talk about these things</English>?,,,
,,Peter,,"Aah. Probably, it's the age that we are in, because right now, we just coming out of school and <Swahili>tumeona watu</Swahili>.  We have seen experiences of people,","Aah. Probably, it's the age that we are in, because right now, we just coming out of school and <English>we have seen people</English>.  We have seen experiences of people,",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"people al-, people will tell you: aah, we did this when we are on our final year in  campus. ","people al-, people will tell you: aah, we did this when we are on our final year in  campus. ",,,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,"So we think: ah, if my cousin was able to buy a piece of land after campus, why can't we form a group at least, if I can't buy it myself, we buy it together.","So we think: ah, if my cousin was able to buy a piece of land after campus, why can't we form a group at least, if I can't buy it myself, we buy it together.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Then we can develop it, and, you know, have some money., because my cousin actually did that.","Then we can develop it, and, you know, have some money., because my cousin actually did that.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"Um, by the time <Swahili>alikuwa anamaliza</Swahili> campus, <Swahili>alikuwa amesave pesa na akanunua</Swahili> a piece of land.","Um, by the time <English>s/he was finishing</English> campus, <English>s/he had</English> save[d] <English>money and s/he bought</English> a piece of land.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,E ee.,E ee.,,,
,,Interviewer,,"<Swahili>Kuna baadhi ya marafiki amba- amba- ambao huwezi kuya- kuyaongea mambo haya</Swahili>, ","<English>There are some friends who you can't speak these things to</English>, ",,,
,,Peter,,Mhh.,Mhh.,,,
