Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs,Comments,
,,Amanda,,"No, as in-when I came to Nanyuki I already knew Kimeru but I didn’t know Kikuyu. And then after interacting with Kikuyus I learnt the Kikuyu language. But in the earlier stages, I could still mix like-tell you something ""give me that..phone"". Now I’m speaking in Kikuyu and then I ask for it in Kimeru unknowingly and then you correct me.","No, as in-when I came to Nanyuki I already knew Kimeru but I didn’t know Kikuyu. And then after interacting with Kikuyus I learnt the Kikuyu language. But in the earlier stages, I could still mix like-tell you something ""give me that..phone"". Now I’m speaking in Kikuyu and then I ask for it in Kimeru unknowingly and then you correct me.",,,
,,Interviewer,,"<Swahili>Na kunatofauti</Swahili> with the way you speak, with the: other-other: the way you talk with the other students?  Have you noticed? <Swahili>Tofauti yeyote</Swahili> between the way you talk and the way they talk?","<English>And is there a difference</English> with the way you speak, with the: other-other: the way you talk with the other students?  Have you noticed? <English>any difference</English> between the way you talk and the way they talk?",,,
,,Amanda,00:17:10mins,The difference between the way I talk and the way {other students talk}?,The difference between the way I talk and the way {other students talk}?,,,
,,Interviewer,,{Other students talk} ehn. Is there-have you noticed if there is a difference?,{Other students talk} ehn. Is there-have you noticed if there is a difference?,,,
,,Amanda,,"A sss-very slight one. Uuh, depending on whether I'm using Kiswahili. Like uh, when it's my classmates you know we use the <Swahili>Kiswahili Sanifu</Swahili>, maybe there's some vocabularies we heard a lecturer use and it's a new word that you are using and others don't know. So when others use ah, Kiswahili it might not be correct. It might not ah, be the <Swahili>Kiswahili sanifu</Swahili> so that can make the slight difference, but, yes.","A sss-very slight one. Uuh, depending on whether I'm using Kiswahili. Like uh, when it's my classmates you know we use the <English>Standard Swahili </English>, maybe there's some vocabularies we heard a lecturer use and it's a new word that you are using and others don't know. So when others use ah, Kiswahili it might not be correct. It might not ah, be the <English>standard Swahili</English> so that can make the slight difference, but, yes.",,,
,,Interviewer,,"Mmm, that is with, other students?","Mmm, that is with, other students?",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"Okay, but with students of Kiswahili majors, is there any difference?","Okay, but with students of Kiswahili majors, is there any difference?",,,
,,Amanda,,"Yea, like the: accents. You could be speaking the same Kiswahili referring to the same thing but the way you drive it home, is different.","Yea, like the: accents. You could be speaking the same Kiswahili referring to the same thing but the way you drive it home, is different.",,,
,,Interviewer,,Does Kiswahili have different accents? <Swahili label='elaboration'>Za tofauti?</Swahilii label='elaboration'>,Does Kiswahili have different accents? <English>Different?<English>,CS,SM: Elaboration.,
,,Amanda,,The: <Swahili>lahaja</Swahili>? ,The: <English>dialect</English>?,,,
,,Interviewer,,<Swahili>Lahaja</Swahili>?,<English>Dialect</English>?,,,
,,Amanda,,No.,No.,,,
,,Interviewer,,"<Swahili>Lahaja tofauti, ama ni-ama ni, kuna</Swahili>?","<English>Different dialect, or it is-it is, is there</English>?",,,
,,Amanda,,"<Swahili>Ndiyo. Kuna lahaja ya Kiunguja, Ki[uncertain transcription], Kipemba,</Swahili>","<English>Yes. There is the Unguja dialect, the [uncertain transcription], Pemba,<English>",,,
,,Interviewer,,"Yea, <Swahili>kunazo lakini labda namaanisha kati yenu nyinyi</Swahili>. Because you come from different-you don't even come from those which has [uncertain transcription]","Yea, <English>there are but maybe-I mean amongst you guys</English>. Because you come from different-you don't even come from those which has [uncertain transcription]",,,
,,Amanda,,Different places.,Different places.,,,
,,Interviewer,,So <Swahili>kunatofauti? Ya lahaja</Swahili>?,So <English>is there a difference? Of dialects</English>?,CS,,
,,Amanda,,<Swahili>Hapana</Swahili>.,<English>No</English>.,,,
,,Interviewer,,"No. But then, why are you saying that is a difference?","No. But then, why are you saying that is a difference?",,,
,,Amanda,,There's a way I can speak to imply the coasterian accent. We sometimes do that. Or I can just speak <Swahili label='exemplification'>kile Kiswahili cha darasani ama naweza nikazungumza kile Kiswahili tu cha</Swahili label='exemplification'>=,There's a way I can speak to imply the coasterian accent. We sometimes do that. Or I can just speak <English>that classroom Swahili or I can speak just that Swahili of</English>=,CS,SM: Exemplification. OLF: It is as if Amanda switched to Swahili to showcase the different Swahili she can speak.,
,,Interviewer,,"So it's possible for you to adjust and speak, change the way you speak your Kiswahili for different people and different occasions.","So it's possible for you to adjust and speak, change the way you speak your Kiswahili for different people and different occasions.",,,
,,Amanda,,"Yea, if uuh, you introduce yourself to me as a Swahili I'll switch. The same Kiswahili but the rising and the falling of my words will change.","Yea, if uuh, you introduce yourself to me as a Swahili I'll switch. The same Kiswahili but the rising and the falling of my words will change.",,,
,,Interviewer,,"Mmm, the tone.","Mmm, the tone.",,,
,,Amanda,,Yes. ,Yes. ,,,
,,Interviewer,,"Mm hmm. And is it, is it possible for you to tell that <Swahili>huyu mtu anatoka</Swahili> a certain area just from the way they talk?","Mm hmm. And is it, is it possible for you to tell that <English>this guy comes from </English> a certain area just from the way they talk?",,,
,,Amanda,,"Some:times yes, sometimes no. ","Some:times yes, sometimes no. ",,,
,,Interviewer,,"Tell me about those times that it is possible to tell? What-or how do you-how can you tell? That this person, huyu ""<Swahili label='quotation'>ai! Huyu ni wa Rift Valley. Na huyo, {huyo ni wa central}</Swahili label='quotation'>?""","Tell me about those times that it is possible to tell? What-or how do you-how can you tell? That this person,<English> ""This guy. Ai! This guy is from Rift Valley.  And that one, {that one is from Central}</English>?""",CS,SM: Quotation.,
,,Amanda,,"{Ni wa Central} There's aah, the accent. That is a: major part of=","{Ni wa Central} There's aah, the accent. That is a: major part of=",,,
,,Interviewer,,When you say accent what do you mean?,When you say accent what do you mean?,,,
,,Amanda,,The: the way you pronounce some words.,The: the way you pronounce some words.,,,
,,Interviewer,00:19:45mins,"What would a Kikuyu do, that a-that a-a Rift Valley person would not do?","What would a Kikuyu do, that a-that a-a Rift Valley person would not do?",,,
,,Amanda,,"Like uh, there are these words that are associated with the people from the Rift Valley. Like when Rudisha says <Swahili>fiatu fyangu</Swahili> that is Kiswahili but you can tell where he comes from.","Like uh, there are these words that are associated with the people from the Rift Valley. Like when Rudisha says <English>my shoes</English> that is Kiswahili but you can tell where he comes from.",,,
,,Interviewer,,(amusement in his voice) So you are talking about influence fro-by the mother tongue?,(amusement in his voice) So you are talking about influence fro-by the mother tongue?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Mm mmh.,Mm mmh.,,,
,,Amanda,,"If it's a: Kikuyu from the same <Swahili label='quotation'> fiatu fyangu, angesema kwa mfano ""viatu vyagu.""</Swahili label='quotation'>","If it's a: Kikuyu from the same <English> ny shoes would say for example ""my shoes.""</English>",CS,SM: Quotation. ,
,,Interviewer,,<Swahili>Viatu vyagu</Swahili>?,<English>my shoes</English>?,,,
,,Amanda,,Ndio. ,Ndio. ,,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Amanda,,You can tell it's-where they come from.,You can tell it's-where they come from.,,,
,,Interviewer,,Mm hmm. How a-how about anything else apart from that influence of mother tongue? Is it possible to tell?,Mm hmm. How a-how about anything else apart from that influence of mother tongue? Is it possible to tell?,,,
,,Amanda,,"No, that is what like stands out more than anything else here.","No, that is what like stands out more than anything else here.",,,
,,Interviewer,,Is there not a dif-there-is there no difference..in choice of words that people from this region  choose certain words?,Is there not a dif-there-is there no difference..in choice of words that people from this region  choose certain words?,,,
,,Amanda,,Yea.,Yea.,,,
,,Interviewer,,Mm. Is there such a thing?,Mm. Is there such a thing?,,,
,,Amanda,,"There's uh, that-let me call it a stereotype. That ah, for example the -those from Nyanza, if you hear them talk these big big like if it's money, they talk of millions and checks-","There's uh, that-let me call it a stereotype. That ah, for example the -those from Nyanza, if you hear them talk these big big like if it's money, they talk of millions and checks-",,,
,,Interviewer,,(laughs) They talk in terms of exxageration: and=,(laughs) They talk in terms of exxageration: and=,,,
,,Amanda,,"Yes, if it it's a car it has to be the supermodel, yea.","Yes, if it it's a car it has to be the supermodel, yea.",,,
,,Interviewer,,"So that if a person talks that way, you'll know that this is a Luo.","So that if a person talks that way, you'll know that this is a Luo.",,,
,,Amanda,,"You'll know it's a Luo, yes. And if ah-","You'll know it's a Luo, yes. And if ah-",,,
,,Interviewer,,"And a Kikuyu-what, how do they do it?","And a Kikuyu-what, how do they do it?",,,
,,Amanda,,Kikuyus have been stereotyped to be business oriented even in areas where no other person {would have thought of.},Kikuyus have been stereotyped to be business oriented even in areas where no other person {would have thought of.},,,
,,Interviewer,,{So most of the} <Swahili>msamiatis ni zile {za pesa}</Swahili>,{So most of the} <English>vocabulary is that {of money}</English>,CS,Unmarked.,
,,Amanda,,<Swahili>{Za pesa} na kazi. Eeh. </Swahili>,<English>{Of money} and work. Eeh. </English>,,,
,,Interviewer,,Mmh.,Mmh.,,,
,,Amanda,,"If it's a:-when it comes to food, they're very choosy on their chickens, you'll tell that's a Luya.  ","If it's a:-when it comes to food, they're very choosy on their chickens, you'll tell that's a Luya.  ",,,
,,Interviewer,,"(laughs) How about eh, the person from Rift Valley, Kalenjin?","(laughs) How about eh, the person from Rift Valley, Kalenjin?",,,
,,Amanda,,"Aah, apart from the:-","Aah, apart from the:-",,,
,,Interviewer,,Accent.,Accent.,,,
,,Amanda,,The accent...no I'm not sure about those from the rift valley.  ,The accent...no I'm not sure about those from the rift valley.  ,,,
,,Interviewer,,"But you 've interacted with them, I think=","But you 've interacted with them, I think=",,,
,,Amanda,,"Here in ah, school.","Here in ah, school.",,,
,,Interviewer,,Here in school.  Nanyuki they are not there?,Here in school.  Nanyuki they are not there?,,,
,,Amanda,,No. ,No. ,,,
,,Interviewer,,No. Okay.  Here in school=,No. Okay.  Here in school=,,,
,,Amanda,,"No, they are there very few.  {Unless}=","No, they are there very few.  {Unless}=",,,
,,Interviewer,,"{So} maybe it's a short while that you've interacted with them, you've not been able to tell that.","{So} maybe it's a short while that you've interacted with them, you've not been able to tell that.",,,
,,Amanda,,Yes. ,Yes. ,,,
,,Interviewer,,"And is it still possible like to tell the background of somebody, even if you can't see them? But you list-you are just listening=","And is it still possible like to tell the background of somebody, even if you can't see them? But you list-you are just listening=",,,
,,Amanda,,Listening=,Listening=,,,
,,Interviewer,,To-to talking.,To-to talking.,,,
,,Amanda,,"Yes, like ah, the example we have just given on the Luos. If a person is in a different room on a phonecall or just talking. Like eh, ""can you send my driver. And I don't want the Toyota I want the Mercedes this time round"". You can tell where that=","Yes, like ah, the example we have just given on the Luos. If a person is in a different room on a phonecall or just talking. Like eh, ""can you send my driver. And I don't want the Toyota I want the Mercedes this time round"". You can tell where that=",,,
,,Interviewer,,Mm hmm. And they usually would be loud so that the people hear.,Mm hmm. And they usually would be loud so that the people hear.,,,
,,Amanda,,Definitely. Yea. Or I am sorry I forgot to sign the ten million check I was suppposed to sign.,Definitely. Yea. Or I am sorry I forgot to sign the ten million check I was suppposed to sign.,,,
,,Interviewer,,(laughs) Yea. So that one would be a Luo. ,(laughs) Yea. So that one would be a Luo. ,,,
,,Amanda,,"Yes, that would be a Luo.","Yes, that would be a Luo.",,,
,,Interviewer,,And it's the same also for a Kikuyu discussing issues to do with mbesha?,And it's the same also for a Kikuyu discussing issues to do with mbesha?,,,
,,Amanda,,Yes.,Yes.,,,
,Education,Interviewer,0:22:50mins,"How about things like eh: level of education of somebody?  Can you tell, without seeing them? They're just talking? Can you tell that this person reached a certain level of education? Or…is it possible?","How about things like eh: level of education of somebody?  Can you tell, without seeing them? They're just talking? Can you tell that this person reached a certain level of education? Or…is it possible?",,,
,,Amanda,,"So, not really a: a likely to happen. And even if you tell the level of education I might not be able to tell you ""these are class two-""","So, not really a: a likely to happen. And even if you tell the level of education I might not be able to tell you ""these are class two-""",,,
,,Interviewer,,"Not specifically, I'm just saying-primary level for example. Compared to somebody in secondary level or univeristy level. Is it possible?","Not specifically, I'm just saying-primary level for example. Compared to somebody in secondary level or univeristy level. Is it possible?",,,
,,Amanda,,"Yea, like uh, if there are three students, one a university student in campus, they-there's ah things that will stand out in a conversation with such a person. ","Yea, like uh, if there are three students, one a university student in campus, they-there's ah things that will stand out in a conversation with such a person. ",,,
,,Interviewer,,Mmm.,Mmm.,,,
,,Amanda,,"Like uh, talk of ah, lectures. Ah, these courses, the exam cards, you know the vocabulary. If it's a person in ah, high school, the funkees stand out. The going outs of the symposiums, the functions that they go, {the sports}","Like uh, talk of ah, lectures. Ah, these courses, the exam cards, you know the vocabulary. If it's a person in ah, high school, the funkees stand out. The going outs of the symposiums, the functions that they go, {the sports}",,,
,,Interviewer,,{The funkees are functions?},{The funkees are functions?},,,
,,Amanda,,"Yes. It's-they really enjoy those opportunities to go out of school so they will always talk ""<Swahili label='quotation'>eh, na hiyo funkee ilikuaje?"" ""Ah, hiyo shule…""</Swahili label='quotation'>=","Yes. It's-they really enjoy those opportunities to go out of school so they will always talk ""<English>eh, and how was that party?"" ""Ah, that school…""</English>=",CS,SM: Quotation.,
,,Interviewer,,Did you used to enjoy yourself?,Did you used to enjoy yourself?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,You did. You went for those funkees.,You did. You went for those funkees.,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,But you-didn't you- don’t you enjoy them now?,But you-didn't you- don’t you enjoy them now?,,,
,,Amanda,,Here when I=,Here when I=,,,
,,Interviewer,,Or it's not so much of a big deal?,Or it's not so much of a big deal?,,,
,,Amanda,,Not so much of-you know the socializing part of it is at it's peak in high school. ,Not so much of-you know the socializing part of it is at it's peak in high school. ,,,
,,Interviewer,,In high school.,In high school.,,,
,,Amanda,,"So that if you're making a list of the schools to come, boy's school have to be more if the school inviting them is a girls' school.","So that if you're making a list of the schools to come, boy's school have to be more if the school inviting them is a girls' school.",,,
,,Interviewer,,"Aah, okay. Aren't you-are you one of the people organizing these things? (laughter) You must have been.","Aah, okay. Aren't you-are you one of the people organizing these things? (laughter) You must have been.",,,
,,Amanda,,"I happen to have been a prefect so, {I did organize} some. ","I happen to have been a prefect so, {I did organize} some. ",,,
,,Interviewer,,{So you were involved},{So you were involved},,,
,,Amanda,,And for some of them we were organzied by the principle and the deputy. Like they used to like the: Kenya High girls interacting with the Alliance Boys. {So if you're making a list}=,And for some of them we were organzied by the principle and the deputy. Like they used to like the: Kenya High girls interacting with the Alliance Boys. {So if you're making a list}=,,,
,,Interviewer,,{So you're from Kenya High}? You were in Kenya High?,{So you're from Kenya High}? You were in Kenya High?,,,
,,Amanda,,"Yes. So if you're making a list, make sure Alliance is there and Starehe, that one the principle will sign.","Yes. So if you're making a list, make sure Alliance is there and Starehe, that one the principle will sign.",,,
,,Interviewer,,"Mm mmh. Aah, okay but if you write these other funny, funny:=","Mm mmh. Aah, okay but if you write these other funny, funny:=",,,
,,Amanda,,Schools. They might end up not signing.,Schools. They might end up not signing.,,,
,,Interviewer,,Not signing for those. They want you to: {interact with the},Not signing for those. They want you to: {interact with the},,,
,,Amanda,,Interact {with the bigger} people then we were.,Interact {with the bigger} people then we were.,,,
,Power/Language,Interviewer,,Ok. Yes. How about something like somebody's position in the society?,Ok. Yes. How about something like somebody's position in the society?,,,
,,Amanda,00:25:24mins,"Yea, just like ah, education, a person could be speaking of ah: my servants, my secretary, and uh, that one is only available for the big=","Yea, just like ah, education, a person could be speaking of ah: my servants, my secretary, and uh, that one is only available for the big=",,,
,,Interviewer,,What if you have a common topic?,What if you have a common topic?,,,
,,Amanda,,Eh he?,Eh he?,,,
,,Interviewer,,"That-that this manager is talking about? And eh, this eh: cleaner, eh? Of the same organization is talking about. You give them the same topic, to discuss. Can you tell the dif-that this one is-…","That-that this manager is talking about? And eh, this eh: cleaner, eh? Of the same organization is talking about. You give them the same topic, to discuss. Can you tell the dif-that this one is-…",,,
,,Amanda,,Yes. Like=,Yes. Like=,,,
,,Interviewer,,"Just a normal topic, {about for example} your typical day or something like what? The best day you have had? Is it possible to tell?","Just a normal topic, {about for example} your typical day or something like what? The best day you have had? Is it possible to tell?",,,
,,Amanda,,"{Yes, let's say its aah}Yes, if it's about-this is a manager, and a cleaner. If a cleaner was to speak about their best day in life-this is a low income, <Swahili label='elaboration'>hana</Swahili label='elaboration'>. They could be speaking of, the way they bought-","{Yes, let's say its aah}Yes, if it's about-this is a manager, and a cleaner. If a cleaner was to speak about their best day in life-this is a low income, <English>he has not</English>. They could be speaking of, the way they bought-",CS,SM: Elaboration. OLF: Amanda may have felt that 'hana' might drive the point of the 'have nots' better than the term 'low income'.,
,,Interviewer,,"Okay, forget about-that one is easy. Let's just say a topic.. or we give them a verse to read from the bible, both of them. Can you tell?","Okay, forget about-that one is easy. Let's just say a topic.. or we give them a verse to read from the bible, both of them. Can you tell?",,,
,,Amanda,,From the way they read?,From the way they read?,,,
,,Interviewer,,Yea.,Yea.,,,
,,Amanda,,"Mm, it depends with the verse.  ","Mm, it depends with the verse.  ",,,
,,Interviewer,,Mm.,Mm.,,,
,,Amanda,,"Like uh, this one for the poor man and the rich man, this Lazarus. The way they-the verse-the same verse will have an impact on them, differently. So if the: the rich-this manager is to read and see that the rich man in the bible ended up in hell, he will not be enthusiastic or he will not be excited about the verse. But for the cleaner, ha-he-he has some hope. He knows he has a future ah, place that he's heading to. ","Like uh, this one for the poor man and the rich man, this Lazarus. The way they-the verse-the same verse will have an impact on them, differently. So if the: the rich-this manager is to read and see that the rich man in the bible ended up in hell, he will not be enthusiastic or he will not be excited about the verse. But for the cleaner, ha-he-he has some hope. He knows he has a future ah, place that he's heading to. ",,,
,,Interviewer,,"Let's look at it in another way, you have two people speaking about politics. And they don't mention that I am jubilee and you are O, can you tell from the way they-they are talking that this is Jubilee-this one must be Jubilee and this other one-without mention-they don't mention their party.","Let's look at it in another way, you have two people speaking about politics. And they don't mention that I am jubilee and you are O, can you tell from the way they-they are talking that this is Jubilee-this one must be Jubilee and this other one-without mention-they don't mention their party.",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Is it possible?,Is it possible?,,,
,,Amanda,,In some cases it is.,In some cases it is.,,,
,,Interviewer,,"Mm hmm. Yea, how?","Mm hmm. Yea, how?",,,
,,Amanda,,"Like during the campaigns for example, you: could talk of their manifestos for example. Like I can't wait for those laptops. I can't wait for this and this ah, to happen. Or in the CHORD, for example you can talk of ""<Swahili>eh hii ni</Swahili> time <Swahili>ya Waagwambu</Swahili>"". Yea. You have not mentioned, but I can tell, <Swahili>huyu ni wa CHORD. Huyu ni wa Jubilee</Swahili>. ","Like during the campaigns for example, you: could talk of their manifestos for example. Like I can't wait for those laptops. I can't wait for this and this ah, to happen. Or in the CHORD, for example you can talk of ""<English>this is the</English> time <English>of Agwambu</English>"". Yea. You have not mentioned, but I can tell, <English>this guy is of CHORD. This guy is of Jubilee</English>",,,
,,Interviewer,,So you: you said you speak around four languages? Is it four or five?,So you: you said you speak around four languages? Is it four or five?,,,
,,Amanda,,Four.,Four.,,,
,,Interviewer,,Four. So do you speak these different languages to different people? ,Four. So do you speak these different languages to different people? ,,,
,,Amanda,,Definitely. Yes I do.,Definitely. Yes I do.,,,
,,Interviewer,,Give me examples again. I know probably you have mentioned this but you can just tell me again.,Give me examples again. I know probably you have mentioned this but you can just tell me again.,,,
,,Amanda,,"If uh, when it comes to English, I use English with uh- especially on official business, I can use it with my lecturers apart from my Kiswahili ones. In aah, o-o- governmental offices because Kiswahili has been discouraged enough times. I can also use it aah, when speaking {to my parents}.","If uh, when it comes to English, I use English with uh- especially on official business, I can use it with my lecturers apart from my Kiswahili ones. In aah, o-o- governmental offices because Kiswahili has been discouraged enough times. I can also use it aah, when speaking {to my parents}.",,,
,,Interviewer,,{Which you are not happy about?} ,{Which you are not happy about?} ,,,
,,Amanda,,"Yes. Definiteley.  Then when it comes to Kiswahili I use Kiswahili mostly when talking to my classmates, lectureres, um...ya. (interviewer yawns)","Yes. Definiteley.  Then when it comes to Kiswahili I use Kiswahili mostly when talking to my classmates, lectureres, um...ya. (interviewer yawns)",,,
,,Interviewer,,Kiswahili lecturers.,Kiswahili lecturers.,,,
,,Amanda,,"Kiswahii lectureres.  Yes. Aah, mother tongue I can use it with my friends at home or - in a lighter note like the way you had mentioned on aah, asking for salt in a cafeteria I can use that one. Sometimes you just want to remind yourself about home and ""eh, you're a Meru?"" we switch.","Kiswahii lectureres.  Yes. Aah, mother tongue I can use it with my friends at home or - in a lighter note like the way you had mentioned on aah, asking for salt in a cafeteria I can use that one. Sometimes you just want to remind yourself about home and ""eh, you're a Meru?"" we switch.",,,
,,Interviewer,,So these languages have different targets in everyday life. ,So these languages have different targets in everyday life. ,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"Why is that, the case?","Why is that, the case?",,,
,,Amanda,29:42,Apart from the fact that-you see sometimes it's not everyone who will understand the Kikuyu I'm speaking. ,Apart from the fact that-you see sometimes it's not everyone who will understand the Kikuyu I'm speaking. ,,,
,,Interviewer,,Mm hmm.,Mm hmm.,,,
,,Amanda,,"That one rules out the Kikuyu in a certain, ah, topic.  Ehh, same case with=","That one rules out the Kikuyu in a certain, ah, topic.  Ehh, same case with=",,,
,,Interviewer,,What if we are talking about people who understand?,What if we are talking about people who understand?,,,
,,Amanda,,"Aah, Kikuyu?","Aah, Kikuyu?",,,
,,Interviewer,,"No. Well-ok let's say, people will under-let's say Kiswahili because everybody does understand.","No. Well-ok let's say, people will under-let's say Kiswahili because everybody does understand.",,,
,,Amanda,,"Does understand Kiswahili. I: have mentioned where it's discouraged. Even when it's a-a-approved on writing that ""Kiswahili is accepted in this office"". And when you speak the Kiswahili It's not very much appreciated. So that one, pushed-pushes you to speaking in-in English. Yea.","Does understand Kiswahili. I: have mentioned where it's discouraged. Even when it's a-a-approved on writing that ""Kiswahili is accepted in this office"". And when you speak the Kiswahili It's not very much appreciated. So that one, pushed-pushes you to speaking in-in English. Yea.",,,
,,Interviewer,,"You told me that you can, change your Kiswahili?","You told me that you can, change your Kiswahili?",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,And speak to a certain person in a different Kiswahili. Have you ever-do you  have-do you do that often?,And speak to a certain person in a different Kiswahili. Have you ever-do you  have-do you do that often?,,,
,,Amanda,,There's ah=,There's ah=,,,
,,Interviewer,,And why-why do you do that?,And why-why do you do that?,,,
,,Amanda,,"Aah, first ah, I do that to associate with the person I'm speaking to. You could be speaking very fine Kiswahili really correct, as=","Aah, first ah, I do that to associate with the person I'm speaking to. You could be speaking very fine Kiswahili really correct, as=",,,
,,Interviewer,,"Mm hmm. So you always feel this urge to-to be like the person you are talking to. {To speak, to talk like them}","Mm hmm. So you always feel this urge to-to be like the person you are talking to. {To speak, to talk like them}",,,
,,Amanda,,"{And that's why I have ah}, learned so many languages.  I speak-for vernaculars I can speak Kikuyu and Kimeru, fluently. I also speak ah-and I hear Kiluya yote. ","{And that's why I have ah}, learned so many languages.  I speak-for vernaculars I can speak Kikuyu and Kimeru, fluently. I also speak ah-and I hear Kiluya yote. ",,,
,,Interviewer,,You hear Kiluya? {How did that happen?},You hear Kiluya? {How did that happen?},,,
,,Amanda,,"Yes. {But for speaking} I had some neighbors (laughs), some Luya neighbors.","Yes. {But for speaking} I had some neighbors (laughs), some Luya neighbors.",,,
,,Interviewer,,So you interacted with them a lot?,So you interacted with them a lot?,,,
,,Amanda,,"Yes. So I can hear Luya but I c-when it comes to speaking it's not that much.  From that urge of you're speaking Kiluya ""what do you call this in Kiluya?"" So I end up learning.","Yes. So I can hear Luya but I c-when it comes to speaking it's not that much.  From that urge of you're speaking Kiluya ""what do you call this in Kiluya?"" So I end up learning.",,,
,,Interviewer,,You end up picking some things along the way. ,You end up picking some things along the way. ,,,
,,Amanda,,Yea.,Yea.,,,
,,Interviewer,,"Mm hmm. What are you discussing? Now, I mean in-with your friends-in class?","Mm hmm. What are you discussing? Now, I mean in-with your friends-in class?",,,
,,Amanda,,In class right now-,In class right now-,,,
,,Interviewer,,"Over the course of the semester, what are you discussing? Which topics?","Over the course of the semester, what are you discussing? Which topics?",,,
,,Amanda,,"Aah, this semester the main topic has been on ah, the way the semester has been so compressed.  Everything {comes at-coming at the same time}. ","Aah, this semester the main topic has been on ah, the way the semester has been so compressed.  Everything {comes at-coming at the same time}. ",,,
,,Interviewer,00:32:00mins,{What are they saying?} ,{What are they saying?} ,,,
,,Amanda,,"We are still doing cards, this is the last week before exams. We still have cards, we still have assignments, the exam is on Monday, I'm from a class. So there are classes, assignments, cuts, and the exam is coming-","We are still doing cards, this is the last week before exams. We still have cards, we still have assignments, the exam is on Monday, I'm from a class. So there are classes, assignments, cuts, and the exam is coming-",,,
,,Interviewer,,So what are students saying that they feel-,So what are students saying that they feel-,,,
,,Amanda,,"The exam should have been pushed two weeks farther. We are overloaded, you know. Yea.","The exam should have been pushed two weeks farther. We are overloaded, you know. Yea.",,,
,,Interviewer,,"But what if they are not moved, will you do the exams again?","But what if they are not moved, will you do the exams again?",,,
,,Amanda,,"Yea, we will still-actually we are ready for the exams.","Yea, we will still-actually we are ready for the exams.",,,
,,Interviewer,,You are ready. (Sounds amused)But why are you asking for extra time if you are ready for exams.,You are ready. (Sounds amused)But why are you asking for extra time if you are ready for exams.,,,
,,Amanda,,"(laughing) We have already covered them with stressful part of it, where assignments and cuts and lessons were coming at the same time and the time table is already out.","(laughing) We have already covered them with stressful part of it, where assignments and cuts and lessons were coming at the same time and the time table is already out.",,,
,,Interviewer,,"Mm but I'm sure even if it's a question of the semester being short, it's not the only topic you talk {about. It's not} only academics when you are in the hostel with your friends?","Mm but I'm sure even if it's a question of the semester being short, it's not the only topic you talk {about. It's not} only academics when you are in the hostel with your friends?",,,
,,Amanda,,"{Yea, definitely}.  Yea-for-apart from the major ones, these ones of the semester. There's ah, the issue of relationships as youths. There's fashion, <Swahili>vipindi</Swahili>, the new soap operas.","{Yea, definitely}.  Yea-for-apart from the major ones, these ones of the semester. There's ah, the issue of relationships as youths. There's fashion, <English>television shows</English>, the new soap operas.",,,
,,Interviewer,,Those are-those are the things you discuss?,Those are-those are the things you discuss?,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,"Do you-do you discuss things like ""hey, I want to be…presenter, a Swahili news anchor in the future.""","Do you-do you discuss things like ""hey, I want to be…presenter, a Swahili news anchor in the future.""",,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,,Things like that. ,Things like that. ,,,
,,Amanda,,Yes.,Yes.,,,
,,Interviewer,00:33:23mins,"By now you're third year, just one more year to go. What do you want to be, what do you want to do when you finish?","By now you're third year, just one more year to go. What do you want to be, what do you want to do when you finish?",,,
,,Amanda,,I=,I=,,,
,,Interviewer,,Your degree?,Your degree?,,,
,,Amanda,,"As a person I want to ah, join journalism. And ah, the Kiswahili part of it. And then for part-time I=","As a person I want to ah, join journalism. And ah, the Kiswahili part of it. And then for part-time I=",,,
,,Interviewer,,Print or electronic?,Print or electronic?,,,
,,Amanda,,No. Electronic or=Y,No. Electronic or=Y,,,
,,Interviewer,,You want to be seen on TV?,You want to be seen on TV?,,,
,,Amanda,,"Eeh, not really anchoring. {I’m interested in the} collecting of news and the reporting.","Eeh, not really anchoring. {I’m interested in the} collecting of news and the reporting.",,,
,,Interviewer,,"{Reporting}.  Ah haa. Okay. But what if that doesn't work out, what will you do?","{Reporting}.  Ah haa. Okay. But what if that doesn't work out, what will you do?",,,
,,Amanda,,"I can be a translator and ah, to have an added advantage on that I want to study-to have a diploma in Spanish.","I can be a translator and ah, to have an added advantage on that I want to study-to have a diploma in Spanish.",,,
,,Interviewer,,Wow.,Wow.,,,
,,Amanda,,"So that I translate from English, Kiswahili, Spanish. If again that one doesn't work out, umm, a writer.","So that I translate from English, Kiswahili, Spanish. If again that one doesn't work out, umm, a writer.",,,
,,Interviewer,,"Wow. You seem to have eh, plan-so many plans.  So if plan A fails, B, there's C is also there.  Writer.  You want to write books?","Wow. You seem to have eh, plan-so many plans.  So if plan A fails, B, there's C is also there.  Writer.  You want to write books?",,,
