Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
,,Alvin,,"Maybe interacting for instance you are watching a football match at the student center, you are watching a game.  So you know:, you're like there and you're talking=","Maybe interacting for instance you are watching a football match at the student center, you are watching a game.  So you know:, you're like there and you're talking=",,
,,Interviewer,,What expressions would you like say: for example commenting about the match?,What expressions would you like say: for example commenting about the match?,,
,,Alvin,,"The match like ""<Swahili label='quotation'>Huyu jamaa ametoa shoti poa</Swahili label='quotation'>"" so=","The match like ""<English>This guy kicked a good shot</English>"" so=",CS,SM: Quotation.
,,Interviewer,,<Swahili>Ametoa shoti poa</Swahili>.,<English>A good shot</English>.,,
,,Alvin,,"So like that you know it's like if you were to say ""<Swahili label='quotation'>Eh huyu jamaa eh mcharazo wake ni mzuri</Swahili label='quotation'>"", people would like-(they both laugh).","So like that you know it's like if you were to say ""<English>Eh this guy, his style is nice</English>"", people would like-(they both laugh).",CS,SM: Quotation.
,,Interviewer,,"Yea, you'd-you'd feel just awkward and out of place. ","Yea, you'd-you'd feel just awkward and out of place. ",,
,,Alvin,,"And uh, another instance that I find myself mixing, maybe I approach a-I have interest in a lady. And then I approach her.  So you know you'll feel like- you want to:-you're there you're vibing and you're all in Kiswahili ""<Swahili label='quotation'>Habari yako? Nini</Swahili label='quotation'>"" so it's like-it's not-it's boring. It doesn't fit that context.  ","And uh, another instance that I find myself mixing, maybe I approach a-I have interest in a lady. And then I approach her.  So you know you'll feel like- you want to:-you're there you're vibing and you're all in Kiswahili ""<English>How are you? And whatnot</English>"" so it's like-it's not-it's boring. It doesn't fit that context.  ",CS,SM: Quotation.
,,Interviewer,,Yea. Mm mhh. ,Yea. Mm mhh. ,,
,,Alvin,,"And another time I find myself mixing in a conversation-I find myself mixing Dholuo, and uuh, English.  Maybe I have a friend whom we come from home. So as we talk, you know at times you-there's times you want to talk in a conversation and you want to look for a word.  So: you're looking for a word and it's like not coming and you see this is a Luo we are talking to, you go for the word that is easily available because you've grown in that Luo and a lot of uuh, vocabulary you-you have them ready.","And another time I find myself mixing in a conversation-I find myself mixing Dholuo, and uuh, English.  Maybe I have a friend whom we come from home. So as we talk, you know at times you-there's times you want to talk in a conversation and you want to look for a word.  So: you're looking for a word and it's like not coming and you see this is a Luo we are talking to, you go for the word that is easily available because you've grown in that Luo and a lot of uuh, vocabulary you-you have them ready.",,
,,Interviewer,,You have them ready.,You have them ready.,,
,,Alvin,00:16:41mins,"So when you want to talk and you are like looking for a word, and it's not coming, and you see there's a Luo so you go for the Luo word and you put it in the conversation.","So when you want to talk and you are like looking for a word, and it's not coming, and you see there's a Luo so you go for the Luo word and you put it in the conversation.",,
,,Interviewer,,"So: what you're telling me is, during a football match, English, Kiswahili.","So: what you're telling me is, during a football match, English, Kiswahili.",,
,,Alvin,,"English, Kiswahili.","English, Kiswahili.",,
,,Interviewer,,"But interestingly when you are-when it is Luo, it's English.  Why English and not Luo and Kiswahili?","But interestingly when you are-when it is Luo, it's English.  Why English and not Luo and Kiswahili?",,
,,Alvin,,"I think, it's there. It depe-and most of my friends, here, they are people they say that uh ""<Swahili label='quotation'>Kiswahili, hata wewe: mbona unasomea Kiswahili?</Swahili label='quotation'>"" They shy away from Kiswahili.  So that's why English comes in.   ","I think, it's there. It depe-and most of my friends, here, they are people they say that uh ""<English>Swahili, and you! How come you're studying Swahili?</English>"" They shy away from Kiswahili.  So that's why English comes in.   ",CS,SM: Quotation.
,,Interviewer,,"There is something that Luos have against Kiswahili that, I don’t know.","There is something that Luos have against Kiswahili that, I don’t know.",,
,,Alvin,,"I-it's the same thing that uuh- that's why when-for instance me when I get back at home people ask you ""what are you studying at the university?""","I-it's the same thing that uuh- that's why when-for instance me when I get back at home people ask you ""what are you studying at the university?""",,
,,Interviewer,,You tell them Kiswahili.,You tell them Kiswahili.,,
,,Alvin,,"""<Swahili>Kiswahili. Eh! Utawezana nayo</Swahili>"" (they both laugh)","""<English>Swahili. Eh! Will you be able to handle it</English>"" (they both laugh)",,
,,Interviewer,,They can't believe. (laughing),They can't believe. (laughing),,
,,Alvin,,"<Swahili> Yea.  Wewe utawezana nayo kweli? Nawaambia ""mimi nafikiri Kingereza ninachofahamu kimenitosha</Swahili>"".  ","<English> Yea.  Will you really be able to handle it? I tell them, ""I think that the English that I know is enough for me</English>.  ",,
,,Interviewer,,<Swahili>Kimenitosha</Swahili>.,<English>Is enough for me</English>.,,
,,Alvin,,"""<Swahili>Sasa sasa hivi, nataka nijifunze {Kiswahili}</Swahili>""","""<English>Right now, I want to learn {Swahili}</English>""",,
,,Interviewer,,<Swahili>{Kiswahili} kwa kindani</Swahili>,<English>{Swahili} from the inside</English>,,
,,Alvin,,Eeh. ,Eeh. ,,
,,Interviewer,,So most of the people there would be: shying away from Kiswahili. Mostly preferring English.,So most of the people there would be: shying away from Kiswahili. Mostly preferring English.,,
,,Alvin,,English.,English.,,
,,Interviewer,,"And uh, why do you mix these languages, maybe you have said it but just-just tell me again like why? Why?","And uh, why do you mix these languages, maybe you have said it but just-just tell me again like why? Why?",,
,,Alvin,00:18:05mins,"Now, first I think it's to fit a context. Because for one, let me just tell you the example I gave you.  Maybe I’m interested in a lady, and I want to approach her. So when I approach her, it's like-when I use ah=","Now, first I think it's to fit a context. Because for one, let me just tell you the example I gave you.  Maybe I’m interested in a lady, and I want to approach her. So when I approach her, it's like-when I use ah=",,
,,Interviewer,,But not all ladies speak Sheng.  Not all of them. But are you just attracted to those ones that=(interrupted by laughter),But not all ladies speak Sheng.  Not all of them. But are you just attracted to those ones that=(interrupted by laughter),,
,,Alvin,,Aah no.,Aah no.,,
,,Interviewer,,Because you would find one who is probably so: conservative.  ,Because you would find one who is probably so: conservative.  ,,
,,Alvin,,Yea. Mm. But=,Yea. Mm. But=,,
,,Interviewer,,"She's very conservative.  You try to use Sheng, she-she-","She's very conservative.  You try to use Sheng, she-she-",,
,,Alvin,,English. Yea but mostly-the ones I-I don’t know. Mostly-most ladies use Sheng. ,English. Yea but mostly-the ones I-I don’t know. Mostly-most ladies use Sheng. ,,
,,Interviewer,,Or they are attracted. Or even these conservative ones they might even be attracted to that guy who can speak Sheng. ,Or they are attracted. Or even these conservative ones they might even be attracted to that guy who can speak Sheng. ,,
,,Alvin,,Speak Sheng uh?,Speak Sheng uh?,,
,,Interviewer,,Mmm!,Mmm!,,
,,Alvin,,"And you know Sheng there are categories of the lighter Sheng and there are some Sheng which like he! Somebody talks and you're like, you floating and you don't [uncertain transcription]-","And you know Sheng there are categories of the lighter Sheng and there are some Sheng which like he! Somebody talks and you're like, you floating and you don't [uncertain transcription]-",,
,,Interviewer,,So which one do you speak yourself?,So which one do you speak yourself?,,
,,Alvin,,My Sheng is just the normal one.  Not the Sheng that <Swahili>undani kabisaaa</Swahili>,My Sheng is just the normal one.  Not the Sheng that <English>the insider one</English>,CS,Unmarked.
,,Interviewer,,Mm. And are there students who speak that one that you-,Mm. And are there students who speak that one that you-,,
,,Alvin,,"Definitely there are people who maybe they have grown-because if somebody speaks Sheng, you are able to tell 'this grew up in a particular setting. This one has grown up-{eeh entire of his life in Nairobi}. ""","Definitely there are people who maybe they have grown-because if somebody speaks Sheng, you are able to tell 'this grew up in a particular setting. This one has grown up-{eeh entire of his life in Nairobi}. """,,"Where the transcription was uncertain/inaudible, the interviewer was particularly disruptive, talking over Alvin, trying to complete his sentence or cut it short.  However, Alvin was adamant about completing his thought and he continued over interviewer. For a short time, it was hard to hear either one since both were talking at once. "
,,Interviewer,,{So those ones are the strong Sheng.},{So those ones are the strong Sheng.},,
,,Alvin,,The strong Sheng. <Swahili>Utaona huyu</Swahili>=,The strong Sheng. <English>You will see that this one</English>=,CS,Unmarked.
,,Interviewer,,From where?,From where?,,
,,Alvin,,"<Swahili>Utaona huyu, ni kama ameleleka amezaliwa Nairobi: akaleleka huko ama kama ni</Swahili> maybe Kisumu: <Swahili>akazaliwa huko akaleleka huko</Swahili>. ","<English>You will see that this one, it is like he/she was raised in Nairobi, he/she was raised there like it's</English> maybe Kisumu: <English>he/she was born and raised there</English>. ",CS,Unmarked.
,,Interviewer,,Mm mmh.,Mm mmh.,,
,,Alvin,,"Again there's a Sheng maybe you: <Swahili>utaona aah huyo anavyozungumza Sheng, sio mtu ameleleka mjini. Huyu labda alikuwa tu kule mjini-ah! Kijijini. Amekuwa kule lakini sasa ndio anajifunza kuzungumza</Swahili>=","Again there's a Sheng maybe you: <English>you will see, aah, that person they way he/she speaks Sheng, he/she is not a person who was raised in the city.  This person maybe was out there in the city-ah, the rural.  He/she has grown up there but now he/she is just learning to speak</English>=",CS,Unmarked.
,,Interviewer,,<Swahili label='accomodation'>Anajifunza Sheng pole pole.  Eeh?</Swahili label='accomodation'> Okay.,<English>He is slowly learning Sheng.  Eeh?</English> Okay.,CS,SM: Accomodation.
,,Alvin,,So you're able to tell the difference.,So you're able to tell the difference.,,
,,Interviewer,,Mm mmh. ,Mm mmh. ,,
,,Alvin,,Yea. ,Yea. ,,
,,Interviewer,,Okay.  So: when it's an issue of approaching a lady Sheng is=,Okay.  So: when it's an issue of approaching a lady Sheng is=,,
,,Alvin,,Sheng is preferred.   ,Sheng is preferred.   ,,
,,Interviewer,,An advantage. (they both laugh),An advantage. (they both laugh),,
,,Alvin,,Yea. (laughing conspiritorially),Yea. (laughing conspiritorially),,
,,Interviewer,,"That's interesting. Okay, these ladies, I thought some of them just prefer English. They are those ones that just speak English almost throughout.","That's interesting. Okay, these ladies, I thought some of them just prefer English. They are those ones that just speak English almost throughout.",,
,,Alvin,00:20:04mins,"You're able to tell.  No. You're able to tell. There are ladies you see, you'll tell=","You're able to tell.  No. You're able to tell. There are ladies you see, you'll tell=",,
,,Interviewer,,So you would not approach those ones? ,So you would not approach those ones? ,,
,,Alvin,,You know:,You know:,,
,,Interviewer,,Cuz they are there=,Cuz they are there=,,
,,Alvin,,You'll now change your tactics.,You'll now change your tactics.,,
,,Interviewer,,"Ooh, okay. (they both laugh heartily). It's about tactics heh?","Ooh, okay. (they both laugh heartily). It's about tactics heh?",,
,,Alvin,,"Yea, you don't change=","Yea, you don't change=",,
,,Interviewer,,So you have to be clever.  You know your target=,So you have to be clever.  You know your target=,,
,,Alvin,,"You say ""hi"".  There are those who say""hi"", <Sheng label='exemplification'>poa</Sheng label='exemplification'>. So you know you're like eh!","You say ""hi"".  There are those who say""hi"", <English>cool</English>. So you know you're like eh!",CS,SM: Exemplification.
,,Interviewer,,"Ok. You try to say ""<Swahili label='quotation'>sasa</Swahili label='quotation'>"" they say ""hi""?","Ok. You try to say <English>what's up</English> they say ""hi""?",CS,SM: Quotation.
,,Alvin,,Hi.,Hi.,,
,,Interviewer,,So what do you do?,So what do you do?,,
,,Alvin,,"See yea, those ones you're purely English.","See yea, those ones you're purely English.",,
,,Interviewer,,So you mean you're flexible.  You can=,So you mean you're flexible.  You can=,,
,,Alvin,,"With me I think I'm flexible, I can adjust.","With me I think I'm flexible, I can adjust.",,
,,Interviewer,,You can move very quickly to the 'hi'.,You can move very quickly to the 'hi'.,,
,,Alvin,,"And now I have an advantage because if it's Swahili, she starts Swahili, I think I'll also be okay.  If it's English, I'll again be okay.","And now I have an advantage because if it's Swahili, she starts Swahili, I think I'll also be okay.  If it's English, I'll again be okay.",,
,,Interviewer,,And your Sheng also is there?,And your Sheng also is there?,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Oh okay.  Is there a difference you feel when like-or you notice between the way you talk and the way other students talk?,Oh okay.  Is there a difference you feel when like-or you notice between the way you talk and the way other students talk?,,
,,Alvin,,At times I do notice. ,At times I do notice. ,,
,,Interviewer,,Eh he? What kind of differences?,Eh he? What kind of differences?,,
,,Alvin,,"Differences is, uh-for instance my accent.","Differences is, uh-for instance my accent.",,
,,Interviewer,,Mm mh.,Mm mh.,,
,,Alvin,,"I'm not saying that I'm that good but uuh, when maybe a Luo speaks, you know the Luo, Dholuo, I'm a Luo, the way the Luo speaks is just known. If it's commission <Swahili label='exemplification'>anasema ""komison""</Swahili label='exemplification'> (laughter), so they are those they are here.  They are those who speak that. You are able to:=","I'm not saying that I'm that good but uuh, when maybe a Luo speaks, you know the Luo, Dholuo, I'm a Luo, the way the Luo speaks is just known. If it's commission <English>he says ""komison""</English> (laughter), so they are those they are here.  They are those who speak that. You are able to:=",CS,SM: Exemplification.
,,Interviewer,,And people from other regions?,And people from other regions?,,
,,Alvin,,People from other regions=,People from other regions=,,
,,Interviewer,,Do you also have those things?,Do you also have those things?,,
,,Alvin,,"Definitely.  When a Luya speaks you are able to tell he's a Luya. When a Kalenjin speaks you're able to tell.  A Kamba speaks, you're able to tell.","Definitely.  When a Luya speaks you are able to tell he's a Luya. When a Kalenjin speaks you're able to tell.  A Kamba speaks, you're able to tell.",,
,,Interviewer,,And the way you tell you're saying is because of accent.,And the way you tell you're saying is because of accent.,,
,,Alvin,,The accent. The pronounciation=,The accent. The pronounciation=,,
,,Interviewer,,"Or-or the mother tongue interfering actually, is it?","Or-or the mother tongue interfering actually, is it?",,
,,Alvin,,"Um, I think the mother tongue interferance counts.  Again if you look at all the aspects of grammer like the phonetics how they-or maybe how the phonological-how they pronounce words, it's again, it will vary. It will tell you=","Um, I think the mother tongue interferance counts.  Again if you look at all the aspects of grammer like the phonetics how they-or maybe how the phonological-how they pronounce words, it's again, it will vary. It will tell you=",,
,,Interviewer,,Is it still because of the mother tongue?,Is it still because of the mother tongue?,,
,,Alvin,,"The mother tongue has got a lot of influence.  Because for one-people tend to-if that person has grown up in: the rural setting, spend a lot of his life there or her life there, that person, whenever he or she wants to speak, she'll start from the vernacular and then translate. That person will first of all think in the vernacular and then translate to English which will affect the way she or he communicates.  ","The mother tongue has got a lot of influence.  Because for one-people tend to-if that person has grown up in: the rural setting, spend a lot of his life there or her life there, that person, whenever he or she wants to speak, she'll start from the vernacular and then translate. That person will first of all think in the vernacular and then translate to English which will affect the way she or he communicates.  ",,
,,Interviewer,00:22:24mins,"But we have this group that you said that were born in town. Their Kiswahili is okay, their English is very good. ","But we have this group that you said that were born in town. Their Kiswahili is okay, their English is very good. ",,
,,Alvin,,"Mm, no. Not everybody who is born in: town has that-has that=","Mm, no. Not everybody who is born in: town has that-has that=",,
,,Interviewer,,We are assuming these affluent.,We are assuming these affluent.,,
,,Alvin,,Oh okay. The affluent?,Oh okay. The affluent?,,
,,Interviewer,,"Those ones who comes from uuh, maybe Kileleshwa:","Those ones who comes from uuh, maybe Kileleshwa:",,
,,Alvin,,"Kileleshwa:, Karen ","Kileleshwa:, Karen ",,
,,Interviewer,,"Yea, those places. Can you tell this person?","Yea, those places. Can you tell this person?",,
,,Alvin,,"Yea, you're able to tell, using the English. But Swahili I haven't-these people coming from this-uuh-maybe: like Kileleshwa:, Guruburu, these people they don't-Kiswahili, no. ","Yea, you're able to tell, using the English. But Swahili I haven't-these people coming from this-uuh-maybe: like Kileleshwa:, Guruburu, these people they don't-Kiswahili, no. ",,
,,Interviewer,,No.,No.,,
,,Alvin,,It's definitely English.  They use English a lot. Yea.,It's definitely English.  They use English a lot. Yea.,,
,,Interviewer,,So that you would definitely see a-differences?,So that you would definitely see a-differences?,,
,,Alvin,,You will see a difference. ,You will see a difference. ,,
,,Interviewer,,"In the way you talk, in the way other students talk.","In the way you talk, in the way other students talk.",,
,,Alvin,,"Yea and you'll-you're able to tell to some extent that this one went to: a private school (they both laugh heartily), ","Yea and you'll-you're able to tell to some extent that this one went to: a private school (they both laugh heartily), ",,
,,Interviewer,,And this one:,And this one:,,
,,Alvin,,This one went to a public-of course there are public schools which are=,This one went to a public-of course there are public schools which are=,,
,,Interviewer,,Also good.,Also good.,,
,,Alvin,,"Equally good.  But the rural public school where you don't expect like much-they don't dwell so much on-the English students speak because the teachers there themselves, the language they speak, itself, there's no way they are going to like tell these students to speak fluently.  ","Equally good.  But the rural public school where you don't expect like much-they don't dwell so much on-the English students speak because the teachers there themselves, the language they speak, itself, there's no way they are going to like tell these students to speak fluently.  ",,
,,Interviewer,00:23:45mins,"So from these differences, can you tell from where a person comes from?","So from these differences, can you tell from where a person comes from?",,
,,Alvin,,Yea. ,Yea. ,,
,,Interviewer,,From the way they talk?,From the way they talk?,,
,,Alvin,,"Yea, you are able to tell.","Yea, you are able to tell.",,
,,Interviewer,,"The area they come from, you're able to tell?","The area they come from, you're able to tell?",,
,,Alvin,,I think you're able to tell.  ,I think you're able to tell.  ,,
,,Interviewer,,You have made it clear that accent will definitely help you place people.,You have made it clear that accent will definitely help you place people.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Over the map of Kenya.,Over the map of Kenya.,,
,,Alvin,,Over the map of Kenya. ,Over the map of Kenya. ,,
,,Interviewer,,"To say this one is here, this one is here?","To say this one is here, this one is here?",,
,,Alvin,,"Yea, that you are able to trace the linguistical landscape of Kenya because if aah, maybe somebody from-ah-though there has-there are instances when you're not able.  You might try categorizing and you'll see like= ","Yea, that you are able to trace the linguistical landscape of Kenya because if aah, maybe somebody from-ah-though there has-there are instances when you're not able.  You might try categorizing and you'll see like= ",,
,,Interviewer,,"Mm. Oh, so it's not always 100%.","Mm. Oh, so it's not always 100%.",,
,,Alvin,,It's not always.,It's not always.,,
,,Interviewer,,It's not always.,It's not always.,,
,,Alvin,,There are people they are not able to tell where they come from=,There are people they are not able to tell where they come from=,,
,,Interviewer,,But you can=,But you can=,,
,,Alvin,,You can try tracing=,You can try tracing=,,
,,Interviewer,,You can try to-to approximate.,You can try to-to approximate.,,
,,Alvin,,"Yea, to approximate. ","Yea, to approximate. ",,
,,Interviewer,,"The most likely. But are there people who you are blank completely, you are like ""Ay! I try to listen, listen they are talking, they are talking then you're like ay! I don’t know""","The most likely. But are there people who you are blank completely, you are like ""Ay! I try to listen, listen they are talking, they are talking then you're like ay! I don’t know""",,
,,Alvin,,"No, I don’t know, because=","No, I don’t know, because=",,
,,Interviewer,,They are there?,They are there?,,
,,Alvin,,"There are people-now-what will now come to your mind you will now start looking at their appearance and placing-if you can't.  Because there are times somebody wants to identify ""<Swahili label='quotation'>huyu msichana"" una </Swahili label='quotation'>you ask yourself ""<Swahili label='quotation'>huyu msichana atakuwa anatoka kabila gani? anavyozungumza?"" Mwenzako anakwambia ""eh siwezi"". Sasa unaangalia</Swahili label='quotation'>-you start-go for the appearance. ","There are people-now-what will now come to your mind you will now start looking at their appearance and placing-if you can't.  Because there are times somebody wants to identify <English>this girl, you</English>you ask yourself <English>this girl will have come from what ethnic group? The way she speaks? Your friend tells you ""ah! I can't [figure it out]"".  Now you look</English>-you start-go for the appearance. ",CS,SM: Quotation.
,,Interviewer,,Mm mmh. Appearance=,Mm mmh. Appearance=,,
,,Alvin,,With this brown skin and-this looks like (mutual laughter)she comes from central.,With this brown skin and-this looks like (mutual laughter)she comes from central.,,
,,Interviewer,,This is not Dholuo.  This is not a Dholuo chick.,This is not Dholuo.  This is not a Dholuo chick.,,
,,Alvin,,This is not a Jaluo chick. ,This is not a Jaluo chick. ,,
,,Interviewer,,Ok. So appearance also helps?,Ok. So appearance also helps?,,
,,Alvin,,"Yea, you can=","Yea, you can=",,
,,Interviewer,,You can use appearance=,You can use appearance=,,
,,Alvin,,You can use appearance to gage.,You can use appearance to gage.,,
,,Interviewer,,"How about other language features? Not necessarily because of your mother tongue influence, other language features like choice of words, topics? These people from these area like certain topics.  Is it possible to do that?","How about other language features? Not necessarily because of your mother tongue influence, other language features like choice of words, topics? These people from these area like certain topics.  Is it possible to do that?",,
,,Alvin,,"I think it's-it's-it's possible to tell, and it's believed that uh-for instance, right now, in Kenya: if you look at the:-you-politics.  For instance if people talk politics you are able to tell this is a: Luo talking. If-if-if the langauge is not able to help you identify him or her.  For instance right now you'll see somebody-maybe there's an appointment in the ministry and then somebody saying ""Ah, I don't like the way: the president appointed so and so"". You'll definitely say this person is against the president and he might be affiliated to the Luo.  ","I think it's-it's-it's possible to tell, and it's believed that uh-for instance, right now, in Kenya: if you look at the:-you-politics.  For instance if people talk politics you are able to tell this is a: Luo talking. If-if-if the langauge is not able to help you identify him or her.  For instance right now you'll see somebody-maybe there's an appointment in the ministry and then somebody saying ""Ah, I don't like the way: the president appointed so and so"". You'll definitely say this person is against the president and he might be affiliated to the Luo.  ",,
,,Interviewer,,Luo. ,Luo. ,,
,,Alvin,,"You might tend to say that. Or maybe the prime minister-the former prime minister did something.  And you're like for instance the:-the recent saga about the airport issues, the way he was like-so if somebody=  ","You might tend to say that. Or maybe the prime minister-the former prime minister did something.  And you're like for instance the:-the recent saga about the airport issues, the way he was like-so if somebody=  ",,
,,Interviewer,,He denied access to=,He denied access to=,,
,,Alvin,00:26:20mins,Access to the third lounge. ,Access to the third lounge. ,,
,,Interviewer,,The VIP lounge.,The VIP lounge.,,
,,Alvin,,The VIP lounge.   So you know sometimes=,The VIP lounge.   So you know sometimes=,,
,,Interviewer,,When people discuss that you will=,When people discuss that you will=,,
,,Alvin,,When people discuss that you will see somebody aligning to-aligning to the side of Kimwemwe:,When people discuss that you will see somebody aligning to-aligning to the side of Kimwemwe:,,
,,Interviewer,,That's interesting. So you can tell things like political affiliation? ,That's interesting. So you can tell things like political affiliation? ,,
,,Alvin,,You can tell=,You can tell=,,
,,Interviewer,,Just based on the way somebody is talking?,Just based on the way somebody is talking?,,
,,Alvin,,And the political affiliation will now help you to place that person into the linguistic where he comes from. These are Luo-Yea.,And the political affiliation will now help you to place that person into the linguistic where he comes from. These are Luo-Yea.,,Interviewer giggles at this.
,,Interviewer,,"How about level of education for example of somebody?  Based on the way they-they talk, when you just listen to them talk.  Can you say this person is-this guy-<Swahili>ya</Swahili> primary school <Swahili>hakupita</Swahili>?","How about level of education for example of somebody?  Based on the way they-they talk, when you just listen to them talk.  Can you say this person is-this guy-<English>of</English> primary school <English>he did not pass [through]</English>?",CS,Unmarked.
,,Alvin,,Yea. You are able to tell. ,Yea. You are able to tell. ,,
,,Interviewer,,"And this one, this one went to USIU, ","And this one, this one went to USIU, ",,
,,Alvin,,"You are able to  tell.  But there are instances when, you might try and you cannot tell- because for instance, the choice of words, for maybe-and depending on the conversation. If for instance maybe somebody with a professor is back there at home maybe addressing a group of people, he'll only speak that language according to-or he's addressing a professor comes home-and then he's addressing maybe a room consisting of Class 8 kids, you'll-you know he'll restrict himself. ","You are able to  tell.  But there are instances when, you might try and you cannot tell- because for instance, the choice of words, for maybe-and depending on the conversation. If for instance maybe somebody with a professor is back there at home maybe addressing a group of people, he'll only speak that language according to-or he's addressing a professor comes home-and then he's addressing maybe a room consisting of Class 8 kids, you'll-you know he'll restrict himself. ",,
,,Interviewer,,So it's possible-what you're saying is that it's possible for a professor to go down to the level of-of village people when=,So it's possible-what you're saying is that it's possible for a professor to go down to the level of-of village people when=,,
,,Alvin,,To switch=,To switch=,,
,,Interviewer,,When addressing those people=,When addressing those people=,,
,,Alvin,,"Yea, to suit them. But when he's addressing students in class, the language changes.","Yea, to suit them. But when he's addressing students in class, the language changes.",,
,,Interviewer,,But do you think that professor would go down to the level of a village chief? ,But do you think that professor would go down to the level of a village chief? ,,
,,Alvin,,"Ay! No, no, no, no (they both laugh heartily)","Ay! No, no, no, no (they both laugh heartily)",,
,,Interviewer,,"Cuz if you're Class 8, this guy will go-can you tell the difference, like for a village chief and a professor when they both-from when they are talking?","Cuz if you're Class 8, this guy will go-can you tell the difference, like for a village chief and a professor when they both-from when they are talking?",,
,,Alvin,,You are able to tell. Because their choices of words-he might find himself-because mostly=,You are able to tell. Because their choices of words-he might find himself-because mostly=,,
,,Interviewer,00:28:07mins,"Because in that instance, the professor will be making an effort to do what?","Because in that instance, the professor will be making an effort to do what?",,
,,Alvin,,An effort in restraining.  So if=,An effort in restraining.  So if=,,
,,Interviewer,,But this village elder? ,But this village elder? ,,
,,Alvin,,Definitely with him now you'll feel like he is talking-he is very okay with it. He's not like struggling to go for the words.  ,Definitely with him now you'll feel like he is talking-he is very okay with it. He's not like struggling to go for the words.  ,,
,,Interviewer,,So you can tell that this guy is a village elder and this one..he's a professor.,So you can tell that this guy is a village elder and this one..he's a professor.,,
,,Alvin,,This is a professor. ,This is a professor. ,,
,,Interviewer,,Or this one is a CEO somewhere.,Or this one is a CEO somewhere.,,
,,Alvin,,A CEO somewhere.,A CEO somewhere.,,
,,Interviewer,,From the way they talk?,From the way they talk?,,
,,Alvin,,"Yea, because mostly, he has spent a lot of his time on the books-because right now, I think for you to: get to the level of a: being a professor, you've spent a lot of times with books, con-written in English all that.  So, when you now want to go to:-trace to-maybe: you won't use that simple register, you find it very hard.  You'll be straining a lot, cuz mostly you interact with people that you speak that language according to that particular context.  ","Yea, because mostly, he has spent a lot of his time on the books-because right now, I think for you to: get to the level of a: being a professor, you've spent a lot of times with books, con-written in English all that.  So, when you now want to go to:-trace to-maybe: you won't use that simple register, you find it very hard.  You'll be straining a lot, cuz mostly you interact with people that you speak that language according to that particular context.  ",,
,,Interviewer,,"Is what-is what you have told me, uuh, possible <Swahili>kama huoni yeye mtu mwenye anaeongea</Swahili>?  Like-like that professor you are not seeing him.  Or that village elder, you are just probably listening to radio, somebody talking-is it possible to gage level of education, without seeing the person?","Is what-is what you have told me, uuh, possible <English>if you don't see the person who is talking</English>?  Like-like that professor you are not seeing him.  Or that village elder, you are just probably listening to radio, somebody talking-is it possible to gage level of education, without seeing the person?",CS,Unmarked.
,,Alvin,,"You're-you're-you are able to tell. If somebody speaks with-maybe speaks uuh, across, and you're not-for instance may-maybe the radio, especially if you look at the media-the radio if somebody speaks, gives a statement, you are able to tell.  For instance there is a time-sometimes back there were a lot of floods.  There was a:-a:  woman who really hit=","You're-you're-you are able to tell. If somebody speaks with-maybe speaks uuh, across, and you're not-for instance may-maybe the radio, especially if you look at the media-the radio if somebody speaks, gives a statement, you are able to tell.  For instance there is a time-sometimes back there were a lot of floods.  There was a:-a:  woman who really hit=",,Interviewer yawns towards the end of this response.
,,Interviewer,,That notorious woman (they both laugh),That notorious woman (they both laugh),,
,,Alvin,,"""<Swahili label='quotation'>Tunaomba serikali, tusaidie-</Swahili label='quotation'>"" You know you listen and you say like ""Ey! No, this one never went to-""  and maybe when somebody speaks you are again able to tell-the way that person speaks you are able to tell at least this one had some education.  So you are able to tell.","<English>We are asking the government, help us-</English> You know you listen and you say like ""Ey! No, this one never went to-""  and maybe when somebody speaks you are again able to tell-the way that person speaks you are able to tell at least this one had some education.  So you are able to tell.",CS,SM: Quotation.
,,Interviewer,,Mm mmh. ,Mm mmh. ,,
,,Alvin,,"Apart from that, you are even able to trace their linguistic origin.  You are able to tell ""this guy speaking, this is a Luya speaking, this is a Luo guy speaking"", so you are able to tell.","Apart from that, you are even able to trace their linguistic origin.  You are able to tell ""this guy speaking, this is a Luya speaking, this is a Luo guy speaking"", so you are able to tell.",,
,,Interviewer,,"Yea, ok.","Yea, ok.",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"And uuuh, so you-you said you speak English, Kiswahili, Sheng, Dholuo.","And uuuh, so you-you said you speak English, Kiswahili, Sheng, Dholuo.",,
,,Alvin,,Mm hhm.,Mm hhm.,,
,,Interviewer,,So do you speak different languages to different people? ,So do you speak different languages to different people? ,,
,,Alvin,,Yea. I speak different languages to different people.  ,Yea. I speak different languages to different people.  ,,
130621_001,,,,ALVIN RECORDING 2.1 ENDS. ALVIN 2.2 BEGINS...,,,
,,Interviewer,,You said you-you speak different languages to different people.,You said you-you speak different languages to different people.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"For instance when I -during the holidays when I get back to: my village,","For instance when I -during the holidays when I get back to: my village,",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"I speak to my: grannies in Dholuo, in Dholuo purely.  ","I speak to my: grannies in Dholuo, in Dholuo purely.  ",,
