Topic ,Participant ,Ln,Dialouge,Translation,Cs/Dm,Comments
,Lily 2,,Ok I really I really mix them coz ok you know I cannot stick in one fluent  language<Swahili>yote mbaka ni malize</Swahili>it's.. (interrupted),Ok I really I really mix them coz ok you know I cannot stick in one fluent  language<English>until I finish</English> it's.. (interrupted),,,
,Interviwer,,When do you mix.,When do you mix.,,,
,Lily 2,,Ok I really mix it especially when telling stories I talk a lot.,Ok I really mix it especially when telling stories I talk a lot.,,,
,Interviwer,,Telling who stories?,Telling who stories?,,,
,Lily 2,,My friends.,My friends.,,,
,Interviwer,,Like who?,Like who?,,,
,Lily 2,,Especially like Laura I have another friend called Joyce and many I cannot named all of them.,Especially like Laura I have another friend called Joyce and many I cannot named all of them.,,,
,Interviwer,,So with them you mix.,So with them you mix.,,,
,Lily 2,,Yah(agree) I mix a lot ,Yah (agree) I mix a lot ,,Interviewer accomodates Lily's culture.,
,Interviwer,,So why why because am sure that friend of yours knows Kiswahili very for example or Deluo why not just mix Deluo?,So why why because am sure that friend of yours knows Kiswahili very for example or Deluo why not just mix Deluo?,,,
,Lily 2,,It's hard.,It's hard.,,,
,Interviwer,,Why (both Laugh) why mix?,Why (both Laugh) why mix?,,,
,Lily 2,,It's hard to speak on language actually it's very very hard.,It's hard to speak on language actually it's very very hard,,,
,Interviwer,,What makes you have that urge of mix.,What makes you have that urge of mix .,,,
,Lily 2,,Don’t spice the story you know sometimes you want to like really drive a point home so you know you have to mix all the languages you know and everything you can talk about so she can really get the point like…(interrupted),Don’t spice the story you know sometimes you want to like really drive a point home so you know you have to mix all the languages you know and everything you can talk about so she can really get the point like…(interrupted),,,
,Interviwer,,Is it like there are things that are best said in Luo and others best said in English do you find..(interrupted),Is it like there are things that are best said in Luo and others best said in English do you find..(interrupted),,,
,Lily 2,,Totally yah there are some stories that like especially when you want to talk about something you really saw and really made you happy you have to speak it in Luo you know Swahili and English will not ok maybe you don’t have the terms to use so you have to speak in Luo so that they can really get the point what you are driving home. ,Totally yah there are some stories that like especially when you want to talk about something you really saw and really made you happy you have to speak it in Luo you know Swahili and English will not ok maybe you don’t have the terms to use so you have to speak in Luo so that they can really get the point what you are driving home. ,,
,Interviwer,,So if this person is a Luo you will mix the languages?,So if this person is a Luo you will mix the languages?,,
,Lily 2,,"Luo, Luo mostly especially English.","Luo, Luo mostly especially English.",,
,Interviwer,,"Luo and English, if this person is not Luo.","Luo and English, if this person is not Luo.",,
,Lily 2,,"Sheng, probably Sheng.","Slang, probably Slang",,
,Interviwer,,which is?,which is?,,
,Lily 2,,"Swahili, English.","Swahili, English.",,
,Interviwer,,Mmmh(agree) mixture of the two. So mostly you can even mix the three if it is Luo speaker you are talking to.,Mmmh (agree) mixture of the two. So mostly you can even mix the three if it is Luo speaker you are talking to.,,
,Lily 2,,Ok it will be rare to mix.,Ok it will be rare to mix.,,
,Interviwer,,It will be rare to mix it happens that its English and Luo.,It will be rare to mix it happens that its English and Luo.,,
,Lily 2,,Yah(agree) English and Luo but..(interrupted),Yah(agree) English and Luo but..(interrupted),,
,Interviwer,,No Swahili words fitting in from there?,No Swahili words fitting in from there?,,
,Lily 2,,"Ok it's very hard ok me, me and Swahili is not very good friends Swahili is…(interrupted)","Ok it's very hard ok me, me and Swahili is not very good friends Swahili is…(interrupted)",,
,Interviwer,,Is it something that is also in your ritual? ,Is it something that is also in your ritual? ,,
,Lily 2,,Yah(agree) Swahili is a big problem a very big problem so you know…(interrupted),Yah (agree) Swahili is a big problem a very big problem so you know…(interrupted),,
,Interviwer,,So..(not clear) that is the case?,So..(not clear) that is the case?,,
,Lily 2,,"Ok my be I don’t know the pronunciation of words maybe the terms are so hard like me Swahili  ok personally Swahili is not my thing ok to, to<Swahili>kuzingatia Ng'eli ni ngumu eeh yah. ","Ok my be I don’t know the pronunciation of words maybe the terms are so hard like me Swahili  ok personally Swahili is not my thing ok to, to<English>be abided by tenseis very hard eeh yah. ",,
,Interviwer,,<Swahili>Kuzingatia ng'eli.,<English>To use correct tenses.,,
,Lily 2,,Yah(agree) you know is not like English that you can just pick up any word from anywhere from your mind and just come in Swahili you have to<Swahili>zingatia ng'eli sijuhi</Swahili>check this word maybe you used wrongly.,"Yah(agree) you know is not like English that you can just pick up any word from anywhere from your mind and just come in Swahili you have to<English>follow grammer, I don’t know</English>check this word maybe you used wrongly.",,
,Interviwer,,You have to say<Swahili>viti vimevinjka.,You have to say<English>chairs are broken.,,
,Lily 2,,"Exactly and that is not what is and you know in Sheng that is<Swahili>hizo viti zilivunjika</Swahili>that’s wrong Swahili or ….(not clear)<Swahili>unajua</Swahili>nobody will care you know the students saying ""hey, by the way<Swahili>zile vitu zilivunjika</Swahil>you know nobody will even realize you are speaking wrong Kiswahili it's just normal.","Exactly and that is not what is and you know in Slang that is<English>those chairs are broken</English>that’s wrong Swahili or ….(not clear)<English>you know</English>nobody will care you know the students saying ""hey, by the way<English>those chairs broke</English>you know nobody will even realize you are speaking wrong Swahili it's just normal.",,
,Interviwer,,So it's not an attitude because sometime people feel it's an attitude that….(not clear) ,So it's not an attitude because sometime people feel it's an attitude that….(not clear) ,,
,Lily 2,,It's not an attitude.,It's not an attitude.,,
,Interviwer,,"Luos..(not clear) that, your Swahili is here, English is theirs so I want to squiz it and I am like..","Luos..(not clear) that, your Swahili is here, English is theirs so I want to squiz it and I am like..",,"Lily, uses gastus to put her points across."
,Lily 2,,"Ok it's not an attitude and then Swahili and English I preffer English because at list my accent<Swahili>haitakuwa mob sana</Swahili>but Kiswahili when is speak my accent will be so heavy you know you will just feel my Luo mother tongue and<Swahili>""utasema kuwa huyo msichana naye waaah"" ","Ok it's not an attitude and then Swahili and English I preffer English because at list my accent<English>won't be much</English>but Kiswahili when is speak my accent will be so heavy you know you will just feel my Luo mother tongue and<English>""you will say that girl"" ",,Lily try to change the attention/ reason for not speaking in swahili (accent)
,Interviwer,,<Swahili>Ni waluo wa Nyanza Kisumu kabisa mmmh.,<English>Are really Luos from Nyanza Kisumu mmmh.,,
,Lily 2,,I preffer English coz at list it can cover up my accent.,I preffer English coz at list it can cover up my accent.,,
,Interviwer,,How about Sheng  it goes where English Swahili goes where?,How about Slang it goes where English Swahili goes where?,,
,Lily 2,,Ok it goes but you know Sheng has also it's words it not necessary book to be….(not clear) It's not some wearied wearied words who did what but am not fun of<Swahili>Sheng sana</Swahili>but I'll mix Swahili and English but am not a fun of the Sheng coz..(interrupted) ,Ok it goes (hesistance) but you know Slang has also it's words it not necessary book to be….(not clear) It's not some wearied wearied words who done what but am not fun of<English>Slang a lot</English>but I'll mix Swahili and English but am not a fun of the Sheng coz..(interrupted) ,,
,Interviwer,,But you can pick like somebody you know what they are talking about but sometimes you can also get lost because is this language.,But you can pick like somebody you know what they are talking about but sometimes you can also get lost because is this language.,,
,Lily 2,,"Like when you get those boys or ladies who are really from the Ghetto down there and they are speaking you will be like ""excuse me<Swahili>hiyo ni lugha gani? Ati Sheng.","Like when you get those boys or ladies who are really from the Ghetto down there and they are speaking you will be like ""excuse me<English>which language is that? Is that Slang.",,
,Interviwer,,What do you mean?<Swahili>ukisema</Swahili>something<Swahili>lazima u…..(interrupted),What do you mean?<English>if you say</English>something<English> you have to u…..(interrupted),,
,Lily 2,,You cannot get what they are saying eeeh but this<Swahili>kidogo kidogo kama hizi zetu hii ni Sheng ndogo ndogo tunaelewa.,You cannot get what they are saying eeeh but this<English>little by little like this of ours is Slang that we can understand. ,,
,Interviwer,,Yah(agree) this normal ones maybe picking also from radio programs or TV sessions.,Yah(agree) this normal ones maybe picking also from radio programs or TV sessions.,,
,Lily 2,,"This our local programs yah espeically the Tahidi high, the Inspecta Mwala the ones that are always in 7:30 from Monday to Fridays it’s easy to pick up Sheng coz they speak a lot.","This our local programs yah espeically the Tahidi high, the Inspecta Mwala the ones that are always in 7:30 from Monday to Fridays it’s easy to pick up Slang coz they speak a lot.",,
,Interviwer,,Have you noticed the difference from the way you talk different with other students they way the talk.,Have you noticed the difference from the way you talk different with other students they way the talk.,,
,Lily 2,,Mmmh(agree) ok you know the people we click are the people you talk like me and Laura I can say we click because we talk the same but ok.,Mmmh(agree) ok you know the people we click are the people you talk like me and Laura I can say we click because we talk the same but ok.,,
,Interviwer,,What is this clicking thing? Is it because you come from the same background?,What is this clicking thing? Is it because you come from the same background?,,
,Lily 2,,No the person am used to you I cannot just talking to any lady down coz some ladies when you listen to them talk the are<Sheng>wengging</Sheng>so while others we don’t like that kind of thing. Me I would love people am free with I can talk with I can laugh with you can anything with so..(not clear) ladies just talk and they are speaking influent English<Swahili>zingine zinakupita mbaka hata  mimi nasema heeeh! ok sawa</Swahili>but when you have a friend that you really understand one another you know you can talk about anything...(interrupted),No the person am used to you I cannot just talking to any lady down coz some ladies when you listen to them talk the are <English>showing of</English>so while others we don’t like that kind of thing. Me I would love people am free with I can talk with I can laugh with you can anything with so..(not clear) ladies just talk and they are speaking influent English<English>passes you until I say heeeh! ok sawa</English>but when you have a friend that you really understand one another you know you can talk about anything...(interrupted),,
,Interviwer,,Does that affect yout attitude towards such people or affect the way you speak to them like would you..(interrupted),Does that affect yout attitude towards such people or affect the way you speak to them like would you..(interrupted),,
,Lily 2,,Yah(agree) of course it does yah it does…(interrupted),Yah(agree) of course it does yah it does…(interrupted),,
,Interviwer,,Like would you maybe switch to English quickly…(interrupted),Like would you maybe switch to English quickly…(interrupted,,
,Lily 2,,Of course when you meet a lady who is speaking fluent English always in English you know you cannot just go there and say<Swahili>nani sijuhi nini</Swahili>you would have just to say like excuse me you have to make your words there…(interrupted)  ,Of course when you meet a lady who is speaking fluent English always in English you know you cannot just go there and say<English>who I dont know what</English>you would have just to say like excuse me you have to make your words there…(interrupted)  ,,
,Interviwer,,And it will not be that Deluo English.,And it will not be that Deluo English.,,
,Lily 2,,Aaah! no not with that….(not clear) (both Laugh),Aaah! no not with that….(not clear) (both Laugh),,
,Interviwer,,<Swahili>Utajipanga ujiraise kidogo.,<English>You will find yourself raising a little bit.,,
,Lily 2,,Yah<Swahili>ndio ajue</Swahili>at list am not a mother tongue speaker a full time even though you hear me speak a lot of mother tongue yah I'll ask her I'll to her in English fluent English yah.,Yah<English>so that he/she know</English>at list am not a mother tongue speaker a full time even though you hear me speak a lot of mother tongue yah I'll ask her I'll to her in English fluent English yah.,,
,Interviwer,,So there is a difference like other students with (interrupted),So there is a difference like other students with (interrupted),,
,Lily 2,,"Yah(agree)<Swahili>unajua</Swahili>obviously atitude also change towards them coz<Swahili>utafeel</Swahili>like they are always<Swahili>branging hawa watu wanaringa tu</Swahili>so I cannot work with such people<Swahili>hawa pia</Swahili>will be like<Swahili>""heeeh! hawa wasichana wanaongea na maringo"" hata mimi</Swahili>I cannot work with such people. (Interrupted)","Yah(agree)<English>You know</English>obviously atitude also change towards them coz<English>you will feel like</English>they are always<English>showing of these people show-off</English>so I cannot work with such people<English>these too</English>will be like<English>""heeeh! these girls talks by showing off "" even me</English>I cannot work with such people. (Interrupted)",,
,Interviwer,,"So there is that is that group of so much English and there is this group of mother tounge, where do you fall?","So there is that is that group of so much English and there is this group of mother tounge, where do you fall?",,
,Lily 2,,So much mother tounge.,So much mother tounge.,,
,Interviwer,,So much mother tounge you fall there.,So much mother tounge you fall there.,,
,Lily 2,,Yah(agree) a lot.,Yah(agree) a lot.,,
,Interviwer,,Ok and there those who fall in the middle how do you find such?,Ok and there those who fall in the middle how do you find such?,,
,Lily 2,,I think Laura falls in the because she doesn’t speak a lot of mother tounge.,I think Laura falls in the because she doesn’t speak a lot of mother tounge.,,
,Interviwer,,"You know your friend well, because that is what she told  you.","You know your friend well, because that is what she told  you.",,
,Lily 2,,Yah(agree) she falls in the middle coz she doesn’t speak a lot of mother tounge but me I speak a lot of mother toungue.,Yah(agree) she falls in the middle coz she doesn’t speak a lot of mother tounge but me I speak a lot of mother toungue.,,
,Interviwer,,But you are also helping her because she told you Deluo is not she start Deluo when she was really young so you are helping her also. ,But you are also helping her because she told you Deluo is not she start Deluo when she was really young so you are helping her also. ,,
,Lily 2,,Yah(agree) nowwadays she is trying but when join she was not..(clear) then even her accent was ahhh!! (laugh),Yah (agree) nowwadays she is trying but when join she was not..(clear) then even her accent was ahhh!! (laugh),,
,Interviwer,,Was out you must know this like a kid trying to learn another(Interrupted),Was out you must know this like a kid trying to learn another(Interrupted),,
,Lily 2,,Exactly.,Exactly.,,
,Interviwer,,"Ok, aaah, so when somebody talks, somebody is talking can you tell from what area they are coming from, from the way they are talking? Some.","Ok, aaah, so when somebody talks, somebody is talking can you tell from what area they are coming from, from the way they are talking? Some.",,
,Lily 2,,"Yah(agree) some, like I can tell Baluo(Luo) I can tell from the Western side coz I have lived  Western part of my life have lived in Western during the holidays I use to go and see my sister so you know I can tell this is a Lughya(tribe) the way the accent is so heavy and tell, especilly Nyanza(place) Nyanza, Nyanza ok, Nyanza people are so obviouse yah, the people from Pwani(Place called Coast) are obviouse coz they will always be like<Swahili>""dada sijuhi</Swahili>what""they will be polite in a way  and then.","Yah(agree) some, like I can tell Baluo(Luo) I can tell from the Western side coz I have lived  Western part of my life have lived in Western during the holidays I use to go and see my sister so you know I can tell this is a Lughya (tribe) the way the accent is so heavy and tell, especilly Nyanza (place) Nyanza, Nyanza ok, Nyanza people are so obviouse yah, the people from Pwani(place called Coast) are obviouse coz they will always be like<English>""sister I dont know</English>what""they will be polite in a way  and then.",,
,Interviwer,,You use Swahili more.,You use Swahili more.,,
,Lily 2,,Yah(agree) and then the Kisii(tribe) are little but the people that really you cannot tell are Kikuyus(tribe) kind of hard for me to tell because I don’t know wheather it will be a Meru(tribe) a Embu(tribe) or what.,Yah(agree) and then the Kisii(tribe) are little but the people that really you cannot tell are Kikuyus(tribe) kind of hard for me to tell because I don’t know wheather it will be a Meru(tribe) a Embu(tribe) or what.,,
,Interviwer,,"But, but you will know they are from that central region based on what? How do you know.","But, but you will know they are from that central region based on what? How do you know.",,
,Lily 2,,Ok you look at their<Swahili>sura(both laugh)</Swahili>ok there is a way their nose and their cheek borns are ok..(interrupted),Ok you look at their<English>face (both laugh)</English>ok there is a way their nose and their cheek borns are ok..(interrupted),,
,Interviwer,,And is it consistand<Swahili>kabisa?,And is it consistand<English>that much?,,
,Lily 2,,Oh! Not really but..(interrupted),Oh! Not really but..(interrupted),,
,Interviwer,,Not really but when somebody is a typical Kikuyu you will know mmh.,Not really but when somebody is a typical Kikuyu you will know mmh.,,
,Lily 2,,"Yah(agree) and then the accent by the way the, the, the, there is some words that disturb them the letters like""RRR and LLLLL) so when they say your name is Lolita, Rorita they say Rorita no Lolita so you will just know<Swahili>""huyu"")","Yah (agree) and then the accent by the way the, the, the, (hesistate) there is some words that disturb them the letters like ""RRR and LLLLL) so when they say your name is Lolita, Rorita they say Rorita no Lolita so you will just know<English>""this one""",,
,Interviwer,,<Swahili>Niwa huko.,<English>Comes from there.,,
,Lily 2,,<Swahili>Niwa huko kabisa.,<English>Comes really from there.,,
,Interviwer,,"Ok, apart form accent from the way somebody<Swahili>kama anayo accent muzuri</Swahili>can you say this person is from this region not, we are not talking about<Swahili>sura</Swahili>really but the way they speak even if they don’t have that RRR Rorita thing.","Ok, apart form accent from the way somebody<English> if he/she has good accent</English>can you say this person is from this region not, we are not talking about<English>face</English>eally but the way they speak even if they don’t have that RRR Rorita thing.",,
,Lily 2,,"It's hard to tell, you cannot really tell where they are from especially when they are bred in town like most of them are from Nairobi you know I cannnot tell what tribe is coz they are speaking in  Slang yah, you cannot really tell where they are from until you ask.","It's hard to tell, you cannot really tell where they are from especially when they are bred in town like most of them are from Nairobi you know I cannnot tell what tribe is coz they are speaking in Slang yah, you cannot really tell where they are from until you ask.",,
,Interviwer,,If there is Luo and they are speaking English without an accent and this is a Kalenjin speaking in English without an accent is it possible somehow.,If there is Luo and they are speaking English without an accent and this is a Kalenjin speaking in English without an accent is it possible somehow.,,
,Lily 2,,"No, it's not if there is no accent (interrupted)","No, it's not if there is no accent (interrupted)",,
,Interviwer,,"Some people say, some people say Luos know how to speak a lot of English.","Some people say, some people say Luos know how to speak a lot of English.",,
Accent,Lily 2,,"True, but you know if<Swahili>hana</Swahili>accent you cannot know at all like right now say a person who doesn’t know me ok at list you know me you know I speak a lot of mother tongue Laura knows me but a total stranger comes and finds me really speaking like this (not clear) (interrupted)","True, but you know if<English>he/she doesn't have an</English>accent you cannot know at all like right now say a person who doesn’t know me ok at list you know me you know I speak a lot of mother tongue Laura knows me but a total stranger comes and finds me really speaking like this (not clear) (interrupted)",,
,Interviwer,,"No, you know ok this a person we are looking a person coming here on campus for example and has a choice of Deluo, English and Swahili and there is another one who has a choice of Kalenjin English and Swahili. By the way languge they choose to speak in a nautral environment now not mother tonge can you tell a little bit about that.","No, you know ok this a person we are looking a person coming here on campus for example and has a choice of Deluo, English and Swahili and there is another one who has a choice of Kalenjin English and Swahili. By the way languge they choose to speak in a nautral environment now not mother tonge can you tell a little bit about that.",,
,Lily 2,,Yah(agree) like a Luo its easy to tell.,Yah(agree) like a Luo its easy to tell.,,
,Interviwer,,How?,How?,,
,Lily 2,,"Yah, Luos like branging you will just know a Luo.","Yah, Luos like bragging you will just know a Luo.",,
,Interviwer,,"Yes, that’s what I want you to tell me, is it possible from the way they use language.","Yes, that’s what I want you to tell me, is it possible from the way they use language.",,
,Lily 2,,"Mmmh(agree) it is possible for a Luo may be other, other tribes I don’t for a Luo I can just tell you.","Mmmh(agree) it is possible for a Luo may be other, other tribes I don’t for a Luo I can just tell you.",,
,Interviwer,,You know there is a way you can tell somebody the way you own so many cars and without them asking and just the way of conversation is it (interrupted).,You know there is a way you can tell somebody the way you own so many cars and without them asking and just the way of conversation is it (interrupted).,,
,Lily 2,,Yah(agree) it's posible like a Luo will be bragging all the electronic gadget<Swahili>akonazo</Swahili>maybe a Kalenjin I don’t know what they preffer but that (interrupted).,Yah(agree) it's posible like a Luo will be bragging all the electronic gadget<English>which he owns</English>maybe a Kalenjin I don’t know what they preffer but that (interrupted).,,
,Interviwer,,"Because somebody, somebody might not tell you I have a twenty I mean fourty inch TV you just say ""aah, you know when I was watching that movie from my that fourty inch screen you know a way(sentence not well explained) I am not probably doing that but is it, is that the case? ","Because somebody, somebody might not tell you I have a twenty I mean fourty inch TV you just say ""aah, you know when I was watching that movie from my that fourty inch screen you know a way(sentence not well explained) I am not probably doing that but is it, is that the case? ",,
,Lily 2,,"Yah(agree) it’s the case for Luos, that’s why people call, peeople think Luos are braggers a lot yah, because we are always bragging like<Swahili>""Ati aki ile Iphone yangu imearibika, hatasijuhi nitaipeleka wapi, aki laptop yangu sijuhi niliuza nataka kununua ingine""</Swahili>you know it's like they are always just having fun of the resources.","Yah(agree) it’s the case for Luos, that’s why people call, peeople think Luos are braggers a lot yah, because we are always bragging like<English>""that my Iphone is broken, I even don't know where to take, I want to sell my Laptop and buy another one""</English>you know it's like they are always just having fun of the resources.",,
,Interviwer,,They bring issues in convesation prettending that they don’t feel but they are communicating something.,They bring issues in convesation prettending that they don’t feel but they are communicating something.,,
,Lily 2,,"Yah(agree) like<Swahili>""hey! babangu juzi amanunu Prado fulani hapa hivi umeiona sijuhu nini""</Swahili>you know such things you just this is a Luo really bragging yah.","Yah(agree) like<English>""hey! My father bought a Prado have you seen, I don’t know what ""</English>you know such things you just this is a Luo really bragging yah.",,
,Interviwer,,"Pretending to talk about Prado but actually what he wanted to say is that ""my father bought a Prado""so it's possble. How about because you mention<Swahili>sura</Swahili>say when you see somebody facial features you can tell the region they come from. what if this person is speaking without you seeing them can you tell the area, the backround they came from.","Pretending to talk about Prado (type of a car) but actually what he wanted to say is that ""my father bought a Prado""so it's possble. How about because you mention<English>face</English>say when you see somebody facial features you can tell the region they come from. what if this person is speaking without you seeing them can you tell the area, the backround they came from.",,
,Lily 2,,Ok if am not seeing them (interrupted).,Ok if am not seeing them (interrupted).,,
,Interviwer,,"Like for example radio, somebody is speaking on radio can't see this person can you tell.","Like for example radio, somebody is speaking on radio can't see this person can you tell.",,
,Lily 2,,On radio if am not seeing them and there is an accent I can tell but if there is not accent and<Swahili>hajaniambia jina</Swahili>I cannot tell that’s going to be hard  coz I'll not. ,On radio if am not seeing them and there is an accent I can tell but if there is not accent and<English> haven't told me the name</English>I cannot tell that’s going to be hard  coz I'll not. ,,
,Interviwer,,How about topics they discus is it possible to…(interrupted),How about topics they discus is it possible to…(interrupted),,
,Lily 2,,"Ok, topics they will discus, maybe they are discussing things that are affecting there areas you will really know this person really know about this area maybe he is from that side yah.","Ok, topics they will discus, maybe they are discussing things that are affecting there areas you will really know this person really know about this area maybe he is from that side yah.",,
,Interviwer,,"So you can aproximate, what if there is no information about the area.","So you can aproximate, what if there is no information about the area.",,
,Lily 2,,I can't tell unless am an anjel or something. ,I can't tell unless am an anjel or something. ,,
,Interviwer,,"How about backround information like somebody's level of education can you tell that this person<Swahili>""huyu alimaliza""</Swahili>high school<Swahili>ama huyu lazima anaona</Swahili>campus from what you are hearing or<Swahili>huyu lazima akwenda shule.","How about backround information like somebody's level of education can you tell that this person<English>""this was finished""</English>high school<English>or this one make it</English>campus from what you are hearing or<English>this one didn't go to school.",,
,Lily 2,,"Obviously you know I always believe where you've reach in education that is where you mind is as in lets say I reach high school you know even when you talk you stories will be based on ""this high school you will always be concern with high school but right know when you are on campus you will always be concern about what is happening in campus what is going to happen when am out of campus so you know you will be thinking a head but when a person just reach high school you know just this is high school coz they don't have a forward plan it rare ok am just...(interrupted)","Obviously you know I always believe where you've reach in education that is where you mind is as in lets say I reach high school you know even when you talk you stories will be based on ""this high school you will always be concern with high school but right know when you are on campus you will always be concern about what is happening in campus what is going to happen when am out of campus so you know you will be thinking a head but when a person just reach high school you know just this is high school coz they don't have a forward plan it rare ok am just...(interrupted)",,
,Interviwer,,They don’t have a forward plan they just.(interrupted),They don’t have a forward plan they just.(interrupted),,
,Lily 2,,Yah(agree) they will be only just be circling in one area yah.,Yah(agree) they will be only just be circling in one area yah.,,
,Interviwer,,So you can easy tell.,So you can easy tell.,,
,Lily 2,,Yah(agree) you can tell<Swahili>huyu ajefika maahali coz ata…(interrupted),Yah(agree) you can tell<English>this didn’t make to anywhere coz even...(interrupted),,
,Interviwer,,<Swahili>Ama huyu ni</Swahili>CEO can you tell somebody's position in society<Swahili>huyu ni</Swahili>mananger<Swahili>huyu mwenye anaongea kwa radio ama huyu huyu lazima ni mkulima.,<English>Or this one is</English>CEO can you tell somebody's position in society<English>this one is</English>mananger<English>this one who is talking in the radio or the one this one must be a farmer.,,
,Lily 2,,"Yah(agree) you can tell so long as the CEO will be talking about ""my secretary does this for me, you know when am in a meeting, boardroom..(interrupted)","Yah(agree) you can tell so long as the CEO will be talking about ""my secretary does this for me, you know when am in a meeting, boardroom..(interrupted)",,
,Interviwer,,"I mean even without mentioning that like this two people are talking Swahili or yah, this<Swahili>mkulima</Swahili>is talking Swahili and this one is also can you tell the diffrence?","I mean even without mentioning that like this two people are talking Swahili or yah, this<English>farmer</English>is talking Swahili and this one is also can you tell the diffrence?",,
,Lily 2,,"Ok, it depends with the things they preffer like you the<Swahili>mkulima</Swahili>will be talking about crops will be talking about<Swahili>maziwa.","Ok, it depend with the things they preffer like you the <English>farmer</English> will be talking about crops will be talking about<English>milk.",,
,Interviwer,,Lets say a neutral topic.,Lets say a neutral topic.,,
,Lily 2,,I can't tell.,I can't tell.,,
,Interviwer,,You can't tell?,You can't tell?,,
,Lily 2,,"How, how would you tell?","How, how would you tell?",,
,Interviwer,,"From words of vocabulary, we would think that because a manager is somebody who is well  read so there will be no more vocabulary than…(interrupted)","From words of vocabulary, we would think that because a manager is somebody who is well  read so there will be no more vocabulary than…(interrupted)",,
,Lily 2,,"It's possible ok, maybe his choice of words maybe his diction will be nice but that of<Swahili>mkulima</Swahili>will just be using this Swahili of mine it's hard it would be easy to tell ok this guy<Swahili>inakaa hajasoma soma</Swahili>but the guy that is using Swahili maybe very hard terms this guy has reached far.","It's possible ok, maybe his choice of words maybe his diction will be nice but that of<English>farmer</English>will just be using this Swahili of mine it's hard it would be easy to tell ok this guy<English>it seems he/she not educated</English>but the guy that is using Swahili maybe very hard terms this guy has reached far.",,
Politics,Interviwer,,"How about things like political affiliation like this guy must belong to even without mentioning that am ODM(political party) or I am PNU(political party) what is this other one the one that rules, JUBILEE can you tell that this person is most likely. ","How about things like political affiliation like this guy must belong to even without mentioning that am ODM(political party) or I am PNU(political party) what is this other one the one that rules, JUBILEE can you tell that this person is most likely. ",,
,Lily 2,,"Maybe is they supporting they government you know obviously right now all Jubillee members will be supporting the government what the government does even if they don’t what they will support but obviously if it was opposition person you will be hearing a little bit of negativity we talking of ""this was not not right, this was not done right but they will not like ""I don't love to be...(not clear) they will be.. you will just feel like there is a resentment towards the government.(interrupted) ","Maybe is they supporting they government you know obviously right now all Jubillee members will be supporting the government what the government does even if they don’t what they will support but obviously if it was opposition person you will be hearing a little bit of negativity we talking of ""this was not not right, this was not done right but they will not like ""I don't love to be...(not clear) they will be.. you will just feel like there is a resentment towards the government.(interrupted) ",,
,Interviwer,,Yah(agree) towards the government and then you will just know this one…mmmh! (interrupted),Yah (agree) towards the government and then you will just know this one…mmmh! (interrupted),,
,Lily 2,,<Swahili>Huyu ni mtu wa..(not clear) kabisa.,<English>This is a person of..(not clear) very much.,,
,Interviwer,,From the way they are expressing an issue. So what you are telling me is that language used can tell you more about somebody when they use langauge the use with the language they choose the way they use it is it exactly what you saying.,From the way they are expressing an issue. So what you are telling me is that language used can tell you more about somebody when they use langauge the use with the language they choose the way they use it is it exactly what you saying.,,
,Lily 2,,"Ok yah, it can be use but not aspects yah, like on radio for example the examples I have given maybe on radio it can tell you maybe the person that that came talk to have a topic for discusion you can tell but not everything about the person.","Ok yah, it can be use but not aspects yah, like on radio for example the examples I have given maybe on radio it can tell you maybe the person that that came talk to have a topic for discusion you can tell but not everything about the person",,
language with friends.,Interviwer,,So you yourself do you speak different languages to different people maybe we talk about this befor just remind just remind me. Do you speak different languages with different people?,So you yourself do you speak different languages to different people maybe we talk about this befor just remind just remind me. Do you speak different languages with different people?,,
,Lily 2,,Yah(agree) ,Yah (agree),,
,Interviwer,,when for example?,when for example?,,
,Lily 2,,"So I talked about my friendsi talk to them, ok them I use all languages class I will use English maybe if, ok all almost lectures I speak in English but maybe expect one lecture maybe be it rare to find me speaking in one fluent language unless it's really amust which in most cases it's not.","So I talked about my friendsi talk to them, ok them I use all languages class I will use English maybe if, ok all almost lectures I speak in English but maybe expect one lecture maybe be it rare to find me speaking in one fluent language unless it's really amust which in most cases it's not.",,
,Interviwer,,So lets pick your friends for example you are speaking to your friends in class which language?,So lets pick your friends for example you are speaking to your friends in class which language?,,
,Lily 2,,Swahili and English.,Swahili and English.,,
,Interviwer,,"Or English, in the hostel.","Or English, in the hostel.",,
,Lily 2,,Hostel.,Hostel.,,
,Interviwer,,This is Laura we are talking about.,This is Laura we are talking about.,,
,Lily 2,,Mother toungue.,Mother tongue.,,
,Interviwer,,"Mother tongue in the hostel. Aaah! Mmmh, anyother people.","Mother tongue in the hostel. Aaah! Mmmh, anyother people.",,
,Lily 2,,OK but…(interrupted),OK but…(interrupted),,
,Interviwer,,Like you are at home your parents.,Like you are at home your parents.,,
,Lily 2,,"My parents I speak with them in Deluo obviously, my mum even if you speak to her in English the next second she will speaking to you in mother tongue so it's rather you speak in Luo.","My parents I speak with them in Deluo obviously, my mum even if you speak to her in English the next second she will speaking to you in mother tongue so it's rather you speak in Luo.",,
,Interviwer,,"Ok, so what determins this like, the choice of language with different people.","Ok, so what determins this like, the choice of language with different people.",,
,Lily 2,,"Yah, with what you preffer.","Yah, with what you preffer.",,
,Interviwer,,Preffer yourself.,Preffer yourself.,,
