Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Fred,,Mmm apart=,Mmm apart=,,,,,,,,
,,Interviewer,,"Okay apart from also gender aside, male female you know you can always tell because of the tone, but what else can make you know? Apart from the accent. Is there-do you think there is any other thing that majorly distinguishes the way we speak? ","Okay apart from also gender aside, male female you know you can always tell because of the tone, but what else can make you know? Apart from the accent. Is there-do you think there is any other thing that majorly distinguishes the way we speak? ",,,,,,,,
,,Fred,,"Yea, I think there is because-there is. Aah, because you find that there’s sometimes like let’s say these people we’ve known the way they talk. You see <Swahili label='quotation'>tuseme Kibaki anaongea mahali hata mtu asikuambie utasikia tu “huyo ni Kibaki”</Swahili label='quotation'> because you see people each and every individual has a special way, has his own different way of speaking. So <Swahili>utapata ni watu wachache sana ambapo</Swahili> mm the way they speak is almost the same. But <Swahili>utapata hutapata ni</Swahili> the same <Swahili>kila mtu ako na upekee fulani jinsi ambavo anatumia lugha</Swahili>.  ","Yea, I think there is because-there is. Aah, because you find that there’s sometimes like let’s say these people we’ve known the way they talk. You see <English>let's say Kibaki speaks someplace even if a person doesn't tell you you will just hear ""that is Kibaki""</English> because you see people each and every individual has a special way, has his own different way of speaking. So <English>you will find it is a few people who</English> mm the way they speak is almost the same. But <English>you will find, you will not find it's</English> the same <English>everyone has their certain individuality in the way s/he uses language</English>.  ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"So that there’s always that difference like me when our teacher-maybe like just these lectures that we just met within the second semester. <Swahili>Si</Swahili> most lecturers that taught us in Class Seven <Swahili>wengi wao hawajarudi huwa tunafundishwa tu na mmoja ambae alikuwa</Swahili> first sem(semester) so round <Swahili>hii ni wengine wapya</Swahili>.  But even if-let's say I'm late for class and I wanted just to determine if the teacher is there I'd just stand outside there and listen.  Then when you hear someone talking you will say “oh, but I-I thought it was this Mr.Who and who but that voice I'm getting is not for that mister because each and-each and every individual will have his own peculiar way of saying things. And you see once you know it-<Swahili>ukisha zoeana na wao unajua</Swahili>.  Like <Swahili>tuseme sio hata sauti.  Mi hata tuseme kuna watu nimezoeana sana</Swahili> they’re my friends. And if they’re somewhere and even they’re not talking I’ll just know. Eh, I mean there’s-<Swahili>huwa tunasema kila mtu ako na pia harufu yake. Eeh?</Swahili> (he laughs)","So that there’s always that difference like me when our teacher-maybe like just these lectures that we just met within the second semester. <English>It is that</English> most lecturers that taught us in Class Seven <English>many of them have not returned. We are usually taught by just one who was</English> first sem(semester) so round <English>this one are other new ones</English>.  But even if-let's say I'm late for class and I wanted just to determine if the teacher is there I'd just stand outside there and listen.  Then when you hear someone talking you will say “oh, but I-I thought it was this Mr.Who and who but that voice I'm getting is not for that mister because each and-each and every individual will have his own peculiar way of saying things. And you see once you know it-<English>when you become familiar with them you know</English>.  Like <English>let's say not even the voice. Me let's even say there are people who I'm very familiar with</English> they’re my friends. And if they’re somewhere and even they’re not talking I’ll just know. Eh, I mean there’s-<English>usually we say every person also has their smell. Eeh?</English> (he laughs)",CS,Unmarked.,,,,,,
,,Interviewer,,The smell. ,The smell. ,,,,,,,,
,,Fred,,"They are just, they have that smell. Just tell you. Like <Swahili>kuna watu tu, tumezoeana tu nao hii tu-tuli</Swahili>-when we were coming here.  <Swahili>Kisha</Swahili> when I’m in my room then I just sense (he makes a sniffing/smelling sound) ""Mm, I think that’s George. George-<Swahili>ndio</Swahili>, George is approaching"".  Then, mm just correct to my guess when the door when someone knocks you hear it’s really George because yani- ee-each and every person has just peculiar ways <Swahili>na uta-utapata</Swahili> the mind <Swahili>imeshajua tu</Swahili>. The brain is just-has just adjusted <Swahili label='quotation'>na imejua “huyu, huyu mtu anakuja wee anakaa ni Geroge na huyu anakuja ye si George, na huyu</Swahili label='quotation'> maybe <Swahili>ni</Swahili> Laura” Yea, and you see it’s the same way with the way people speak.","They are just, they have that smell. Just tell you. Like <English>there are just people, we are accustomed to them, this we-we</English>-when we were coming here.  <English>Then</English> when I’m in my room then I just sense (he makes a sniffing/smelling sound) ""Mm, I think that’s George. George-<English>yes</English>, George is approaching"".  Then, mm just correct to my guess when the door when someone knocks you hear it’s really George because yani- ee-each and every person has just peculiar ways <English>and you will-you will find</English> the mind <English>already just knows</English>. The brain is just-has just adjusted <English>and knows ""this, this person who is coming is like George and this one coming is not George, and this one</English> maybe <English>is</English> Laura” Yea, and you see it’s the same way with the way people speak.",CS,SM: Quotation.,,,,,,
,,Interviewer,,Mmm so apart from language those are other things that make you notice so and so and not so and so.,Mmm so apart from language those are other things that make you notice so and so and not so and so.,,,,,,,,
,,Fred,,Yea exactly.,Yea exactly.,,,,,,,,
,,Interviewer,,"So you can always tell if somebody is around your area, just like you’ve said you can almost tell=","So you can always tell if somebody is around your area, just like you’ve said you can almost tell=",,,,,,,,
,,Fred,00:20:03mins,"Yea, if someone is coming I’ll just tell and also let’s say <Swahili>hata</Swahili> back in the villages let’s say you are walking at night. <Swahili>Sisi tulikuwa tunaambiwa tukitembea usiku na usikie tu na-yani usikie nywele imesimama nini</Swahili> and you are really tense which means <Swahili>hawa watu, hawa wanakimbiagakimbiaga usiku</Swahili> they’re around.  So you just you will know there are some there-<Swahili>yani</Swahili> the body will just sense and tell you ""oh! <Swahili label='quotation'>kuna mtu anakuja""</Swahili label='quotation'> [uncertain transcription]. Or <Swahili>tuseme hata <Swahili> like</Swahili> kuna siku nilikuwa nimetoka kwa matanga</Swahili> there’s a classmate that her parent had died. So <Swahili>nikitoka tulikuwa tumeenda hii tunaita</Swahili>-we call it <Luo>“arita”</Luo>, that is as-it means when someone is dead <Swahili>na ameshaletwa kutoka kwa</Swahili> mortuary <Swahili>yuko</Swahili> home, now that is the-before that person is buried you see there’s always people come to: console the family and there’s some prayers at night. That’s before the person is buried. ","Yea, if someone is coming I’ll just tell and also let’s say <English>even</English> back in the villages let’s say you are walking at night. <English>We used to be told if we walk at night and you just hear and-I mean you feel your hair raising and whatnot</English> and you are really tense which means <English>these people, these they run around at night</English> they’re around.  So you just you will know there are some there-<English>I mean</English> the body will just sense and tell you ""oh! <English>there is someone coming""</English> [uncertain transcription]. Or <English>let's say even</English> like <English>there was a day I had come from a wake</English> there’s a classmate that her parent had died. So <English>when I left we had gone to this we call it</English>-we call it </Luo>""arita”</Luo>, that is as-it means when someone is dead <English>and s/he has already been brought from</English> mortuary <English>s/he is at</English> home, now that is the-before that person is buried you see there’s always people come to: console the family and there’s some prayers at night. That’s before the person is buried. ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"So either tomorrow or the following day <Swahili>huyo mtu anazikwa. Hasa ndio tunaitaga</Swahili> <Luo>“arita”</Luo> <Swahili>kikwetu</Swahili>. So <Swahili>hiyo</Swahili> day <Swahili>nikitoka hapo</Swahili>, that was just a classmate’s parent who had died so <Swahili>nikitoka huko tukatoka, tukatoka</Swahili> then when we reach the market center now you see everybody is dispersing to their homes. So <Swahili>mi nikaanza sa naenda</Swahili>. You see <Swahili>ni saa kumi na moja na pia hakukuwa na mwezi. Mwezi ulikuwa umesha zama</Swahili>. So <Swahili>nikaenda nikaenda nikafika sehemu nyingine hapo</Swahili> we always believe that <Swahili>kuna hao watu wakimbiakimbia usiku wakishituashitua watu</Swahili>. They always pass there and you see that <Swahili>saa kumi na moja</Swahili> is the time that <Swahili>ameshatoka kukimbia sasa anarudi kwake</Swahili>.  [uncertain transcription] saw something. <Swahili>Ilikuwa inasimama</Swahili> and you see <Swahili>huko kwetu</Swahili> they are still that common <Swahili>unaona wanakimbiakimbia</Swahili> maybe <Swahili>hata ma</Swahili>leopard <Swahili>pengine na chui-na chui</Swahili> and <Swahili>hakuna kitu inawafanya</Swahili>.","So either tomorrow or the following day <English>that person is buried. That is what we usually call</English> <Luo>“arita”</Luo> <English>in our language</English>. So <English>that</English> day <English>when I left there</English>, that was just a classmate’s parent who had died so <English>when I left there we left, we left, we left</English> then when we reach the market center now you see everybody is dispersing to their homes. So <English>me I started now to going</English>. You see <English>it is 5pm and also there was no moon. It was a dark moon.</English>. So <English>I went and went and I arrived at another place there</English> we always believe that <English>there are those people who run the night scaring people</English>. They always pass there and you see that <English>at 11pm</English> is the time that <English>s/he has already finished running now s/he is returning to his/her home</English>.  [uncertain transcription] saw something. <English>It was standing</English> and you see <English>out there in our village</English> they are still that common <English>you see them running around</English> maybe <English>even</English>leopard <English>other times and leopard</English> and <English>nothing harms them</English>.",CS,Unmarked.,,,,,,
,,Fred (cont.),," Yea, so when I saw-when I ss-when I saw something in front of me I said <Swahili>“oh! leo ni siku yangu hii kitu imenipata”</Swahili> So in fact I realized-in fact before I saw it I just realized that at one moment my hair stood still and my body was all numb I could do any-I couldn't do anything. So <Swahili>nikasema “eh! hii saa nitafanya nini?” Nikasema</Swahili> ""well""-by-by-by good luck I only had <Swahili>hii kufuli ya baiskeli. Hii watu wanapigaganao baiskeli</Swahili> such that <Swahili>ii-ikuwe</Swahili> safe.  That’s the only thing that I had as my tool.  So I said “this thing is now in my pocket” so I hold it <Swahili>kisha nikaona ka ile kitu</Swahili> it's moving. The way <Swahili>ile kufuli ya baiskeli ilitoka kwenye mkono wangu ikaanguka chini</Swahili>. So I couldn’t do anything! (he laughs). So <Swahili>nikaona [uncertain transcription] inaendaenda</Swahili> and it went-<Swahili>mimi nilikuwa nimesimama tu. Hakuna kitunilifanya sasa nilisema kama ni kunimaliza</Swahili> let it come and finish me. (he laughs heartily). So it just went that way so you see apart from language there’s also those other ways that <Swahili>unaweza jua</Swahili> that something is not amiss-something is amiss somewhere. "," Yea, so when I saw-when I ss-when I saw something in front of me I said <English>“oh! today is my day this thing has found me”</English> So in fact I realized-in fact before I saw it I just realized that at one moment my hair stood still and my body was all numb I could do any-I couldn't do anything. So <English>I said, ""Eh! This now what will I do?"" I said</English> ""Well""-by-by-by good luck I only had <English>this bicycle lock.  This people they hit the bike with it</English> such that <English>so it is</English> safe.  That’s the only thing that I had as my tool.  So I said “this thing is now in my pocket” so I hold it <English>then I say that that thing</English> it's moving. The way <English>that bicycle lock got out of my hands and fell down!</English>. So I couldn’t do anything! (he laughs). So <English>I saw [uncertain transcription] it continued</English> and it went-<English>me I was just standing. There was nothing I did I had said if it is going to finish me</English> let it come and finish me. (he laughs heartily). So it just went that way so you see apart from language there’s also those other ways that <English>you can know</English> that something is not amiss-something is amiss somewhere. ",CS,,,,,,,
,,Interviewer,00:22:31mins,"Yea. Okay and when somebody talks can you tell their level of education.  You know when somebody talks you: can tell their level of education, maybe their position in society, maybe their political affiliation. Can you always tell?","Yea. Okay and when somebody talks can you tell their level of education.  You know when somebody talks you: can tell their level of education, maybe their position in society, maybe their political affiliation. Can you always tell?",,,,,,,,
,,Fred,,You can. ,You can. ,,,,,,,,
,,Interviewer,,How?,How?,,,,,,,,
,,Fred,,"You see when a person talks fast for you-from the vocabulary then this person is-like uh-when I finished school I was the secretary of another group. <Swahili>Yani</Swahili> we formed a village group so I was the secretary so I used to take the minutes. So you see when we go for the-for our meetings there was this person, <Swahili>alikuwa anajichukua eti amesomasoma</Swahili> so he knows English but each and every time he:-we want to speak, say that “I want to spoke something here” So! (he laughs)  So he says that same thing for quite a number of times such that I got interested and I went-went and asked my man <Swahili label='quotation'>“eti huyu mtu, mtu na-huyu mtu huwa tukonaye kwa kikundi chetu alisomaga hadi class?”. Si akaniambia huyu mtu alisomaga hadi Class Four</Swahili label='quotation'>. So yet in our group he just used to say “I-I-I want to spoke something here, you are not-you are not to gotten me”. So you see I used to laugh so from there I went and asked my man then from there <Swahili>ndio nikagundua kumbe mtu alikuwa anatudanganya eti alisoma Kisumu Boys. Kumbe hata hakusomea Kisumu Boys</Swahili>. So from the way-the vocabulary there-that this person uses, <Swahili>utajua eti huyu mtu amesoma hadi kiwango kipi. Kisha</Swahili> again you see there are certain things that eeh is accepted naturally and that-that way-that’s good. For example <Swahili>kutumia hii inaitwaje</Swahili>, this using a language that has some form of this[uncertain transcription] <Swahili label='low expertise'>sijui</Swahili label='low expertise'> how do you call it in English. So <Swahili>unajua utumizi wa tafsida mtu akienda shule atajua ati badala ya kusema “mwanamke, mwanamke yule amezaa”</Swahili> at least it’s better <Swahili>mtu aseme ""amejifungua""</Swahili>. ","You see when a person talks fast for you-from the vocabulary then this person is-like uh-when I finished school I was the secretary of another group. <English>That is</English> we formed a village group so I was the secretary so I used to take the minutes. So you see when we go for the-for our meetings there was this person, <English>he took himself as an educated person</English> so he knows English but each and every time he:-we want to speak, say that “I want to spoke something here” So! (he laughs)  So he says that same thing for quite a number of times such that I got interested and I went-went and asked my man <English>“This person, person and-this person who we is usually with us in our group, up to what class did he study?""  He told me ""This person went up to Class Four</English>. So yet in our group he just used to say “I-I-I want to spoke something here, you are not-you are not to gotten me”. So you see I used to laugh so from there I went and asked my man then from there <English>that's when I found out that the person was lying that he studied at Kisumu Boys. Turns out that he didn't even attend Kisumu Boys</English>. So from the way-the vocabulary there-that this person uses, <English>you will know that this person has studied up to what level. Then</English> again you see there are certain things that eeh is accepted naturally and that-that way-that’s good. For example <English>using this, waht is it called</English>, this using a language that has some form of this[uncertain transcription] <English>I don't know</English> how do you call it in English. So <English>you know the usage of euphamisms a person if s/he went to school will know that instead of saying ""that woman has given birthed""</English> at least it’s better <English>a person to say ""had given birth""</English>. ",CS,SM: Quotation.,"""Kuzaa"" is used more for animals whereas ""kujifungua"" is used for humans.                                                                                                           ",,,,,
,,Interviewer,,<Swahili>Ameji</Swahili>[uncertain transcription],<English>She has</English>[uncertain transcription],,,,,,,,
,,Fred,,"Yea so you see, oo-these people that did never went to school whenever they talk you can just get from the type of words that they use. Then again there’s the: -aa-the-let’s say the: political parties [uncertain transcription] you can not associate from how learned that person is because depending-because in politics the matter is just persuasion. How-how ma-how well you can move the masses. That is the numbers. That's why now Mutahi Ngunyi came with the what the numbers.  Tyranny of numbers.  You see if you don’t have that language how will you communicate with these people? So you see that some people they’re more-they’re well speakers. Yea. <Swahili>Tunaita walumbi kwa kiswahili, ambao wanauwezo sana waku-yani mtu hata akikuongelesha akikwambia kitu unaona</Swahili> this person is telling me the right thing.","Yea so you see, oo-these people that did never went to school whenever they talk you can just get from the type of words that they use. Then again there’s the: -aa-the-let’s say the: political parties [uncertain transcription] you can not associate from how learned that person is because depending-because in politics the matter is just persuasion. How-how ma-how well you can move the masses. That is the numbers. That's why now Mutahi Ngunyi came with the what the numbers.  Tyranny of numbers.  You see if you don’t have that language how will you communicate with these people? So you see that some people they’re more-they’re well speakers. Yea. <Swahili label='elaboration'>We call them ""walumbi"" in Swahili, those who have the talent of-I mean a person even if they speak to you and tell you something you will see</Swahili label='elaboration'> this person is telling me the right thing.",CS,SM: Elaboration.,,,,,,
,,Interviewer,,Orators.,Orators.,,,,,,,,
,,Fred,,"Yea, the-the orators. And those that have the ability to convince people. So you see, we have those people and it’s also just that’s the rule that you can also it can help you lie for example the way [can't ascertain name of person mentioned] speaks, if someone tells you will only land up to Class Eight will you accept that? Because by the time I was in Class Eight I couldn’t even speak (he laughs) maybe one over eight of what he could so-of what he’s speaking so-which means the type of-the language that a person speaks will a-will tell you so many things about that person. <Swahili label='exemplification'>Kama ni mtu amesoma ama hakusoma, kama-na hata kama alisoma alisoma hadi kiwango kipi</Swahili label='exemplification'>. Eeh, so you can really learn a lot from the way a person speaks.","Yea, the-the orators. And those that have the ability to convince people. So you see, we have those people and it’s also just that’s the rule that you can also it can help you lie for example the way [can't ascertain name of person mentioned] speaks, if someone tells you will only land up to Class Eight will you accept that? Because by the time I was in Class Eight I couldn’t even speak (he laughs) maybe one over eight of what he could so-of what he’s speaking so-which means the type of-the language that a person speaks will a-will tell you so many things about that person. <English>If it's a person who is educated or not, if-and even if s/he is educated, up to what level</English>. Eeh, so you can really learn a lot from the way a person speaks.",CS,SM: Exemplification.,,,,,,
,,Interviewer,,So langauge is a very important determinant.,So langauge is a very important determinant.,,,,,,,,
,,Fred,,"Exactly. In fact, without-there’s a teacher who used to tell us that there’s power in the language. And there’s that-a very-there’s power because <Swahili>mmekutana na demu ama charlie yako, kama hauna</Swahili> language how will you come to terms? You cannot. You-<Swahili>mmekutana na-na mama ako</Swahili> let’s say-<Swahili>hasa tuache hata hapo sana</Swahili>-there’s something you want from someone without the language how will you speak? Unless you are the someone who is dumb, cannot talk. Even they have their signs and that is also-signing those are also forms of communication which means that is also their language through which they speak. So, I think languages-language is a very powerful tool. There’s power in that language. ","Exactly. In fact, without-there’s a teacher who used to tell us that there’s power in the language. And there’s that-a very-there’s power because <English>you have met a lady or your man, if you don't have</English> language how will you come to terms? You cannot. You-<English>you have met up with-with your mother</English> let’s say-<English>now let's leave that there</English>-there’s something you want from someone without the language how will you speak? Unless you are the someone who is dumb, cannot talk. Even they have their signs and that is also-signing those are also forms of communication which means that is also their language through which they speak. So, I think languages-language is a very powerful tool. There’s power in that language. ",CS,Unmarked.,,,,,,
,,Interviewer,00:26:15mins,So still through that language you can be able to tell somebody’s position in society. By position I mean you know those ranks. How can you always tell?,So still through that language you can be able to tell somebody’s position in society. By position I mean you know those ranks. How can you always tell?,,,,,,,,
,,Fred,,Umm. With using the language.,Umm. With using the language.,,,,,,,,
,,Interviewer,,Mmm.,Mmm.,,,,,,,,
,,Fred,,"You can tell but you see languages, I think no-not so-<Swahili>sio-sio kwa kiwango kikubwa</Swahili>. Eh because <Swahili>tunapata</Swahili> mostly-<Swahili>tunapata wa-hawa watu ambao pia wako na pesa wanakuaga penda madharau kidogo. Unajuwa hawapendagi kuongea sana</Swahili>. Eeh. So, you see mostly these people that the-they are really wealthy in the society they rarely talk and you see through that you can also say, eh let’s say <Swahili>uko na mtu unaona ye huwa haongei sana</Swahili>. eh? He would say “I only speak if I have what to say. If I don’t have why should I speak?” eh? (he laughs). And so you see eeh those people, it’s true also use of that language you see there are certain people in the society that’s they rarely talk for real. <Swahili>Sijui wanaogopa watalogwa wakiongeaongea sana au nini?</Swahili>  So <Swahili>una-ukiona mtu huwa ako tu hapo huwa haongeingei sana</Swahili>. So just such-such people <Swahili>kujua</Swahili> mind <Swahili>yao inakuwa ngumu</Swahili>. It becomes very difficult. So you cannot say this person. And this our society they have people who are social who can talk to another so which means language can be used to glue people again. And, hmm. Yea. Cuz like me I talk a lot. So they say ""Okwello always talks even if he doesn’t have anything to say"". (he laughs)","You can tell but you see languages, I think no-not so-<English>not-not in a measurable way</English>. Eh because <English>we find</English> mostly-<English>we find-these people who also they have money and they like to be disrespectful.You know they don't like speaking a lot</English>. Eeh. So, you see mostly these people that the-they are really wealthy in the society they rarely talk and you see through that you can also say, eh let’s say <English>you are with someone and you see that they usually don't talk a lot</English>. eh? He would say “I only speak if I have what to say. If I don’t have why should I speak?” eh? (he laughs). And so you see eeh those people, it’s true also use of that language you see there are certain people in the society that’s they rarely talk for real. <English>I don't know if they are afraid of being cursed if they speak much or what?</English>  So <English>you-if you see a person is just there they don't talk a lot</English>. So just such-such people <English>to know</English> mind <English>theirs, it becomes hard</English>. It becomes very difficult. So you cannot say this person. And this our society they have people who are social who can talk to another so which means language can be used to glue people again. And, hmm. Yea. Cuz like me I talk a lot. So they say ""Okwello always talks even if he doesn’t have anything to say"". (he laughs)",CS,Unmarked.,,,,,,
,,Interviewer,,He will always talk.,He will always talk.,,,,,,,,
,,Fred,,"Eh, he always talks. Then you will find that they’ll say that this other person in our class, <Swahili>yeye huwa haamki hata kama mwalimu ameeleza kitu na amejua kuwa haongei kisha hadi mfikirie ati hajui</Swahili> but exams <Swahili>zikikuja si mtaona matokeo</Swahili>.  Yea, so language you can also use it to glue people and depending on how a persons speaks and-oh yea depending on how a person speaks <Swahili>unaweza ukatumia</Swahili> that language at least <Swahili>kujua=</Swahili>","Eh, he always talks. Then you will find that they’ll say that this other person in our class, <English>s/he usually doesn't wake up even if the teacher has explained something and s/he knows that s/he doesn't speak until you finally think s/he doesn't understand</English> but exams <English>when they come you will see the results</English>.  Yea, so language you can also use it to glue people and depending on how a persons speaks and-oh yea depending on how a person speaks <English>you can use</English> that language at least <English>to know=</English>",CS,Unmarked.,,,,,,
,,Interviewer,,"So that way you have these wealthy people and they have a high level of education, which language do they tend to speak?","So that way you have these wealthy people and they have a high level of education, which language do they tend to speak?",,,,,,,,
,,Fred,,That’s English.,That’s English.,,,,,,,,
,,Interviewer,,English?,English?,,,,,,,,
,,Fred,,"Yea in fact the-the-before they employ people even to their nanny, that is the maid. Oh they-you must ensure that you will be speaking English to their children. ","Yea in fact the-the-before they employ people even to their nanny, that is the maid. Oh they-you must ensure that you will be speaking English to their children. ",,,,,,,,
,,Interviewer,,"So I think the western influence does a lot so that when you hear somebody speaking English you assume they’re of a high status, they’re wealthy, they have a high level of education so that you place English at a higher level than Kiswahili and these other languages.","So I think the western influence does a lot so that when you hear somebody speaking English you assume they’re of a high status, they’re wealthy, they have a high level of education so that you place English at a higher level than Kiswahili and these other languages.",,,,,,,,
,,Fred,,But that was in the olden days during-during the colonial era. That’s when they took English to be a very:-<Swahili>yani ile-yani lugha ambayo inahadhi</Swahili> it has more status then the other one. But nowadays I-I don’t think that’s true.,But that was in the olden days during-during the colonial era. That’s when they took English to be a very:-<English>I mean that-I mean that language which has prestige</English> it has more status then the other one. But nowadays I-I don’t think that’s true.,CS,Unmarked.,,,,,,
,,Interviewer,,Do you think so?,Do you think so?,,,,,,,,
,,Fred,,That's not true. ,That's not true. ,,,,,,,,
,,Interviewer,,"Okay. It may not be true but if you go to an office today, and you are told you-and one of you speaks in English. Another one speaks in Kiswahili, another one starts to use their native language. Not that they can tell ""no this person we speak the same language"". Among the three who do you think  will be taken to be serious?","Okay. It may not be true but if you go to an office today, and you are told you-and one of you speaks in English. Another one speaks in Kiswahili, another one starts to use their native language. Not that they can tell ""no this person we speak the same language"". Among the three who do you think  will be taken to be serious?",,,,,,,,
,,Fred,,Ah maybe the person that used his English but he stood out because of that stereotype. ,Ah maybe the person that used his English but he stood out because of that stereotype. ,,,,,,,,
,,Interviewer,,The stereotypes. ,The stereotypes. ,,,,,,,,
,,Fred,,"Yea that is stereotyping you see, <Swahili>mtu</Swahili>-because tho-those are the old-the-the old ideas. Yea so someone knows that this-this person can speak English then he's more knowledgable then this one the one who can speak in Kiswahili which is always not the case. I think it’s just a matter of stereotypes. Yea, the olden ideas <Swahili>zilishakuja kwa akili yetu zikakaakaa huko</Swahili>. Thus that <Swahili>kuzitoa</Swahili> we need another 50 years, plus that. Those-those old-old ideas can be erased from your mind but you see, those are the ways of the world. It is very difficult to change them.  How I could change them. (both laugh)","Yea that is stereotyping you see, <English>a person</English>-because tho-those are the old-the-the old ideas. Yea so someone knows that this-this person can speak English then he's more knowledgable then this one the one who can speak in Kiswahili which is always not the case. I think it’s just a matter of stereotypes. Yea, the olden ideas <English>they already came into our minds and they stayed there</English>. Thus that <English>to get them out</English> we need another 50 years, plus that. Those-those old-old ideas can be erased from your mind but you see, those are the ways of the world. It is very difficult to change them.  How I could change them. (both laugh)",CS,Unmarked.,,,,,,
,,Interviewer,00:29:42mins,"Okay. Yea,ahh that could be true because like in our constitution it says Kiswahili is a national language and it’s an official language.  In fact it’s-it’s like the status in the constitution is even higher than that of English. But, rarely in offices and any formal context would you find people ever speaking in Kiswahili.  We always speak in English. The medium of instruction in schools is {always English}, apart from Kiswahili lessons.","Okay. Yea,ahh that could be true because like in our constitution it says Kiswahili is a national language and it’s an official language.  In fact it’s-it’s like the status in the constitution is even higher than that of English. But, rarely in offices and any formal context would you find people ever speaking in Kiswahili.  We always speak in English. The medium of instruction in schools is {always English}, apart from Kiswahili lessons.",,,,,,,,
,,Fred,,{Always English} Kiswahili. They only say during Kiswahili lessons but now I think people should just change. But it will take time <Swahili>haitakuwa raisi</Swahili> but at the end I think it will just change. ,{Always English} Kiswahili. They only say during Kiswahili lessons but now I think people should just change. But it will take time <English>it won't be easy</English> but at the end I think it will just change. ,CS,Unmarked.,,,,,,
,Why Do You Speak Different Languages to Different People?,Interviewer,00:30:16mins,Okay. You said you speak different languages to different people. Can you say the reasons again?,Okay. You said you speak different languages to different people. Can you say the reasons again?,,,,,,,,
,,Fred,,"The reasons, you see the reason as to why we speak is just to-for communication, see? And for communication to be effective there must be feedback. Let’s say I know you don’t know Dholuo. Yea, so let’s say I’m speaking to you in Dholuo.  You see, maybe you might just be seeing my lips moving and getting whatever I’m saying you might take me to be a singer that now I’m singing or maybe someone who is possessed with the holy spirit speaking in other language. Maybe it’s my-just my Dholuo. So you see, why I chose different languages to different it’s just as a matter of effective communication.  Such that <Swahili>nikis-ongea na wewe</Swahili> at least <Swahili>unipate nikupate, kwahivyo mawasiliano ndio yaweze ku:kuendelea mbele</Swahili>. Like lately I’m speaking to my mom, my mom doesn’t know  a lot of English.  ","The reasons, you see the reason as to why we speak is just to-for communication, see? And for communication to be effective there must be feedback. Let’s say I know you don’t know Dholuo. Yea, so let’s say I’m speaking to you in Dholuo.  You see, maybe you might just be seeing my lips moving and getting whatever I’m saying you might take me to be a singer that now I’m singing or maybe someone who is possessed with the holy spirit speaking in other language. Maybe it’s my-just my Dholuo. So you see, why I chose different languages to different it’s just as a matter of effective communication.  Such that <English>if I talk with you</English> at least <English>you get me, I get you, therefore communication can progress</English>. Like lately I’m speaking to my mom, my mom doesn’t know  a lot of English.  ",CS,Unmarked.,,,,,,
,,Fred (cont.),,"So if I decide to use English, which means I want to say eh-eh translate, then let her now tell me [uncertain transcription] in fact I tell her what to tell me in English [uncertain transcription] aniambie, so that will be-that will take a century. So it depends on who I am talking with but now whether I want that my message to be reached. Let’s say <Swahili label='refereeing'>tunasengenya mtu. Najua</Swahili label='refereeing'> in our [uncertain transcription] there’s someone let's say from [uncertain transcription] community who does not know Dholuo <Swahili>na hatutaki asikie. Ya nini tuseme kitu ataisikia</Swahili>? So it means we’ll just be speaking Kiswahili Kiswahili then <Swahili>hapo</Swahili> in between we codeswitch. We change now-we now start speaking Dholuo. We say in fact two three Dholuos [uncertain transcription] before <Swahili>agundue</Swahili> we’ve again turned back so, (he laughs) Maybe <Swahili label='refereeing'>ili kuficha pia siri zetu yea, kuna kitu hutaki mtu asikie.</Swahili label='refereeing'>","So if I decide to use English, which means I want to say eh-eh translate, then let her now tell me [uncertain transcription] in fact I tell her what to tell me in English [uncertain transcription] aniambie, so that will be-that will take a century. So it depends on who I am talking with but now whether I want that my message to be reached. Let’s say <English>we are gossiping about a person. I know</English> in our [uncertain transcription] there’s someone let's say from [uncertain transcription] community who does not know Dholuo <English>and we don't want him/her to hear.  Why would we say something s/he can hear</English>? So it means we’ll just be speaking Kiswahili Kiswahili then <English>there</English> in between we codeswitch. We change now-we now start speaking Dholuo. We say in fact two three Dholuos [uncertain transcription] before <English>s/he realizes</English> we’ve again turned back so, (he laughs) Maybe <English>so that we can also hide our secrets yea, there are things you don't want a person to hear.</English>  ",CS,SM: Refereeing.,,,,,,
