Name of the file,Topic,Participant ,Ln,Dialogue,Translation,CSs/DMs,Comments
,,Mary 2,,About profession as in like now we are training to be journalist but the course we are doing is not only based on journalism you can work in different areas so its actually a thing that thing we have been discussing lately.,"About profession as in like now we are training to be journalist, but the course we are doing is not only based on journalism you can work in different areas so its actually aah!! a thing that thing we have been discussing lately",,
,Social life,Interviewer,,What about Socially?,What about Socially?,,
,,Mary 2,,Socially in terms of?,Socially in terms of?,,
,,Interviewer,,"You have told me about profession, you have told me about politics, socially any topics you talk about socially with your friends?","You have told me about profession, you have told me about politics, socially any topics you talk about socially with your friends?",,
,,Mary 2,,"Yah, maybe how you relate with people, yeah maybe yah how you like maybe when it comes to guys what kind of a guy you would like to date and stuff yah ","Yah, maybe how you relate with people, yeah maybe yah how you like maybe when it comes to guys what kind of a guy you would like to date and stuff yah.",,
,,Interviewer,,Dating stuff?,Dating stuff?,,
,,Mary 2,,Yah!! ,Yah!! ,,
,,Interviewer,,So you talk about that with your friends?,So you talk about that with your friends?,,
,,Mary 2,,Yes.,Yes.,,
,,Interviewer,,"Why do you talk about politics,why do you talk about dating, why do you talk about, what else did you tell me?","Why do you talk about politics,why do you talk about dating, why do you talk about, what else did you tell me?",,
,,Mary 2,,Profession.,Profession.,,
,,Interviewer,,"Yah, profession why?","Yah, profession why?",,
,,Mary 2,,"Well I tend to think it involves what is sorrounding us and what is affecting us directly, yah.","Well I tend to think it involves what is sorrounding us and what is affecting us directly, yah.",,
,,Interviewer,,Those are issues that affect you personally?,Those are issues that affect you personally?,,
,,Mary 2,,Personally yah.,Personally yah.,,
,,Interviewer,,And do you get any feedback from your friends that you feel adding value to your life shaping your ideas?, And do you get any feedback from your friends that you feel adding value to your life shaping your ideas?,,
,,Mary 2,,Yah!! of course a lot.,Yeah!! of course a lot.,,
,,Interviewer,,"Give me some instances, if you have any.","Give me some instances, if you have any.",,
,,Mary 2,,"Ok For instance today, we were discussing about guys with my girlfriends and boyfriends both, so we were discussing about guys we were talking about marriage actually and a friend commented that life is not all about money you need a partner who is actually you know, somebody who is lively somebody who is interesting because as much as you get married to a person who has alot of money and you dont just like him you know its going to be hectic so I tend to think there is a lot that you learn when you interact with other people.","Ok For instance today, we were discussing about guys with my girlfriends and boyfriends both, so we were discussing about guys we were talking about marriage actually and a friend commented that life is not all about money you need a partner who is actually you know, somebody who is lively somebody who is interesting because as much as you get married to a person who has alot of money and you dont just like him you know its going to be hectic so I tend to think there is a lot that you learn when you interact with other people.",,
,,Interviewer,,"You think it’s a bit too early to think about marriage, you are In first year?","You think it’s a bit too early to think about marriage, you are In first year?",,
,,Mary 2,,Yah I am in first year but some issues you have to discuss,Yah I am in first year but some issues you have to discuss,,
,,Interviewer,,So this are the issues that has to do with you life touching your life that you feel are necessary and this are the what? The current topics that we were talking about?,So this are the issues that has to do with you life touching your life that you feel are necessary and this are the what? The current topics that we were talking about?,,
,,Mary 2,,Yah!! ,Yah!! ,,
,,Interviewer,,And how about shaping political opinion?,And how about shaping political opinion?,,
,,Mary 2,,Shaping my political opinion I tend to think that its actually its healthy because there was a time when I was in studio I think it was yesterday breakfast show and then they were discussing about increasing taxation in Kenya and they were saying that maybe the bread will be taxed and stuff you know now according to me it actually affected me politically in the sense that I am a Kenyan.,Shaping my political opinion I tend to think that its actually its healthy because there was a time when I was in studio I think it was yesterday breakfast show and then they were discussing about increasing taxation in Kenya and they were saying that maybe the bread will be taxed and stuff you know now according to me it actually affected me politically in the sense that I am a Kenyan.,,
,,Interviewer,,It didn’t change your political immune or affiliation or affected in a way?,It didn’t change your political immune or affiliation or affected in a way?,,
,,Mary 2,,"Ok, fine It actually affected me in a way because they were talking about collecting a million signatures I actually supported that because you don’t tell me that you are going to tax everybody in Kenya and there are peasants down there who don’t even afford that bread and then you are like taxing them and at some point they even can't afford that bread you see so at certain point yeah actually  yah.","Ok, fine It actually affected me in a way because they were talking about collecting a million signatures I actually supported that because you don’t tell me that you are going to tax everybody in Kenya and there are peasants down there who don’t even afford that bread and then you are like taxing them and at some point they even can't afford that bread you see so at certain point yeah actually  yah.",,
,,Interviewer,,I get what you are saying. We have talking about your friends its like you are refering to your friends on campus. Is there a difference in terms of topics that you discuss between your friends on campus? am sure you have friends outside at home. Is there any difference topic wise?,I get what you are saying. We have talking about your friends its like you are refering to your friends on campus. Is there a difference in terms of topics that you discuss between your friends on campus am sure you have friends outside at home. Is there any difference topicwise?,,
,,Mary 2,,Yah there is.,Yah there is.,,
,,Interviewer,,What are the topics you discuss?,What are the topics you discuss?,,
,,Mary 2,,"For instance when I am here at school most of the topics are actually very formal proffession, politics but some of my finds there at home maybe they don't go to colleges or universities you know, so they are just there so the things that you discuss with them is actually what is happening around them very informal things.","For instance when I am here at school most of the topics are actually very formal proffession, politics but some of my finds there at home maybe they don't go to colleges or universities you know, so they are just there so the things that you discuss with them is actually what is happening around them very informal things.",,
,,Interviewer,,Like?,Like?,,
,,Mary 2,,"Like, ok fine what do you do nowadays yah or maybe you discuss with them I am sorry to use this word but very irrelevant things because I don’t expect that friend of mine who has not gone to school. I start telling them about journalism about NGO's you know I dont expect.","Like, ok fine what do you do nowadays yeah or maybe you discuss with them I am sorry to use this word but very irrelevant things because I don’t expect that friend of mine who has not gone to school I start telling them about journalism about NGO's you know I dont expect.",,
,,Interviewer,,Don’t you talk to them about your profession?,Don’t you talk to them about your profession?,,
,,Mary 2,,Yah!! maybe I can.,Yah!! maybe I can.,,
,,Interviewer,,Or experience about campus.,Or experience about campus,,
,,Mary 2,,Yah I do tell them but mostly the topics that we discuss are very informal.,Yah I do tell them but mostly  the topics that we discuss are very informal.,,
,,Interviewer,,They are limited? Even if you talk about profession you don’t so as much as you do with your friends.,They are limited? Even if you talk about profession you don’t so as much as you do with your friends.,,
,,Mary 2,,"Yah, somebody might loose interest what for as in why are you telling me for? At the end of the day is not going help me with anything yah.","Yah, somebody might loose interest what for as in why are you telling me for? At the end of the day is not going help me with anything yah.",,
,,Interviewer,,What is your feeling about language use on campus?,What is your feeling about language use on campus?,,
,,Mary 2,,mmm!! let me see language use on campus ..,mmm!! let me see language use on campus ..,,
,,Interviewer,,Yah! the way You interract with so many people on campus when you are here  how do you feel about generally just tell me anything.,Yah! the way You interract with so many people on campus when you are here  how do you feel about generally just tell me anything.,,
,,Mary 2,,"Well, I tend to think that when it comes language use here in campus, at some point it sharpens your languge also for instance maybe sometimes like the way professor was speaking I really admire his English so at a certain point its like motivating me to as in yah, I am admiring that I want to be like him you getting? and<Swahili>pia saa zingine kuna Sheng zingine</Swahili>when somebody speaks to you are not getting anything because they tend to think that<Swahili>saa hizi hapa</Swahili>campus we are from different places<Swahili>wengine wao yaani inakubambatu</Swahili>and its like I really need to know this yah.","Well, I tend to think that when it comes language use here in campus,at some point  it sharpens your languge also for instance maybe sometimes like the way proffesor was speaking I really admire his English so at a certain point its like motivating me to as in yah am admiring that I want to be like him you getting? and<English>also sometimes there are other Slang</English>when somebody speaks to you are not getting anything because they tend to think that<English>now here in</English>campus we are from different places<English>others in that makes you happy</English>and its  like I really need to know this yah.",,
,,Interviewer,,"Good, so I know you want to be a journalist when you finish campus, what happens if you don’t become a journalist?","Good, so I know you want to be a journalist when you finish campus, what happens if you don’t become a journalist",,
,,Mary 2,,"Well, ok fine I am not limited to journalism alone I can work anywhere so long as I want to communicate that is actually what I want I want to communicate I  tend to think that there are actually things that are happening that are not right and people need to know so in any field that I am and I want to communicate  so long as people out there get what I want to communicate am good with that yah. So I am not only limited<Swahili>hata</swahili>I have to no otherwise it's all about journalism no.","Well, ok fine I am not limited to journalism alone I can work anywhere so long as I want to communicate that is actually what I want I want to communicate I tend to think that there are actually things that are happening that are not right and people need to know so in any field that I am and I want to communicate  so long as people out there get what I want to communicate am good with that yah. So I am not only limited<English>that</English>I have to no otherwise it's all about journalism no.",,
,,Interviewer,,Thank you very much that will be the end for today yah.,Thank you very much that will be the end for today yah.,,
,,Mary 2,,Ok.,Ok,,
